Layer[0],Layer[1],Layer[8],Layer[9],Layer[10],classifier
0.420289,0.017312,0.747586,0.001536,0.000480,1.193219
0.420065,0.017376,0.772706,0.001536,0.000512,1.218883
0.418753,0.017312,0.751778,0.001504,0.000320,1.195811
0.417569,0.017600,0.756226,0.001856,0.000448,1.199523
0.415137,0.017280,0.778051,0.001536,0.000448,1.218244
0.416642,0.017472,0.748578,0.001728,0.000544,1.192452
0.418850,0.017344,0.752418,0.001696,0.000576,1.197252
0.433409,0.017504,0.756386,0.001504,0.000416,1.215875
0.416417,0.017312,0.751330,0.001536,0.000416,1.192451
0.417089,0.017664,0.743746,0.001440,0.000352,1.185603
0.417185,0.017632,0.741090,0.001472,0.000384,1.183075
0.420001,0.017824,0.744322,0.001344,0.000384,1.189859
0.416545,0.017664,0.780098,0.001600,0.000480,1.222947
0.420897,0.017792,0.760706,0.001472,0.000512,1.207075
0.420833,0.017536,0.740482,0.001408,0.000448,1.186563
0.420609,0.017504,0.761346,0.001504,0.000416,1.208067
0.416033,0.017344,0.754435,0.001504,0.000416,1.194980
0.415777,0.017344,0.751619,0.001344,0.000416,1.192516
0.452098,0.017696,0.773218,0.001504,0.000384,1.251716
0.420290,0.017568,0.771266,0.001376,0.000416,1.216580
0.415265,0.017440,0.738434,0.001408,0.000384,1.179011
0.419489,0.017568,0.768738,0.001472,0.000384,1.214147
0.419361,0.017344,0.752418,0.001440,0.000416,1.199267
0.419265,0.017312,0.777666,0.001440,0.000416,1.222243
0.416129,0.017440,0.754210,0.001600,0.000512,1.197059
0.416225,0.017344,0.752770,0.001536,0.000448,1.193987
0.416897,0.017376,0.771395,0.001568,0.000480,1.213572
0.420001,0.017345,0.753826,0.001376,0.000416,1.199108
0.420130,0.017600,0.744098,0.001664,0.000448,1.191524
0.444001,0.017344,0.761954,0.001696,0.000448,1.232899
0.416033,0.017472,0.741218,0.001376,0.000416,1.182339
0.414945,0.017376,0.756578,0.001536,0.000448,1.198627
0.417057,0.017760,0.757634,0.001472,0.000416,1.203267
0.420449,0.017536,0.746082,0.001504,0.000416,1.193699
0.416577,0.017664,0.782722,0.001632,0.000416,1.224579
0.420961,0.017728,0.753507,0.001504,0.000416,1.199524
0.418625,0.017793,0.771074,0.001632,0.000544,1.216452
0.422402,0.017856,0.780130,0.001632,0.000416,1.228420
0.421665,0.017632,0.751106,0.001376,0.000480,1.199747
0.416225,0.017312,0.757506,0.001568,0.000480,1.200579
0.432001,0.017280,0.743938,0.001888,0.000416,1.201667
0.420833,0.017504,0.749890,0.001408,0.000544,1.196291
0.417377,0.017376,0.748642,0.001824,0.000448,1.192835
0.420801,0.017472,0.755011,0.001792,0.000544,1.203140
0.421057,0.017441,0.751394,0.001952,0.000416,1.198468
0.421058,0.017472,0.762370,0.001696,0.000480,1.209156
0.415970,0.017248,0.768994,0.001696,0.000384,1.210500
0.416161,0.017632,0.779874,0.001856,0.000384,1.221571
0.419873,0.017696,0.786882,0.001664,0.000480,1.232355
0.420001,0.017504,0.739906,0.001664,0.000448,1.185059
0.421665,0.017536,0.756226,0.001344,0.000416,1.202883
0.438049,0.017472,0.755171,0.001440,0.000448,1.218532
0.415041,0.017792,0.745667,0.001504,0.000448,1.187652
0.420865,0.017537,0.773314,0.001664,0.000480,1.221764
0.417122,0.018208,0.743458,0.001664,0.000416,1.186788
0.422562,0.017280,0.754338,0.001504,0.000416,1.201892
0.420545,0.017440,0.768866,0.001472,0.000416,1.214883
0.415905,0.017536,0.755586,0.001504,0.000448,1.196835
0.419937,0.017536,0.764738,0.001408,0.000384,1.209987
0.416161,0.017344,0.761314,0.001536,0.000448,1.202979
0.421441,0.017472,0.757250,0.001440,0.000352,1.204035
0.417537,0.017344,0.749315,0.001408,0.000320,1.191620
0.435746,0.017760,0.758274,0.001568,0.000416,1.221412
0.420834,0.017536,0.753762,0.001472,0.000384,1.200068
0.416641,0.017440,0.777090,0.001536,0.000384,1.218979
0.421313,0.017376,0.746242,0.001536,0.000480,1.192611
0.421217,0.017440,0.753634,0.001408,0.000512,1.200099
0.422593,0.017248,0.770306,0.001536,0.000480,1.217859
0.420609,0.017536,0.759522,0.001504,0.000448,1.206051
0.420801,0.017376,0.760674,0.001376,0.000448,1.206436
