Layer[0],Layer[9],Layer[10],classifier
0.420257,0.771650,0.000672,1.197443
0.416609,0.807682,0.001056,1.232483
0.425633,0.796578,0.000704,1.228131
0.416385,0.821347,0.000800,1.244100
0.420289,0.812514,0.000960,1.239139
0.425089,0.782338,0.000736,1.214179
0.424929,0.796418,0.000672,1.228323
0.441090,0.798146,0.000672,1.245668
0.420097,0.794274,0.000800,1.220771
0.420289,0.815874,0.000864,1.242275
0.420481,0.788258,0.001024,1.214979
0.420545,0.794691,0.000992,1.223268
0.416705,0.818338,0.000800,1.242115
0.418145,0.788322,0.000864,1.212419
0.424897,0.787234,0.000928,1.218371
0.446081,0.790595,0.001056,1.244196
0.425025,0.786082,0.000608,1.216803
0.420065,0.775330,0.000928,1.201571
0.420161,0.784354,0.000960,1.210883
0.420865,0.795202,0.000960,1.222211
0.420129,0.810435,0.000672,1.236932
0.426305,0.777154,0.000800,1.209827
0.420577,0.792194,0.000992,1.218723
0.425665,0.801154,0.000736,1.233123
0.418369,0.774723,0.000704,1.198724
0.420898,0.770114,0.000672,1.196644
0.438721,0.789538,0.000896,1.234787
0.425601,0.768706,0.000800,1.200291
0.422529,0.782722,0.000672,1.210883
0.425409,0.773155,0.000864,1.204804
0.416513,0.778146,0.000928,1.200227
0.425953,0.835202,0.001024,1.268579
0.425633,0.816163,0.000672,1.247780
0.425762,0.816290,0.000928,1.248196
0.436129,0.777058,0.001024,1.220387
0.425601,0.783138,0.000704,1.214627
0.420385,0.783426,0.000864,1.209987
0.426434,0.795234,0.000864,1.228036
0.416449,0.772482,0.000832,1.194659
0.421153,0.827202,0.000736,1.255235
0.420545,0.768099,0.000832,1.194564
0.426594,0.777378,0.000800,1.211268
0.425441,0.798882,0.000864,1.231043
0.425537,0.791138,0.001056,1.223555
0.425313,0.784995,0.000992,1.216740
0.437569,0.765186,0.000896,1.209475
0.421313,0.786210,0.000832,1.213347
0.417537,0.765186,0.000864,1.188899
0.416321,0.782499,0.000736,1.204324
0.425729,0.824066,0.000960,1.256099
0.422625,0.823010,0.001024,1.253475
0.417153,0.820707,0.000768,1.244740
0.420481,0.787522,0.000672,1.213955
0.440481,0.776802,0.000704,1.224003
0.420769,0.819523,0.000736,1.246980
0.421889,0.785154,0.000800,1.213891
0.420257,0.773282,0.000672,1.200099
0.420769,0.781154,0.000576,1.208099
0.425506,0.796258,0.000672,1.228100
0.421313,0.774274,0.000672,1.201539
0.425921,0.794178,0.000864,1.226979
0.421089,0.805571,0.000800,1.233668
0.426530,0.783266,0.000672,1.215524
0.426593,0.821218,0.000832,1.254435
0.443713,0.801859,0.000864,1.252196
0.419330,0.782530,0.000608,1.207844
0.426401,0.767778,0.000640,1.199939
0.417089,0.782594,0.000544,1.206179
0.425345,0.774947,0.000672,1.206116
0.420162,0.813986,0.000736,1.240100
0.427585,0.791042,0.000640,1.225443
0.420769,0.791682,0.000896,1.218627
0.417378,0.805762,0.000800,1.229668
0.420801,0.815266,0.000992,1.242787
0.418081,0.786402,0.000704,1.210051
0.445442,0.785218,0.000832,1.236612
0.416609,0.779106,0.000800,1.201891
0.421409,0.819042,0.000704,1.246467
0.425474,0.780706,0.000768,1.212836
0.416417,0.787522,0.000832,1.209923
0.416897,0.821666,0.000864,1.246627
0.416514,0.772194,0.000672,1.194468
0.420289,0.798306,0.000832,1.225315
0.433761,0.820770,0.000992,1.261603
0.422018,0.814626,0.000800,1.243460
0.426657,0.793026,0.000800,1.226627
0.428225,0.781635,0.000736,1.216516
0.425825,0.790626,0.001024,1.223043
0.425313,0.815042,0.001056,1.247299
0.420801,0.786851,0.000960,1.214020
0.425601,0.834050,0.001088,1.268899
0.441793,0.781314,0.000801,1.229892
0.425794,0.778690,0.000864,1.210852
0.425857,0.787746,0.000704,1.219267
0.421153,0.792834,0.000928,1.221091
0.425730,0.769154,0.000576,1.200836
0.416257,0.803458,0.000992,1.226307
0.425633,0.800258,0.000737,1.231172
0.420482,0.771042,0.000672,1.196644
0.416257,0.815202,0.001024,1.238659
0.425473,0.789218,0.000960,1.223491
0.427138,0.790338,0.000768,1.224324
0.437217,0.791010,0.000832,1.235363
0.425985,0.782243,0.000896,1.215012
0.425729,0.776738,0.000704,1.208771
0.420353,0.790178,0.000896,1.216099
0.420897,0.762114,0.000608,1.188643
0.421058,0.809794,0.000832,1.237156
0.425697,0.764482,0.000832,1.196387
0.417121,0.774146,0.000640,1.196643
0.416033,0.812931,0.000704,1.236964
0.421025,0.775714,0.000608,1.202339
0.425281,0.804098,0.000608,1.235235
0.437410,0.774242,0.000672,1.216932
0.425441,0.779362,0.000832,1.210051
0.425537,0.772226,0.000704,1.202787
0.416193,0.777091,0.000640,1.198756
0.424833,0.771746,0.000640,1.202659
0.425313,0.797186,0.000992,1.228291
0.420769,0.773027,0.000672,1.198820
0.425825,0.763810,0.000800,1.196131
0.426561,0.813058,0.000896,1.245891
0.427681,0.783939,0.000672,1.216676
0.426177,0.802722,0.000672,1.234115
0.439457,0.813634,0.000800,1.259555
0.425250,0.783490,0.000640,1.214724
0.425729,0.785986,0.000928,1.216547
0.425345,0.784930,0.000832,1.215715
0.425282,0.775554,0.000608,1.206180
0.421281,0.803074,0.000704,1.229827
0.426081,0.803426,0.000736,1.234916
0.420546,0.778850,0.000832,1.205220
0.426145,0.805410,0.000736,1.237603
0.425889,0.784867,0.000576,1.215716
0.425409,0.783874,0.000800,1.214755
0.442849,0.780610,0.000800,1.230147
0.421569,0.779299,0.000832,1.206148
0.420737,0.840322,0.000704,1.266915
0.421025,0.783362,0.000672,1.209347
0.420994,0.791266,0.000736,1.219332
