Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
1.746178,0.014976,0.000480,0.001440,0.001248,0.000416,1.770210
1.723683,0.014592,0.000480,0.001568,0.001216,0.000384,1.747171
1.723427,0.015232,0.000512,0.001568,0.001184,0.000352,1.747683
1.723683,0.014592,0.000448,0.001440,0.001152,0.000352,1.747171
1.736163,0.015232,0.000480,0.001472,0.001248,0.000384,1.760771
1.755811,0.014720,0.000544,0.001568,0.001280,0.000384,1.780163
1.739491,0.014496,0.000480,0.001536,0.001184,0.000384,1.762979
1.720867,0.014528,0.000480,0.001536,0.001184,0.000384,1.744323
1.749891,0.014720,0.000480,0.001440,0.001120,0.000384,1.773635
1.707363,0.014688,0.000480,0.001536,0.001152,0.000384,1.731107
1.732355,0.015232,0.000480,0.001472,0.001216,0.000384,1.756323
1.747043,0.014688,0.000480,0.001440,0.001536,0.000416,1.770915
1.728354,0.014816,0.000512,0.001472,0.001312,0.000352,1.752034
1.721667,0.014912,0.000480,0.001536,0.001216,0.000384,1.745507
1.734243,0.015104,0.000480,0.001440,0.001216,0.000384,1.758563
1.722627,0.015040,0.000480,0.001536,0.001184,0.000352,1.746723
1.743011,0.014688,0.000512,0.001408,0.001216,0.000384,1.766723
1.704035,0.014816,0.000448,0.001536,0.001120,0.000384,1.727587
1.745827,0.014720,0.000512,0.001504,0.001120,0.000384,1.769571
1.718371,0.014656,0.000512,0.001504,0.001120,0.000352,1.742051
1.777699,0.014784,0.000448,0.001440,0.001184,0.000352,1.801635
1.743299,0.014688,0.000480,0.001472,0.001088,0.000384,1.767203
1.746051,0.014880,0.000480,0.001568,0.001120,0.000352,1.770307
1.744899,0.014880,0.000480,0.001536,0.001184,0.000384,1.768643
1.760195,0.014944,0.000448,0.001440,0.001600,0.000384,1.784803
1.767875,0.015104,0.000480,0.001472,0.001408,0.000352,1.793155
1.747715,0.016096,0.000672,0.001440,0.001024,0.000352,1.772643
1.728834,0.014689,0.000480,0.001504,0.001184,0.000384,1.752515
1.767715,0.014880,0.000480,0.001536,0.001568,0.000384,1.791651
1.726051,0.014720,0.000512,0.001504,0.001088,0.000416,1.749571
1.746115,0.014784,0.000512,0.001536,0.001056,0.000352,1.769379
1.709698,0.014688,0.000448,0.001440,0.001376,0.000384,1.733506
1.733859,0.014720,0.000512,0.001504,0.001152,0.000384,1.757379
1.707235,0.014848,0.000480,0.001536,0.001056,0.000384,1.731235
1.751363,0.015200,0.000544,0.001408,0.001440,0.000352,1.775811
1.723843,0.014848,0.000480,0.001408,0.001088,0.000352,1.747299
1.743043,0.016160,0.000512,0.001472,0.001152,0.000416,1.768259
1.729187,0.014624,0.000480,0.001536,0.001152,0.000416,1.752995
1.745795,0.016800,0.000480,0.001504,0.001152,0.000352,1.771235
1.712355,0.014688,0.000480,0.001536,0.001056,0.000384,1.736035
1.746114,0.014656,0.000481,0.001536,0.001024,0.000384,1.769571
1.748099,0.014720,0.000512,0.001504,0.001024,0.000352,1.771459
1.754850,0.014849,0.000480,0.001472,0.001152,0.000416,1.778595
1.701475,0.014688,0.000448,0.001536,0.001088,0.000416,1.725347
1.734530,0.016096,0.000448,0.001568,0.001184,0.000352,1.759522
1.743235,0.014560,0.000480,0.001504,0.001184,0.000384,1.766435
1.740706,0.014720,0.000448,0.001440,0.001056,0.000416,1.764162
1.718979,0.014688,0.000416,0.001504,0.001088,0.000384,1.742371
1.789027,0.016096,0.000544,0.001472,0.001152,0.000384,1.813763
1.719459,0.014720,0.000448,0.001536,0.000992,0.000320,1.743235
1.794115,0.014880,0.000512,0.001440,0.001120,0.000384,1.817667
1.758115,0.014688,0.000480,0.001472,0.000960,0.000352,1.781315
1.744387,0.014752,0.000480,0.001440,0.000928,0.000416,1.767139
1.716867,0.014816,0.000512,0.001568,0.001152,0.000416,1.740931
1.746402,0.014656,0.000480,0.001536,0.000928,0.000352,1.768994
1.734499,0.014496,0.000480,0.001536,0.001056,0.000352,1.757635
1.729923,0.014496,0.000480,0.001664,0.001024,0.000384,1.752643
1.735491,0.014400,0.000448,0.001536,0.000928,0.000384,1.758179
1.739171,0.014496,0.000448,0.001376,0.000992,0.000384,1.761859
1.741155,0.014752,0.000480,0.001472,0.000960,0.000384,1.764163
1.780259,0.016224,0.000448,0.001408,0.000960,0.000384,1.804675
1.709219,0.014304,0.000480,0.001504,0.001088,0.000384,1.731651
1.729251,0.014400,0.000448,0.001504,0.000960,0.000384,1.751587
1.749475,0.014880,0.000480,0.001568,0.001024,0.000352,1.773219
1.767267,0.014688,0.000480,0.001440,0.000992,0.000416,1.790275
1.711267,0.014368,0.000512,0.001504,0.000928,0.000416,1.733987
1.731299,0.015392,0.000512,0.001504,0.000960,0.000384,1.755075
1.696291,0.014496,0.000480,0.001472,0.000992,0.000384,1.719043
1.771267,0.014464,0.000512,0.001440,0.000896,0.000384,1.793731
1.719138,0.014592,0.000480,0.001504,0.000960,0.000384,1.741858
1.731906,0.016032,0.000448,0.001568,0.001120,0.000352,1.756899
1.736867,0.014304,0.000448,0.001408,0.000992,0.000384,1.759299
1.753635,0.014464,0.000448,0.001408,0.000928,0.000384,1.775875
1.737251,0.015968,0.000544,0.001600,0.001056,0.000352,1.762307
1.736354,0.014496,0.000480,0.001344,0.001056,0.000416,1.758882
1.718147,0.014304,0.000544,0.001440,0.000960,0.000352,1.740483
1.762019,0.014336,0.000480,0.001408,0.000928,0.000384,1.784643
1.711010,0.014272,0.000512,0.001408,0.000928,0.000384,1.733410
1.732707,0.014624,0.000416,0.001472,0.000864,0.000352,1.756195
1.747267,0.014464,0.000448,0.001344,0.000864,0.000384,1.769795
1.736547,0.014240,0.000480,0.001504,0.000960,0.000352,1.758595
1.737315,0.014368,0.000448,0.001440,0.000928,0.000384,1.759779
1.763171,0.014464,0.000480,0.001440,0.000896,0.000384,1.785923
1.728067,0.014848,0.000448,0.001600,0.001120,0.000352,1.752131
1.732611,0.014560,0.000480,0.001504,0.000992,0.000384,1.755427
1.744067,0.014656,0.000480,0.001472,0.000992,0.000352,1.766723
1.745283,0.014464,0.000512,0.001472,0.001088,0.000352,1.767747
1.734018,0.014464,0.000480,0.001408,0.000960,0.000352,1.756418
1.754371,0.014816,0.000416,0.001408,0.000960,0.000384,1.777379
1.737923,0.014304,0.000480,0.001504,0.000928,0.000384,1.760163
1.727555,0.014272,0.000480,0.001504,0.001440,0.000352,1.750883
1.736803,0.014368,0.000480,0.001376,0.001024,0.000448,1.759459
1.728931,0.014976,0.000448,0.001440,0.000960,0.000352,1.752227
1.757283,0.014752,0.000512,0.001504,0.001152,0.000416,1.781187
1.733698,0.014528,0.000480,0.001536,0.000928,0.000320,1.756354
1.738723,0.014336,0.000448,0.001440,0.000992,0.000384,1.761091
1.764003,0.014336,0.000480,0.001408,0.001312,0.000352,1.787043
1.714499,0.014272,0.000448,0.001408,0.000960,0.000384,1.736675
1.782883,0.015136,0.000480,0.001536,0.000960,0.000384,1.806531
1.727715,0.014656,0.000448,0.001472,0.001216,0.000416,1.751523
1.721443,0.015200,0.000480,0.001600,0.001152,0.000384,1.745955
1.720931,0.014624,0.000448,0.001536,0.000960,0.000384,1.744035
1.744771,0.014656,0.000512,0.001472,0.001280,0.000352,1.768899
1.722083,0.014624,0.000480,0.001504,0.001120,0.000352,1.745827
1.744643,0.014592,0.000480,0.001536,0.001088,0.000384,1.768035
1.708099,0.014656,0.000448,0.001568,0.000992,0.000384,1.731939
1.722563,0.014784,0.000480,0.001408,0.001120,0.000384,1.746371
1.713827,0.014784,0.000416,0.001472,0.001024,0.000352,1.737699
1.721091,0.015488,0.000480,0.001536,0.000960,0.000416,1.745475
1.729474,0.014400,0.000448,0.001504,0.000992,0.000384,1.752386
1.758083,0.014496,0.000448,0.001440,0.000992,0.000352,1.781283
1.701699,0.014560,0.000480,0.001408,0.001056,0.000416,1.724963
1.739939,0.015040,0.000480,0.001504,0.001280,0.000384,1.764707
1.736291,0.014496,0.000448,0.001536,0.001088,0.000384,1.759619
1.738370,0.016064,0.000480,0.001536,0.000928,0.000352,1.763170
1.712099,0.014432,0.000416,0.001504,0.000960,0.000352,1.735075
1.728387,0.014560,0.000480,0.001536,0.001056,0.000384,1.751075
1.745187,0.014720,0.000480,0.001536,0.001056,0.000384,1.768451
1.735811,0.014592,0.000448,0.001536,0.000960,0.000416,1.758531
1.716898,0.014753,0.000448,0.001568,0.001024,0.000384,1.740163
1.758563,0.014784,0.000448,0.001504,0.000896,0.000384,1.781443
1.731426,0.014464,0.000512,0.001536,0.000928,0.000416,1.754466
1.756355,0.014784,0.000480,0.001664,0.001152,0.000384,1.780643
1.740899,0.014528,0.000704,0.001440,0.001056,0.000384,1.764323
1.754787,0.014560,0.000448,0.001472,0.001120,0.000384,1.778019
1.712610,0.014368,0.000480,0.001472,0.001024,0.000416,1.735458
1.756195,0.016544,0.000480,0.001536,0.001088,0.000384,1.781347
1.712675,0.014400,0.000448,0.001504,0.000928,0.000352,1.735555
1.731170,0.014528,0.000480,0.001536,0.001056,0.000352,1.754178
1.702499,0.014464,0.000448,0.001472,0.000992,0.000352,1.725443
1.760867,0.016672,0.000448,0.001504,0.001376,0.000384,1.786787
1.747554,0.014560,0.000480,0.001536,0.001216,0.000416,1.771426
1.783651,0.015936,0.000512,0.001632,0.001248,0.000384,1.808963
1.726403,0.014624,0.000480,0.001472,0.001312,0.000384,1.750051
1.772227,0.016192,0.000544,0.001536,0.000960,0.000384,1.797187
1.721315,0.014560,0.000448,0.001472,0.001024,0.000384,1.744707
1.750595,0.017440,0.000448,0.001504,0.000960,0.000416,1.776739
1.750435,0.014528,0.000480,0.001536,0.001088,0.000384,1.773731
1.731106,0.014656,0.000512,0.001504,0.001024,0.000352,1.754210
