Layer[0],Layer[10],classifier
0.416321,0.708066,1.191875
0.415905,0.722178,1.208324
0.418209,0.706018,1.193187
0.421153,0.700130,1.190787
0.435073,0.727810,1.234276
0.416129,0.706594,1.190755
0.415874,0.707778,1.189348
0.416737,0.705570,1.190307
0.417217,0.724738,1.210115
0.416417,0.715490,1.202020
0.416321,0.704290,1.187715
0.421250,0.708034,1.195812
0.418497,0.735234,1.231139
0.416481,0.716578,1.204291
0.416546,0.722562,1.209860
0.454433,0.705026,1.228164
0.416449,0.711394,1.196419
0.415970,0.711874,1.196900
0.433889,0.722978,1.226723
0.416737,0.706818,1.191811
0.417090,0.716898,1.207268
0.416321,0.708418,1.190787
0.417537,0.715618,1.202275
0.417090,0.738370,1.226884
0.417537,0.706466,1.192835
0.415905,0.708770,1.194403
0.416546,0.726658,1.216612
0.417601,0.706434,1.193763
0.415617,0.705282,1.187395
0.445218,0.734402,1.252516
0.415681,0.741602,1.229508
0.416129,0.710626,1.197827
0.417089,0.704322,1.191875
0.417345,0.712386,1.199492
0.416449,0.729026,1.218243
0.416161,0.738018,1.226467
0.416769,0.697762,1.180420
0.415649,0.730210,1.219043
0.416449,0.738850,1.228995
0.417633,0.738083,1.226500
0.431265,0.732258,1.229315
0.416737,0.731074,1.220227
0.417090,0.726178,1.214756
0.423329,0.714242,1.210276
0.416129,0.710050,1.196131
0.416545,0.697218,1.226755
0.420769,0.700194,1.186852
0.416033,0.695938,1.178499
0.415841,0.745986,1.234499
0.416226,0.737602,1.220484
0.420289,0.736130,1.223331
0.416129,0.713378,1.196387
0.416225,0.715362,1.204771
0.415777,0.708098,1.192132
0.435553,0.699874,1.206179
0.416321,0.705154,1.190307
0.416225,0.695042,1.177860
0.420417,0.736098,1.232099
0.421025,0.696418,1.184483
0.415457,0.754467,1.244356
0.416097,0.705570,1.192963
0.415681,0.705378,1.188355
0.416706,0.726562,1.220356
0.420641,0.707650,1.197699
0.416641,0.745090,1.230915
0.430913,0.704450,1.205411
0.416097,0.731203,1.216580
0.416257,0.693794,1.178627
0.432897,0.704322,1.206787
0.415746,0.706114,1.189796
0.415681,0.692802,1.173219
0.415585,0.710754,1.196675
0.420482,0.707842,1.195652
0.419873,0.720674,1.214148
0.416001,0.714178,1.196259
0.420193,0.729218,1.228419
0.416321,0.710466,1.201924
0.416065,0.709570,1.191779
0.415777,0.702754,1.186755
0.437154,0.708674,1.215044
0.415905,0.733602,1.226211
0.421793,0.705154,1.195459
0.433441,0.716066,1.220259
0.416481,0.694274,1.177028
0.420609,0.701698,1.188995
0.416257,0.745698,1.229795
0.416578,0.699361,1.184324
0.415585,0.734178,1.230147
0.415585,0.705090,1.188739
0.416001,0.696450,1.179203
0.416513,0.752002,1.236932
0.421025,0.706594,1.198563
0.420609,0.695362,1.183395
0.434434,0.733762,1.237476
0.420513,0.696642,1.183683
0.420417,0.703458,1.190403
0.435842,0.735970,1.242052
0.421570,0.707905,1.196932
0.416449,0.705058,1.217187
0.416353,0.712994,1.199299
0.420449,0.738434,1.228995
0.416162,0.734594,1.230628
0.416801,0.706370,1.192068
0.420385,0.715650,1.209379
0.416321,0.753506,1.247427
0.416193,0.706178,1.192547
0.421954,0.747266,1.238436
0.432961,0.733026,1.237476
0.415969,0.710338,1.197763
0.420865,0.703426,1.191075
0.420641,0.711778,1.202595
0.421217,0.752003,1.252484
0.416833,0.728002,1.230468
0.417953,0.737698,1.225411
0.417281,0.711138,1.197443
0.417761,0.727170,1.219267
0.422434,0.739298,1.230692
0.416865,0.706978,1.190243
0.430113,0.735426,1.234851
0.416545,0.700226,1.184643
0.420994,0.704802,1.193476
0.417313,0.715746,1.204100
0.417313,0.699010,1.187459
0.416833,0.722242,1.207843
0.417057,0.739426,1.225091
0.416834,0.712802,1.201252
0.415969,0.727234,1.214052
0.417313,0.708322,1.192323
0.421057,0.735810,1.227843
0.432577,0.743330,1.246403
0.420994,0.705794,1.195748
0.420769,0.714050,1.203492
0.416385,0.710562,1.196899
0.416289,0.704738,1.189283
0.416417,0.746690,1.247459
0.421249,0.709922,1.202179
