Layer[9],Layer[10],classifier
1.783076,0.000832,1.788068
1.758692,0.000640,1.762788
1.780868,0.000736,1.784868
1.759972,0.000800,1.764580
1.782116,0.000800,1.786980
1.722308,0.000672,1.726564
1.780612,0.000704,1.785188
1.753860,0.000800,1.758180
1.771236,0.000768,1.775748
1.750340,0.000736,1.754660
1.774884,0.000736,1.779172
1.757156,0.000672,1.760932
1.775172,0.000768,1.779300
1.725795,0.000640,1.729636
1.757412,0.000768,1.761956
1.752516,0.000768,1.756740
1.751588,0.000768,1.756644
1.755620,0.000704,1.760260
1.774596,0.000800,1.778916
1.751716,0.000704,1.756132
1.751300,0.000736,1.756196
1.760356,0.000672,1.764932
1.783396,0.000992,1.788388
1.725476,0.000704,1.729796
1.781348,0.000800,1.786404
1.726244,0.000768,1.730628
1.770148,0.000704,1.774340
1.757988,0.000768,1.762436
1.788420,0.000800,1.793092
1.754724,0.000704,1.758884
1.751236,0.000832,1.755876
1.755684,0.000800,1.759908
1.772740,0.000800,1.777092
1.749540,0.000672,1.753572
1.766852,0.000736,1.771076
1.762500,0.000704,1.766372
1.748708,0.000992,1.754276
1.752260,0.000864,1.756420
1.785764,0.000768,1.790244
1.749380,0.000672,1.753380
1.767364,0.000768,1.772356
1.724068,0.000640,1.727972
1.766564,0.000768,1.771396
1.749540,0.000704,1.753828
1.761668,0.000736,1.765988
1.753348,0.000864,1.757860
1.780932,0.000736,1.785316
1.731236,0.000800,1.735556
1.771876,0.000768,1.776516
1.751908,0.000640,1.756164
1.764516,0.000768,1.769124
1.725572,0.000672,1.729700
1.769060,0.000704,1.773636
1.753508,0.000768,1.758116
1.737124,0.000704,1.740964
1.725732,0.000704,1.729892
1.784996,0.000832,1.789988
1.729220,0.000704,1.733604
1.743876,0.000800,1.748100
1.728963,0.000864,1.733347
1.799108,0.001024,1.804484
1.747876,0.000832,1.753156
1.782564,0.000896,1.786884
1.743076,0.000800,1.747268
1.778916,0.000992,1.784004
1.747140,0.000672,1.751876
1.751364,0.000896,1.756548
1.754724,0.001056,1.759940
1.761444,0.000800,1.765892
1.723684,0.000800,1.728164
1.754884,0.000992,1.759012
1.748452,0.000864,1.752868
1.780324,0.000736,1.784740
1.749604,0.000800,1.754276
1.774404,0.000736,1.778436
1.748804,0.000704,1.753796
1.824324,0.001056,1.829540
1.728932,0.000864,1.733636
1.784516,0.000864,1.789284
1.726980,0.000672,1.731012
1.782212,0.000865,1.786789
1.725412,0.000736,1.730052
1.768036,0.000672,1.771716
1.726948,0.000736,1.731140
1.752132,0.000672,1.756100
1.758244,0.000768,1.762948
1.787908,0.000928,1.793508
1.760708,0.000832,1.766020
1.787044,0.000736,1.792100
1.753380,0.000768,1.758500
1.781476,0.000736,1.786084
1.753700,0.000576,1.758020
1.767652,0.000896,1.772132
1.757860,0.000736,1.762436
1.751908,0.000736,1.755972
1.768964,0.000800,1.774948
1.730212,0.000736,1.734468
1.738148,0.000704,1.742116
1.728804,0.000672,1.732676
1.724932,0.000672,1.729924
1.726211,0.000736,1.730467
1.733572,0.000768,1.737668
1.712164,0.000832,1.716708
1.720676,0.000640,1.725156
1.741540,0.000640,1.745892
1.787652,0.000832,1.791876
1.750372,0.000800,1.755332
1.727652,0.000640,1.731684
1.750308,0.000736,1.754564
1.767524,0.000736,1.771300
1.749700,0.000736,1.753956
1.745796,0.000800,1.750244
1.746372,0.000608,1.750308
1.745732,0.000704,1.749860
1.745348,0.000704,1.749412
1.771236,0.000832,1.775940
1.746500,0.000736,1.750884
1.770660,0.000800,1.775268
1.726980,0.000672,1.730884
1.747236,0.000832,1.752292
1.725475,0.000768,1.730243
1.769028,0.000896,1.773988
1.748132,0.000672,1.752388
1.751044,0.000832,1.754948
1.745060,0.000640,1.749060
1.757924,0.000960,1.762756
1.750116,0.000736,1.754116
1.774052,0.000832,1.778692
1.749156,0.000672,1.753284
1.743716,0.000640,1.748228
1.727780,0.000640,1.732260
1.750084,0.000768,1.754404
1.750116,0.000640,1.754212
1.781220,0.000736,1.785156
1.742372,0.000768,1.746628
1.769732,0.000704,1.774436
1.726884,0.000704,1.731460
1.772484,0.000800,1.776644
1.752004,0.000672,1.756292
1.781028,0.000704,1.785316
1.740004,0.000704,1.744132
1.771588,0.000736,1.776228
1.746500,0.000608,1.750724
1.770564,0.000608,1.774436
1.750052,0.000768,1.754948
1.752868,0.000800,1.757764
1.755684,0.000832,1.760196
1.757605,0.000672,1.762117
1.757828,0.000704,1.762628
1.792484,0.000640,1.797188
1.741796,0.000704,1.746148
1.770052,0.000672,1.773988
1.747908,0.000672,1.752580
1.755556,0.000640,1.759716
1.741604,0.000800,1.746596
1.773636,0.000608,1.777828
1.724900,0.000704,1.729252
1.747172,0.000672,1.751908
1.758980,0.000800,1.763684
1.756004,0.000704,1.760100
1.750628,0.000736,1.754564
1.791172,0.000768,1.796260
1.745572,0.000704,1.749668
1.797540,0.000768,1.802692
1.755236,0.000768,1.759460
1.752548,0.000704,1.757316
1.741540,0.000704,1.745956
1.750660,0.000832,1.755268
1.756484,0.000672,1.760804
1.775204,0.000704,1.779812
1.749508,0.000672,1.753572
1.749476,0.000704,1.754468
1.713572,0.000608,1.717540
1.756484,0.000736,1.761124
1.761348,0.000736,1.765796
1.794052,0.000832,1.798596
1.730404,0.000704,1.734308
1.753188,0.000832,1.758116
1.755492,0.000704,1.759364
1.785636,0.000768,1.789540
1.731204,0.000672,1.735268
1.789092,0.000800,1.794084
1.806244,0.000640,1.810340
1.792516,0.000896,1.797380
1.764068,0.000640,1.768516
1.789604,0.000768,1.794116
1.749764,0.000640,1.753988
1.784228,0.000864,1.788580
1.753252,0.000704,1.757220
1.779076,0.000768,1.783812
1.749668,0.000832,1.754212
1.788965,0.000672,1.793093
1.724740,0.000672,1.728740
1.784804,0.000704,1.788996
1.758180,0.000768,1.762980
1.781156,0.000864,1.785668
1.747204,0.000736,1.751172
1.790564,0.000864,1.795428
1.715203,0.000768,1.719299
1.762404,0.000832,1.766948
1.749860,0.000736,1.754244
1.786916,0.000768,1.791076
1.722596,0.000704,1.726820
1.755364,0.000896,1.760580
1.732324,0.000736,1.736612
1.752644,0.000896,1.756772
1.750116,0.000672,1.754148
1.763812,0.000672,1.768132
1.748772,0.000672,1.753284
1.765380,0.000736,1.770116
1.720964,0.000704,1.725092
1.749796,0.000704,1.754372
1.723076,0.000736,1.727748
1.786692,0.000672,1.790948
1.757220,0.000768,1.762084
1.746148,0.000736,1.750052
1.756644,0.000832,1.761604
1.731364,0.000672,1.736036
1.753028,0.000736,1.757412
1.778180,0.000800,1.782500
1.749156,0.000704,1.753220
1.771556,0.000736,1.775716
1.745252,0.000736,1.749156
1.769284,0.000768,1.773860
1.731524,0.000672,1.736324
1.796100,0.000800,1.800740
1.733988,0.000832,1.738436
1.754820,0.000704,1.759620
1.742788,0.000768,1.747396
1.774308,0.000640,1.778468
1.751844,0.000640,1.755972
1.779492,0.000768,1.783492
1.751844,0.000672,1.755780
1.799940,0.000768,1.804900
1.752388,0.000640,1.756676
1.772804,0.000704,1.776740
1.750404,0.000704,1.754308
1.778052,0.000768,1.782628
1.752900,0.000800,1.757252
1.740388,0.000768,1.744388
1.749956,0.000640,1.754308
1.772740,0.000800,1.777220
1.747524,0.000672,1.751588
1.758244,0.000768,1.763332
1.750404,0.000704,1.754884
1.744612,0.000832,1.749316
1.747748,0.000640,1.751908
1.748708,0.000736,1.753381
1.757828,0.000704,1.762084
1.774948,0.000768,1.778884
1.749412,0.000608,1.753508
1.745668,0.000768,1.749988
1.745412,0.000640,1.749604
1.779140,0.000832,1.784388
1.728996,0.000768,1.733156
1.727684,0.000640,1.732068
1.763332,0.000736,1.768260
1.762180,0.000768,1.766468
1.751076,0.000672,1.755652
1.760100,0.000704,1.764548
1.725956,0.000864,1.730884
1.757380,0.000704,1.761860
1.760837,0.000736,1.765669
1.772164,0.000800,1.777252
1.759236,0.000672,1.763524
1.752549,0.001024,1.757637
1.735044,0.000768,1.739460
1.783684,0.000800,1.788612
1.780420,0.000800,1.784996
1.770532,0.000672,1.775364
1.761636,0.000768,1.767012
1.791332,0.000832,1.796644
1.737764,0.000736,1.742692
1.777701,0.000768,1.782309
1.753348,0.000768,1.757668
1.777636,0.000736,1.782436
1.729284,0.000704,1.733636
1.750308,0.000832,1.755333
1.715460,0.000768,1.719812
1.778820,0.000800,1.783844
1.754308,0.000736,1.758628
1.752004,0.000832,1.756580
1.761156,0.000736,1.765796
1.753348,0.000672,1.757956
1.749188,0.000704,1.753476
1.761220,0.000800,1.765924
1.740740,0.000832,1.745220
1.734148,0.000800,1.738852
1.730436,0.000736,1.734948
1.759844,0.000768,1.764196
1.726756,0.000704,1.731076
1.778885,0.000832,1.783525
1.775461,0.000704,1.780101
1.759749,0.000832,1.764645
1.730596,0.000768,1.735044
1.778084,0.000992,1.783012
1.749956,0.000704,1.754244
1.795044,0.000832,1.800132
1.717636,0.000736,1.721924
1.790885,0.000832,1.795205
1.728356,0.000736,1.732420
1.803620,0.000864,1.808228
1.760676,0.000736,1.765444
1.776708,0.000864,1.781156
1.715716,0.000800,1.720004
1.782660,0.000832,1.787524
1.757828,0.000672,1.762372
1.762980,0.000800,1.767652
1.758724,0.000672,1.762948
1.752676,0.000704,1.756932
1.741988,0.000736,1.746212
1.772004,0.000832,1.777444
1.725860,0.000704,1.730116
1.769636,0.000768,1.774308
1.728516,0.000704,1.732932
1.797604,0.000832,1.802372
1.752165,0.000736,1.756837
1.741380,0.000896,1.746052
1.762916,0.000704,1.767236
1.778852,0.000896,1.783524
1.751236,0.000704,1.755332
1.756452,0.000896,1.761252
1.752612,0.000704,1.756964
1.777701,0.000768,1.782053
1.730436,0.000736,1.734724
1.738788,0.000832,1.743204
1.728420,0.000832,1.732868
1.767685,0.000768,1.772005
1.749252,0.000832,1.753988
1.742052,0.000768,1.746020
1.750469,0.000640,1.754437
1.752388,0.000832,1.757476
1.729252,0.000736,1.733988
1.777093,0.000800,1.782149
1.750564,0.000736,1.754852
1.767972,0.000832,1.772740
1.752420,0.000704,1.757540
1.774884,0.000768,1.779364
1.712452,0.000736,1.716612
1.741732,0.000672,1.746308
1.729412,0.000672,1.733156
1.780676,0.000736,1.784932
1.770820,0.000800,1.775204
1.731044,0.000736,1.753732
1.719652,0.000640,1.723716
1.728900,0.000704,1.733028
1.756004,0.000704,1.760420
1.748324,0.000672,1.752548
1.756676,0.000672,1.760772
1.753252,0.000800,1.757604
1.747013,0.000672,1.750981
1.756292,0.000736,1.761092
1.762916,0.000736,1.767076
1.757476,0.000704,1.761764
1.755876,0.000768,1.760996
1.744836,0.000736,1.749284
1.743332,0.000640,1.747524
1.751524,0.000704,1.755876
1.711780,0.000672,1.715748
1.727748,0.000672,1.731428
1.757892,0.000672,1.762020
1.735652,0.000832,1.740068
1.756772,0.000704,1.760932
1.752484,0.000640,1.756644
1.750788,0.000640,1.755012
1.714532,0.000672,1.718084
1.728068,0.000640,1.731492
1.737380,0.000832,1.741540
1.777412,0.000864,1.782404
1.721668,0.000704,1.725316
1.783364,0.000960,1.788708
1.738564,0.000512,1.742884
1.791524,0.000864,1.796004
1.757988,0.000704,1.761956
1.760004,0.000768,1.764708
1.712164,0.000672,1.716996
1.726692,0.000704,1.730180
1.717828,0.000768,1.722212
1.773380,0.000704,1.777380
1.715268,0.000768,1.720260
1.785061,0.000928,1.791173
1.718404,0.000704,1.723140
1.772228,0.000800,1.776516
1.753668,0.000736,1.758308
1.779300,0.000640,1.783556
1.746308,0.000640,1.751620
1.772356,0.000768,1.776676
1.729028,0.000736,1.734500
1.749316,0.000672,1.753700
1.739556,0.000704,1.744228
1.751812,0.000736,1.756868
1.751588,0.000736,1.756132
1.791876,0.000768,1.795972
1.755204,0.000768,1.759780
1.788420,0.001056,1.793860
1.767140,0.000704,1.771652
1.794020,0.000800,1.798532
1.751908,0.000640,1.756164
1.778436,0.000704,1.782660
1.749956,0.000672,1.754436
1.787812,0.000896,1.792996
1.759876,0.000704,1.764804
1.771748,0.000736,1.776388
1.748260,0.000640,1.752932
1.732004,0.000704,1.736900
1.735748,0.000640,1.739748
1.784132,0.000832,1.788420
1.745092,0.000672,1.749444
1.775940,0.000704,1.780260
1.765444,0.000768,1.770244
1.799428,0.000992,1.804292
1.735428,0.000768,1.739556
1.778213,0.000672,1.782597
1.755588,0.000704,1.759716
1.779908,0.000704,1.783844
1.749828,0.000640,1.753892
1.785796,0.000768,1.790148
1.752228,0.000672,1.756676
1.773828,0.000768,1.778692
1.748068,0.000768,1.752965
1.772932,0.000864,1.778308
1.755844,0.000768,1.759940
1.786404,0.000640,1.790980
1.727620,0.000704,1.731588
1.775396,0.000736,1.780612
1.729668,0.000768,1.733988
1.785572,0.000736,1.789892
1.730148,0.000640,1.734372
1.788292,0.000672,1.793284
1.717412,0.000800,1.721828
1.770884,0.000640,1.775108
1.755364,0.000672,1.759844
1.767364,0.000672,1.772068
1.751556,0.000672,1.755588
1.791428,0.000736,1.795940
1.747365,0.000640,1.751429
1.768228,0.000800,1.772676
1.745444,0.000640,1.749092
1.770244,0.000672,1.774820
1.728644,0.000704,1.732452
1.775716,0.000736,1.780196
1.752452,0.000640,1.756132
1.781476,0.000704,1.785860
1.746372,0.000704,1.750052
1.774980,0.000768,1.779588
1.732004,0.000672,1.736132
1.772772,0.000672,1.777508
1.726564,0.000672,1.730436
1.776836,0.000672,1.781060
1.759140,0.000704,1.763204
1.737092,0.000704,1.741060
1.737700,0.000704,1.741476
1.813348,0.001024,1.818436
1.761604,0.000672,1.765604
1.763524,0.000672,1.768260
1.731428,0.000672,1.735908
1.746340,0.000736,1.751108
1.747300,0.000640,1.751652
1.749508,0.000640,1.754308
1.759429,0.000640,1.764229
1.754948,0.000608,1.759780
1.750532,0.000672,1.754276
1.743748,0.000736,1.748228
1.754948,0.000672,1.758916
1.760036,0.000832,1.765124
1.750948,0.000640,1.755108
1.751908,0.000800,1.757156
1.758724,0.000672,1.762980
1.780228,0.000768,1.786276
1.763524,0.001024,1.769956
1.787076,0.000992,1.791684
1.763108,0.000640,1.767684
1.775044,0.000672,1.779780
1.739044,0.000704,1.744324
1.794756,0.000736,1.799716
1.753252,0.000736,1.757732
1.767941,0.000704,1.772069
1.753540,0.000736,1.758340
1.772420,0.000768,1.777124
1.753956,0.000640,1.758244
1.742884,0.000736,1.747908
1.762756,0.000864,1.767076
1.741220,0.000672,1.745892
1.751940,0.000672,1.756292
1.774404,0.000608,1.778564
1.709956,0.000576,1.714436
1.768740,0.000672,1.772804
1.758980,0.000672,1.763332
1.768420,0.000832,1.773412
1.734628,0.000928,1.740292
1.769956,0.000672,1.773988
1.762052,0.000768,1.768292
1.834788,0.001408,1.842372
1.732740,0.001120,1.738468
1.770948,0.000800,1.775588
1.757124,0.000608,1.761156
1.774085,0.000928,1.778693
1.754084,0.000704,1.758276
1.746276,0.000832,1.750948
1.727012,0.000800,1.731364
1.746660,0.000768,1.751492
1.726500,0.000704,1.730820
1.793700,0.000832,1.798212
1.764388,0.000704,1.769508
1.742468,0.000800,1.746756
1.725316,0.000608,1.729540
1.803652,0.000864,1.808260
1.737156,0.000896,1.741732
1.760996,0.000864,1.766564
1.763076,0.000832,1.767620
1.793636,0.000832,1.797924
1.758148,0.000608,1.762340
1.773476,0.000768,1.777412
1.749508,0.000896,1.753988
1.744228,0.000736,1.748260
1.759460,0.000672,1.763972
1.776357,0.001088,1.780549
1.755556,0.000704,1.760612
1.779268,0.000864,1.784452
1.732452,0.000896,1.737380
1.753188,0.000768,1.757956
1.758340,0.000800,1.762404
1.761028,0.000960,1.765732
1.732388,0.000832,1.736484
1.749220,0.000864,1.753668
1.755717,0.000704,1.759525
1.782948,0.000704,1.787300
1.746308,0.000576,1.750468
1.755524,0.000768,1.761124
1.746852,0.000768,1.751556
1.746757,0.000736,1.751141
1.729252,0.000704,1.733284
1.732324,0.000672,1.736292
1.762500,0.000608,1.766212
1.770660,0.000736,1.775364
1.731972,0.000704,1.735972
1.785028,0.000736,1.789316
1.750084,0.000736,1.754340
1.751236,0.000736,1.756228
1.758820,0.000864,1.763108
1.777028,0.000672,1.782276
1.729412,0.000704,1.733572
1.744644,0.000800,1.748708
1.758020,0.000704,1.762052
1.789860,0.000832,1.793956
1.759684,0.000768,1.764036
1.788644,0.000768,1.793668
1.767717,0.000736,1.772101
1.762788,0.001120,1.768164
1.749540,0.000704,1.754084
1.781893,0.000864,1.787365
1.778628,0.000928,1.783140
1.745668,0.000896,1.750756
1.727717,0.000736,1.732037
1.750180,0.000672,1.754948
1.751716,0.000864,1.756420
1.766500,0.000736,1.771364
1.761060,0.000672,1.765540
1.794084,0.000704,1.798724
1.739588,0.000768,1.744292
1.761221,0.000800,1.766341
1.754692,0.000832,1.758980
1.779524,0.000960,1.783812
1.728356,0.000864,1.732452
1.771524,0.000768,1.775780
1.758405,0.000992,1.762501
1.769540,0.000832,1.774660
1.768260,0.000864,1.772772
1.785092,0.000864,1.789604
1.753412,0.000896,1.757540
1.749412,0.000640,1.753508
1.751524,0.000800,1.755589
1.777221,0.000704,1.781189
1.721252,0.000640,1.725252
1.777380,0.001056,1.783620
1.755396,0.000736,1.760004
1.771108,0.000800,1.775588
1.732964,0.000640,1.737604
1.751460,0.000736,1.756228
1.726468,0.000640,1.730628
1.748900,0.000608,1.753028
1.770180,0.000672,1.774692
1.741124,0.000736,1.745508
1.749124,0.000640,1.753188
1.778468,0.000736,1.782308
1.754532,0.000704,1.759364
1.755332,0.000736,1.760292
1.704516,0.000672,1.708772
1.765412,0.000768,1.770180
1.759396,0.000704,1.763652
1.775524,0.000832,1.780068
1.757092,0.000960,1.761956
1.772100,0.000864,1.776484
1.726020,0.000832,1.730468
1.773412,0.001088,1.777668
1.749924,0.000800,1.754532
1.795044,0.001056,1.799908
1.751365,0.000768,1.755685
1.778628,0.000800,1.783300
1.749156,0.000864,1.753380
1.734404,0.000768,1.738212
1.723236,0.000736,1.727140
1.753444,0.000704,1.757572
1.766660,0.000800,1.770852
1.749413,0.001152,1.753701
1.749188,0.000704,1.752996
1.762052,0.000832,1.766980
1.724548,0.000672,1.728804
1.755716,0.000864,1.760548
1.745252,0.000672,1.749732
1.722244,0.000736,1.726596
1.727044,0.000800,1.731396
1.754852,0.000736,1.758756
1.725508,0.000704,1.730116
1.724676,0.000736,1.728452
1.756932,0.000704,1.761252
1.764964,0.000832,1.769573
1.751076,0.000672,1.755364
1.755332,0.000704,1.759300
1.781540,0.000768,1.785860
1.751204,0.000704,1.755460
1.753156,0.000768,1.757700
1.753541,0.000928,1.757925
1.752996,0.000736,1.757732
1.726052,0.000768,1.730404
1.783876,0.000800,1.788580
1.763588,0.000864,1.768420
1.801572,0.000800,1.806436
1.752228,0.000800,1.756452
1.777924,0.000864,1.782948
1.743972,0.000800,1.748036
1.767268,0.000768,1.771973
1.747972,0.000832,1.752356
1.788132,0.000768,1.792708
1.751908,0.000832,1.757252
1.774852,0.000736,1.779332
1.721700,0.000736,1.726436
1.797988,0.000736,1.802404
1.755780,0.000928,1.760004
1.735524,0.000768,1.740292
1.748644,0.000736,1.752676
1.767268,0.000864,1.771620
1.751173,0.000608,1.755685
1.750116,0.000736,1.754788
1.754436,0.000672,1.759108
1.790341,0.000992,1.795589
1.752804,0.000672,1.757348
1.798884,0.000832,1.803460
1.720388,0.000704,1.725156
1.788804,0.000992,1.793860
1.754308,0.000704,1.758500
1.786277,0.000832,1.790277
1.754276,0.000864,1.758436
1.743428,0.000768,1.748036
1.753444,0.000896,1.758500
1.751652,0.000896,1.756324
1.758596,0.000960,1.763140
1.753636,0.000736,1.757636
1.746180,0.000672,1.750660
1.776036,0.000768,1.779940
1.749028,0.000672,1.752868
1.743812,0.000768,1.747972
1.722468,0.000672,1.726180
1.763652,0.000736,1.768196
1.750116,0.000896,1.753988
1.801860,0.000960,1.807460
1.771972,0.000800,1.776932
1.802245,0.000832,1.806693
1.713732,0.000704,1.717956
1.788356,0.000704,1.792420
1.780932,0.000640,1.785124
1.780932,0.000736,1.785092
1.726116,0.000768,1.730756
1.755492,0.000768,1.759716
1.752676,0.000736,1.757220
1.792196,0.001024,1.797028
1.766948,0.000896,1.772132
1.751588,0.000832,1.756260
1.754789,0.000736,1.759781
1.788357,0.000832,1.792901
1.729796,0.000704,1.734020
1.790373,0.000736,1.795013
1.726180,0.000768,1.730404
1.765285,0.000768,1.769605
1.775621,0.000800,1.779877
1.769509,0.000960,1.774757
1.755684,0.000800,1.759940
1.744676,0.000704,1.749508
1.752549,0.000736,1.756805
1.776773,0.000640,1.780965
1.747684,0.000800,1.752068
1.770084,0.000640,1.774212
1.748772,0.000736,1.752740
1.777028,0.000608,1.781508
1.742276,0.000640,1.746404
1.784260,0.000736,1.789412
1.738148,0.000704,1.742468
1.780421,0.000800,1.785221
1.736517,0.001088,1.741157
1.787908,0.000768,1.792452
1.732036,0.000896,1.736260
1.750084,0.000800,1.754884
1.763140,0.000960,1.767908
1.751365,0.000672,1.755973
1.736516,0.000832,1.741540
1.779812,0.000896,1.784708
1.724580,0.000768,1.728740
1.758436,0.000864,1.763268
1.741284,0.000704,1.745316
1.751684,0.000768,1.756292
1.713604,0.000864,1.717764
1.780292,0.000736,1.784548
1.754341,0.000768,1.758533
1.755716,0.000704,1.760324
1.751748,0.000800,1.756484
1.802757,0.000896,1.807749
1.748548,0.000896,1.752836
1.791140,0.000736,1.795172
1.754084,0.000672,1.758020
1.793828,0.000640,1.797796
1.746756,0.000640,1.750917
1.766372,0.001024,1.771364
1.765060,0.000704,1.769508
1.765540,0.000832,1.770692
1.767172,0.000864,1.772324
2.110949,0.001056,2.116069
1.756452,0.000768,1.760804
1.788484,0.000928,1.793636
1.728580,0.000704,1.733060
1.737060,0.000864,1.741924
1.777765,0.000768,1.781765
1.787780,0.000896,1.791876
1.726980,0.000672,1.730948
1.766116,0.000800,1.770852
1.767013,0.000992,1.772261
1.792644,0.001024,1.797924
1.753988,0.000896,1.758244
1.752740,0.000800,1.757636
1.740836,0.000960,1.745124
1.783268,0.000832,1.787524
1.770628,0.000960,1.776132
1.775972,0.000736,1.780708
1.728900,0.000768,1.733060
1.771716,0.000704,1.775588
1.768548,0.000737,1.773605
1.750212,0.000768,1.754436
1.730020,0.000672,1.734308
1.769700,0.000832,1.774980
1.763492,0.000832,1.767972
1.765381,0.001024,1.769669
1.774468,0.001024,1.781188
1.793924,0.000896,1.798596
1.758660,0.000864,1.763332
1.764804,0.000768,1.771780
1.731716,0.000800,1.736292
1.798884,0.001024,1.803684
1.751844,0.000640,1.757156
1.786148,0.000928,1.790980
1.727460,0.000672,1.731876
1.776612,0.000832,1.781124
1.748644,0.000672,1.753764
1.813732,0.000704,1.818020
1.751364,0.000672,1.755716
1.800421,0.000896,1.806149
1.763140,0.000896,1.769092
1.761444,0.001088,1.765956
1.726660,0.000832,1.731044
1.809860,0.000704,1.814596
1.726628,0.000640,1.730756
1.750021,0.000704,1.753733
1.732612,0.000768,1.737572
1.751652,0.000640,1.755556
1.752004,0.000704,1.756260
1.792452,0.000896,1.797700
1.754212,0.000672,1.758404
1.754468,0.000736,1.758852
1.749924,0.000768,1.753988
1.774948,0.000768,1.779716
1.762244,0.000832,1.766596
1.780676,0.000800,1.784740
1.725220,0.000704,1.729636
1.771972,0.000992,1.776964
1.746532,0.000640,1.750468
1.782085,0.000768,1.787877
1.729700,0.000928,1.734468
1.745156,0.000672,1.749188
1.757541,0.000992,1.761925
1.746821,0.000672,1.751237
1.756357,0.000704,1.760613
1.763844,0.000768,1.767780
1.752292,0.000896,1.756324
1.747748,0.000736,1.752484
1.759716,0.000704,1.764068
1.814628,0.000832,1.820324
1.755044,0.000832,1.759428
1.786212,0.000736,1.790212
