Layer[0],Layer[1],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.416961,0.017760,0.677474,0.048320,0.000832,0.013952,0.000416,0.001568,0.000992,0.000352,1.185123
0.421889,0.017440,0.684450,0.048384,0.000832,0.013760,0.000448,0.001440,0.001152,0.000352,1.198467
0.422050,0.017568,0.713186,0.049152,0.000832,0.013472,0.000384,0.001568,0.001152,0.000416,1.228388
0.420961,0.017568,0.683586,0.049120,0.000832,0.013792,0.000352,0.001536,0.001120,0.000352,1.197379
0.420257,0.017408,0.684290,0.048352,0.000960,0.013760,0.000384,0.001440,0.001088,0.000352,1.196579
0.420514,0.017536,0.708546,0.050272,0.000832,0.013600,0.000416,0.001504,0.001344,0.000384,1.223364
0.419009,0.017408,0.690946,0.047904,0.000832,0.013600,0.000416,0.001472,0.001600,0.000416,1.202851
0.421378,0.017824,0.684929,0.048833,0.000864,0.013696,0.000448,0.001504,0.001120,0.000320,1.199236
0.434593,0.017536,0.681282,0.048768,0.000864,0.013568,0.000384,0.001408,0.001056,0.000352,1.208099
0.421281,0.017792,0.666850,0.048832,0.000896,0.013824,0.000448,0.001568,0.001088,0.000352,1.180387
0.421954,0.017600,0.680738,0.048288,0.000832,0.013952,0.000448,0.001408,0.001184,0.000352,1.194404
0.423361,0.017216,0.693026,0.049216,0.000832,0.013952,0.000480,0.001536,0.001056,0.000352,1.208803
0.421345,0.017184,0.680130,0.049440,0.000832,0.013696,0.000384,0.001504,0.001056,0.000416,1.193475
0.420866,0.017504,0.690594,0.049024,0.000800,0.013824,0.000416,0.001504,0.001088,0.000352,1.203908
0.415937,0.017600,0.659618,0.047520,0.001056,0.013408,0.000384,0.001504,0.001056,0.000384,1.166051
0.416097,0.017344,0.680162,0.047776,0.000800,0.013696,0.000352,0.001440,0.001056,0.000352,1.186723
0.420098,0.017504,0.687234,0.048480,0.000832,0.013472,0.000448,0.001568,0.001056,0.000352,1.198884
0.420225,0.017568,0.677538,0.047744,0.000832,0.013760,0.000416,0.001472,0.001088,0.000416,1.188867
0.421153,0.017728,0.677186,0.047808,0.000800,0.013696,0.000448,0.001440,0.001088,0.000352,1.189667
0.415841,0.017472,0.692162,0.047392,0.000896,0.013536,0.000448,0.001440,0.001088,0.000320,1.198243
0.416449,0.017248,0.676418,0.047392,0.000832,0.013536,0.000448,0.001536,0.001120,0.000352,1.182883
0.416065,0.017408,0.680290,0.049985,0.000800,0.013728,0.000448,0.001440,0.001120,0.000352,1.189508
0.437665,0.017568,0.684610,0.047680,0.000832,0.013504,0.000416,0.001440,0.001088,0.000320,1.213027
0.417601,0.017504,0.671074,0.047392,0.000864,0.013664,0.000416,0.001472,0.001056,0.000320,1.178979
0.416258,0.017760,0.680962,0.047456,0.000800,0.013504,0.000448,0.001472,0.001024,0.000320,1.187652
0.415809,0.017728,0.680514,0.047712,0.000832,0.013760,0.000384,0.001472,0.001056,0.000416,1.186915
0.421537,0.017472,0.678370,0.047424,0.000833,0.013728,0.000416,0.001472,0.001120,0.000384,1.190692
0.421441,0.017792,0.700994,0.050976,0.000800,0.013504,0.000416,0.001472,0.001216,0.000384,1.217155
0.415937,0.017440,0.685026,0.047616,0.000896,0.013984,0.000416,0.001504,0.001120,0.000352,1.192099
0.417634,0.017248,0.680321,0.047457,0.000832,0.013952,0.000416,0.001504,0.001056,0.000576,1.188900
0.421793,0.017472,0.696354,0.050720,0.000896,0.013856,0.000832,0.001536,0.001056,0.000384,1.212771
0.415905,0.017376,0.678562,0.047552,0.000896,0.013728,0.000384,0.001600,0.000992,0.000320,1.185091
0.421250,0.017344,0.681410,0.047488,0.000800,0.013984,0.000384,0.001440,0.000960,0.000384,1.193060
0.439777,0.017856,0.688290,0.051200,0.000864,0.014048,0.000416,0.001504,0.001248,0.000384,1.223939
0.417730,0.017664,0.671201,0.049153,0.000864,0.014752,0.000416,0.001760,0.001056,0.000352,1.182756
0.418433,0.017632,0.679746,0.050624,0.000832,0.014368,0.000416,0.001568,0.001024,0.000384,1.192867
0.422113,0.017696,0.683138,0.049216,0.001024,0.014144,0.000448,0.001568,0.001056,0.000384,1.199651
0.415778,0.017632,0.684898,0.049568,0.000864,0.013856,0.000384,0.001536,0.001120,0.000384,1.193764
0.420801,0.017760,0.709890,0.049056,0.000928,0.013792,0.000448,0.001472,0.001120,0.000384,1.223139
0.420961,0.017568,0.678530,0.047712,0.000800,0.013473,0.000448,0.001472,0.001152,0.000384,1.190308
0.420961,0.017280,0.677794,0.047776,0.000832,0.013472,0.000448,0.001504,0.001216,0.000352,1.189347
0.419777,0.017504,0.706978,0.049120,0.000864,0.013536,0.000416,0.001440,0.001088,0.000288,1.218819
0.421506,0.017472,0.679234,0.047424,0.000832,0.013824,0.000480,0.001504,0.001088,0.000384,1.191524
0.420577,0.017504,0.679586,0.047584,0.000864,0.013824,0.000416,0.001472,0.001088,0.000384,1.191011
0.443361,0.017312,0.688930,0.048672,0.000832,0.013505,0.000416,0.001472,0.001088,0.000320,1.223684
0.421857,0.017408,0.664002,0.047488,0.000896,0.013696,0.000448,0.001504,0.001184,0.000352,1.176451
0.421921,0.017504,0.682274,0.047424,0.000832,0.013664,0.000448,0.001536,0.001056,0.000320,1.194659
0.422337,0.017505,0.676769,0.048033,0.000864,0.013792,0.000384,0.001472,0.001088,0.000320,1.191140
0.417249,0.017696,0.678786,0.048032,0.000864,0.013824,0.000384,0.001536,0.001120,0.000320,1.188099
0.416705,0.017440,0.699010,0.047456,0.000832,0.013792,0.000384,0.001472,0.001088,0.000384,1.206787
0.416898,0.017376,0.674562,0.048480,0.000864,0.013760,0.000416,0.001504,0.001024,0.000320,1.182820
0.421217,0.017472,0.667906,0.047680,0.000832,0.013920,0.000384,0.001504,0.001088,0.000352,1.180323
0.419969,0.017248,0.689282,0.047392,0.000896,0.013728,0.000448,0.001504,0.001088,0.000384,1.200547
0.415777,0.017728,0.674658,0.047552,0.000896,0.013632,0.000416,0.001472,0.001120,0.000416,1.181315
0.416641,0.017504,0.677122,0.047712,0.000832,0.013824,0.000480,0.001504,0.001088,0.000352,1.185155
0.416833,0.017568,0.693506,0.049792,0.000832,0.013536,0.000352,0.001504,0.001088,0.000352,1.203780
0.420737,0.017600,0.674498,0.047360,0.000864,0.013728,0.000448,0.001536,0.001120,0.000416,1.186339
0.420065,0.017504,0.680322,0.047744,0.000864,0.013536,0.000416,0.001440,0.001120,0.000352,1.192131
0.435234,0.017344,0.667522,0.047584,0.000864,0.014048,0.000384,0.001536,0.001088,0.000352,1.194340
0.417089,0.017280,0.680194,0.047776,0.000896,0.013664,0.000448,0.001568,0.001120,0.000352,1.188131
0.420289,0.017408,0.675138,0.047488,0.000832,0.013536,0.000448,0.001568,0.001088,0.000320,1.185859
0.416673,0.017600,0.666754,0.047904,0.000896,0.013440,0.000416,0.001440,0.001120,0.000320,1.174211
0.419489,0.017344,0.684162,0.047904,0.000832,0.013472,0.000416,0.001472,0.001056,0.000416,1.194115
0.421538,0.017248,0.693602,0.049728,0.000800,0.013632,0.000416,0.001504,0.001120,0.000384,1.208036
0.420769,0.017248,0.679074,0.047840,0.000960,0.013664,0.000416,0.001536,0.001088,0.000384,1.190691
0.420513,0.017312,0.670530,0.047456,0.000864,0.013696,0.000384,0.001440,0.001088,0.000352,1.181411
0.416033,0.017216,0.697922,0.049984,0.000832,0.013408,0.000608,0.001536,0.001056,0.000384,1.206883
0.420769,0.017664,0.677730,0.047936,0.000832,0.013664,0.000416,0.001440,0.001120,0.000352,1.191683
0.416450,0.017248,0.679233,0.048097,0.000832,0.013504,0.000384,0.001472,0.001056,0.000384,1.186500
0.437153,0.017568,0.690690,0.048448,0.000832,0.013472,0.000416,0.001504,0.001152,0.000352,1.219459
0.422401,0.017248,0.668610,0.048352,0.000832,0.013409,0.000448,0.001472,0.001056,0.000352,1.181892
0.420737,0.017280,0.684610,0.048256,0.000832,0.013568,0.000448,0.001440,0.001056,0.000352,1.196899
0.421441,0.017344,0.676418,0.047488,0.000832,0.013728,0.000384,0.001600,0.001088,0.000352,1.188771
0.416066,0.017600,0.671777,0.047425,0.000832,0.013568,0.000416,0.001536,0.001056,0.000384,1.178596
0.420577,0.017440,0.698786,0.047936,0.000800,0.013696,0.000416,0.001472,0.001120,0.000352,1.210595
0.416801,0.017504,0.664482,0.047648,0.001088,0.013664,0.000384,0.001536,0.001152,0.000352,1.173027
0.415969,0.017440,0.681538,0.047904,0.000864,0.013696,0.000384,0.001504,0.001088,0.000384,1.188227
0.415841,0.017568,0.716450,0.049696,0.000992,0.013440,0.000448,0.001568,0.001152,0.000384,1.227651
0.415554,0.017408,0.679106,0.047488,0.000896,0.013568,0.000448,0.001632,0.001152,0.000352,1.185412
0.419937,0.017472,0.688290,0.047872,0.000896,0.013760,0.000608,0.001440,0.001120,0.000384,1.201219
0.439298,0.017728,0.689378,0.048256,0.001056,0.013664,0.000608,0.001536,0.001248,0.000352,1.221444
0.415809,0.017344,0.684610,0.048416,0.000864,0.013696,0.000416,0.001504,0.001248,0.000320,1.192387
0.420833,0.017569,0.681569,0.048257,0.000928,0.013920,0.000416,0.001632,0.001216,0.000384,1.194980
0.417089,0.017376,0.675554,0.048896,0.000896,0.013664,0.000384,0.001472,0.001120,0.000320,1.185443
0.421569,0.017600,0.681026,0.048800,0.000928,0.013792,0.000448,0.001569,0.001152,0.000384,1.195044
0.417313,0.017536,0.702882,0.050432,0.000832,0.013984,0.000384,0.001504,0.001440,0.000384,1.215139
0.416545,0.017792,0.687490,0.049024,0.000864,0.013792,0.000384,0.001472,0.001120,0.000352,1.197059
0.422433,0.017504,0.683074,0.049184,0.000896,0.014048,0.000416,0.001632,0.001216,0.000352,1.198819
0.416897,0.017504,0.761218,0.048288,0.000832,0.013793,0.000384,0.001568,0.001376,0.000352,1.269956
0.418593,0.017536,0.683714,0.048512,0.000896,0.013760,0.000448,0.001504,0.001056,0.000384,1.194307
0.421121,0.017376,0.674466,0.048576,0.000864,0.013984,0.000416,0.001632,0.001088,0.000384,1.188227
0.435010,0.017728,0.677698,0.048256,0.000864,0.013856,0.000416,0.001536,0.001376,0.000384,1.204580
0.416961,0.017440,0.678562,0.047872,0.001056,0.013760,0.000416,0.001536,0.001088,0.000384,1.186691
