Layer[10],classifier
1.690308,1.756420
1.680452,1.746372
1.671524,1.740484
1.722276,1.812325
1.702244,1.768740
1.681188,1.752356
1.701892,1.767684
1.712965,1.801413
1.692996,1.756805
1.704612,1.776964
1.664068,1.727780
1.691684,1.766724
1.698405,1.767141
1.713956,1.781125
1.653924,1.723172
1.678692,1.745188
1.686340,1.752452
1.723588,1.804420
1.700036,1.765316
1.712932,1.788164
1.698533,1.765157
1.682724,1.749093
1.663428,1.730308
1.687556,1.754948
1.690820,1.756420
1.684100,1.751780
1.691492,1.755204
1.684516,1.754276
1.670180,1.734308
1.715364,1.795684
1.681668,1.746468
1.716100,1.795652
1.668900,1.736036
1.710660,1.793796
1.688196,1.754180
1.709956,1.781604
1.681028,1.745636
1.667844,1.757188
1.652740,1.716708
1.690116,1.758884
1.661572,1.725508
1.667076,1.734788
1.702596,1.770852
1.698308,1.763524
1.681764,1.744612
1.668548,1.732677
1.689093,1.754725
1.676900,1.757124
1.681380,1.745604
1.700996,1.767268
1.686532,1.752740
1.686788,1.760196
1.697028,1.767205
1.706245,1.776037
1.690180,1.757284
1.664996,1.734852
1.692452,1.765540
1.700548,1.768805
1.693828,1.763972
1.698404,1.765124
1.697924,1.771524
1.676804,1.745956
1.690085,1.756517
1.695524,1.762948
1.708708,1.778148
1.691684,1.762981
1.697444,1.774212
1.700420,1.771844
1.687524,1.753733
1.695108,1.762052
1.701220,1.771716
1.653764,1.719077
1.683588,1.756740
1.674116,1.745924
1.720164,1.797637
1.690084,1.756100
1.691076,1.760452
1.691748,1.763588
1.687140,1.759300
1.702148,1.773029
1.727684,1.801476
1.708292,1.783141
1.692964,1.768196
1.690948,1.759524
1.698980,1.777348
1.697636,1.766053
1.715876,1.794212
1.688548,1.757093
1.692612,1.762884
1.690276,1.757861
1.728132,1.814500
1.672293,1.739333
1.713348,1.789540
1.670660,1.740964
1.737732,1.814213
1.703844,1.773316
1.717412,1.791812
1.677220,1.745924
1.723108,1.792708
1.701765,1.768581
1.725124,1.799844
1.693124,1.762468
1.696804,1.767045
1.696708,1.764132
1.715140,1.783236
1.669220,1.737893
1.670468,1.743428
1.694692,1.761956
1.718788,1.798629
1.663428,1.727620
1.687908,1.755748
1.660996,1.725892
1.694308,1.763396
1.654500,1.722148
1.685828,1.756228
1.665028,1.731908
1.688772,1.754884
1.669444,1.737637
1.718596,1.787844
1.681924,1.751588
1.726660,1.808292
1.662084,1.725029
1.695844,1.766596
1.695812,1.774596
1.708804,1.776324
1.665988,1.731588
1.710628,1.781636
1.694820,1.763749
1.700164,1.765380
1.674916,1.741284
1.695012,1.765124
1.666308,1.732836
1.716100,1.790628
1.661220,1.727397
1.690468,1.763109
1.667332,1.733092
1.724004,1.792996
1.691204,1.757220
1.702020,1.770692
1.700932,1.771140
1.685444,1.754244
1.667172,1.734820
1.688292,1.756772
1.686276,1.752516
1.694084,1.769188
1.668292,1.735908
