Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[9],Layer[10],classifier
0.420258,0.017504,0.202688,0.004832,0.046912,0.000800,0.013344,0.174593,0.000480,0.887747
0.442817,0.017568,0.204577,0.004896,0.046944,0.000576,0.013408,0.174881,0.000704,0.913891
0.415361,0.017664,0.203681,0.004864,0.046912,0.000768,0.013376,0.179648,0.000608,0.889218
0.415777,0.017376,0.202880,0.004896,0.046944,0.000800,0.013441,0.178080,0.000512,0.886914
0.415489,0.017632,0.202625,0.004800,0.046912,0.000544,0.013408,0.179905,0.000608,0.888259
0.419457,0.017600,0.202657,0.004864,0.046944,0.000576,0.013376,0.208800,0.000608,0.921122
0.416577,0.017568,0.202752,0.004832,0.047009,0.000576,0.013376,0.174528,0.000576,0.884162
0.415841,0.017409,0.202112,0.004800,0.046944,0.000608,0.013376,0.189313,0.000640,0.897091
0.415265,0.017312,0.223137,0.004928,0.047264,0.000768,0.013504,0.177057,0.000576,0.907683
0.415105,0.017152,0.202881,0.004800,0.047168,0.000544,0.013376,0.174016,0.000640,0.881698
0.416066,0.017248,0.202368,0.004800,0.046944,0.001024,0.013408,0.169409,0.000544,0.878595
0.415233,0.017216,0.202465,0.004800,0.046976,0.000512,0.013344,0.171393,0.000576,0.878755
0.439521,0.017376,0.202113,0.004800,0.047008,0.000576,0.013408,0.184928,0.000576,0.917122
0.416257,0.017152,0.202560,0.004800,0.047008,0.000576,0.013441,0.168608,0.000512,0.877506
0.415137,0.017152,0.202177,0.005248,0.046816,0.000480,0.013408,0.183809,0.000544,0.891139
0.420129,0.017184,0.201985,0.004864,0.047200,0.001024,0.013312,0.188256,0.000512,0.900546
0.415394,0.017152,0.202208,0.004864,0.047040,0.000608,0.013344,0.154657,0.000480,0.861891
0.415233,0.017312,0.202081,0.004832,0.046976,0.000544,0.013408,0.161697,0.000640,0.868803
0.415585,0.017504,0.202561,0.004832,0.047008,0.001056,0.013408,0.173504,0.000640,0.883170
0.434242,0.017536,0.202016,0.004896,0.046848,0.000800,0.013312,0.195201,0.000544,0.921635
0.414785,0.017376,0.202497,0.005024,0.046880,0.000736,0.013312,0.172449,0.000512,0.880067
0.414945,0.017120,0.203105,0.004832,0.046848,0.000512,0.013376,0.162016,0.000512,0.869442
0.415234,0.017184,0.202240,0.004864,0.046944,0.000832,0.013376,0.177473,0.000512,0.884547
0.414849,0.017216,0.202273,0.004896,0.046848,0.000960,0.013312,0.153889,0.000672,0.862147
0.415137,0.018208,0.202529,0.004864,0.047008,0.000544,0.013408,0.159040,0.000640,0.868066
0.419554,0.017568,0.202080,0.004896,0.046976,0.000544,0.013696,0.174561,0.000544,0.886403
0.415169,0.017312,0.219713,0.005024,0.046880,0.000512,0.013344,0.196193,0.000736,0.921443
0.419969,0.017216,0.202497,0.004768,0.046880,0.000544,0.013344,0.175392,0.000672,0.887874
0.417090,0.017504,0.203136,0.004864,0.046912,0.000736,0.013504,0.215073,0.000544,0.926467
0.415457,0.017089,0.202688,0.004928,0.046880,0.000544,0.013760,0.173281,0.000576,0.881123
0.431777,0.017504,0.203105,0.004800,0.046912,0.000512,0.013344,0.166592,0.000480,0.891778
0.415681,0.017216,0.202400,0.004800,0.046817,0.000736,0.013408,0.176224,0.000608,0.884706
0.415650,0.017376,0.202304,0.004768,0.046784,0.000992,0.013344,0.171329,0.000576,0.879779
0.415649,0.017312,0.202209,0.004800,0.046912,0.000800,0.013344,0.181249,0.000672,0.889283
0.419969,0.017280,0.202176,0.004896,0.046881,0.000512,0.013376,0.193664,0.000576,0.904994
0.415426,0.017120,0.202912,0.004832,0.046784,0.000608,0.013376,0.173889,0.000544,0.881475
0.415521,0.017088,0.204513,0.004864,0.046880,0.000608,0.013632,0.162304,0.000608,0.872162
