Layer[0],Layer[1],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.437249,0.017632,0.753698,0.000704,0.002304,0.001056,0.000352,1.219971
0.415425,0.017632,0.749794,0.000896,0.002432,0.001216,0.000608,1.194724
0.420321,0.017632,0.756002,0.000832,0.002208,0.001216,0.000416,1.204931
0.423777,0.017600,0.761986,0.000832,0.002368,0.001152,0.000352,1.216451
0.420674,0.017664,0.751010,0.000768,0.002464,0.001120,0.000416,1.201060
0.420417,0.017280,0.779138,0.000960,0.002496,0.001184,0.000608,1.229315
0.419201,0.017344,0.740098,0.000800,0.003328,0.001184,0.000352,1.190499
0.414977,0.017536,0.766659,0.000736,0.002240,0.001056,0.000384,1.210244
0.420802,0.017600,0.763010,0.000832,0.002336,0.001024,0.000352,1.212772
0.415553,0.017728,0.743490,0.000800,0.002528,0.001216,0.000352,1.188099
0.415937,0.017600,0.746658,0.000800,0.001984,0.001024,0.000352,1.190819
0.436481,0.017729,0.760610,0.000736,0.002208,0.001056,0.000320,1.225508
0.415937,0.020768,0.756834,0.000864,0.002144,0.001056,0.000320,1.204451
0.420385,0.017696,0.753730,0.000768,0.002112,0.001152,0.000320,1.202723
0.432673,0.017664,0.756995,0.000736,0.002304,0.001088,0.000384,1.218948
0.416066,0.017664,0.751874,0.000800,0.002240,0.001120,0.000352,1.196516
0.415617,0.017600,0.770434,0.000800,0.002464,0.001184,0.000384,1.214851
0.422433,0.017568,0.744514,0.000768,0.001888,0.001120,0.000352,1.194979
0.420865,0.017536,0.749059,0.000864,0.002272,0.001248,0.000352,1.198756
0.415970,0.017792,0.771522,0.000864,0.001952,0.001024,0.000320,1.215652
0.420833,0.017728,0.768066,0.000736,0.002080,0.001120,0.000320,1.217059
0.418945,0.017696,0.768578,0.000704,0.002112,0.001248,0.000352,1.215971
0.421282,0.017920,0.792258,0.000960,0.003328,0.001152,0.000352,1.244740
0.422017,0.017568,0.747298,0.001024,0.002240,0.001152,0.000416,1.197795
