Layer[0],Layer[1],Layer[10],classifier
0.416897,0.017696,0.707938,1.216355
0.416066,0.017920,0.696386,1.207684
0.415969,0.017664,0.677026,1.178019
0.416290,0.017504,0.698018,1.205380
0.416193,0.017568,0.695618,1.200291
0.425921,0.017664,0.703810,1.222147
0.434562,0.017696,0.702178,1.227812
0.416929,0.017568,0.696290,1.204899
0.416641,0.017696,0.688834,1.195267
0.433985,0.017665,0.692065,1.214212
0.415937,0.017792,0.694722,1.201699
0.417282,0.017696,0.700610,1.207908
0.415873,0.017536,0.680898,1.184291
0.417409,0.017664,0.698114,1.218339
0.416257,0.017568,0.702658,1.210692
0.416257,0.017792,0.696098,1.208131
0.416705,0.017600,0.699330,1.206211
0.456929,0.017793,0.708802,1.257860
0.415841,0.017568,0.685858,1.194275
0.416418,0.017504,0.684226,1.197252
0.416065,0.017504,0.696962,1.207492
0.416737,0.017504,0.691106,1.197539
0.416385,0.017504,0.712066,1.225668
0.415969,0.017632,0.692546,1.198691
0.417250,0.017792,0.693922,1.201124
0.415777,0.017472,0.704354,1.213155
0.415873,0.017696,0.692770,1.201795
0.416257,0.017536,0.690946,1.195492
0.440513,0.017856,0.697634,1.230659
0.415810,0.017856,0.683330,1.187268
0.415873,0.017568,0.682018,1.185059
0.431330,0.017600,0.693154,1.214852
0.416129,0.017568,0.694626,1.202403
0.416161,0.017600,0.693506,1.216515
0.415777,0.017888,0.693858,1.200356
0.415617,0.021088,0.700386,1.210275
0.416610,0.017600,0.711298,1.229092
0.415713,0.017824,0.693218,1.202819
0.416257,0.017504,0.691714,1.195523
0.414625,0.017728,0.707330,1.219524
0.416065,0.017600,0.691330,1.198755
0.414786,0.017568,0.691874,1.196548
0.434113,0.017568,0.696898,1.224739
0.416161,0.017504,0.688322,1.192611
0.417377,0.017728,0.679234,1.190851
0.416225,0.017696,0.699938,1.204739
0.417505,0.017793,0.682529,1.192932
0.416193,0.017824,0.699682,1.208067
0.416514,0.017568,0.693474,1.199268
0.415905,0.017728,0.694370,1.198531
0.415137,0.017696,0.700642,1.206563
0.416737,0.017568,0.691010,1.196611
0.416033,0.017504,0.697090,1.202051
0.433697,0.017632,0.687841,1.209156
0.416097,0.017824,0.695682,1.200707
0.416098,0.017664,0.688770,1.193028
0.416385,0.017536,0.698978,1.205700
0.416129,0.017760,0.694274,1.198595
0.415522,0.017536,0.709186,1.222276
0.415361,0.017664,0.679618,1.182435
0.417185,0.017760,0.688674,1.193219
0.416193,0.017504,0.711906,1.227524
0.416065,0.017760,0.693826,1.197187
0.416418,0.017600,0.694434,1.201412
0.430817,0.017632,0.681826,1.200835
0.415905,0.017504,0.673538,1.175171
0.416929,0.017504,0.697442,1.203140
0.416065,0.017696,0.690082,1.199043
0.416194,0.017696,0.685986,1.187748
0.415777,0.017632,0.717762,1.230627
0.417281,0.018304,0.701410,1.210339
0.415553,0.017760,0.682498,1.183652
0.416577,0.017696,0.707874,1.221571
0.416225,0.017920,0.690946,1.192964
0.416033,0.017664,0.692290,1.197795
0.433410,0.017920,0.691394,1.212100
0.415681,0.017696,0.692642,1.196835
0.415905,0.017504,0.683106,1.193667
0.433217,0.017632,0.694882,1.215364
0.415457,0.017696,0.687170,1.189091
0.417250,0.017792,0.693346,1.217572
0.415937,0.017600,0.726274,1.252643
0.416353,0.017504,0.689474,1.191875
0.414817,0.017536,0.712706,1.229316
0.417345,0.017728,0.693282,1.198531
0.415938,0.017632,0.680098,1.181316
0.416193,0.017536,0.727394,1.237603
0.416193,0.017728,0.688258,1.191107
0.416097,0.017792,0.679906,1.181060
0.431297,0.017760,0.692610,1.215875
0.415649,0.017696,0.694210,1.198340
0.415553,0.017760,0.680962,1.183779
0.416962,0.017568,0.692386,1.196004
0.416129,0.017568,0.689634,1.192707
0.416033,0.017568,0.703106,1.216483
0.416578,0.017728,0.685858,1.190020
0.416993,0.017536,0.688322,1.196995
0.415906,0.017696,0.717154,1.231204
0.416225,0.017728,0.689090,1.191076
0.415649,0.017696,0.684642,1.186339
0.434529,0.017665,0.678817,1.200740
0.415905,0.017760,0.692450,1.195907
0.415522,0.017792,0.688642,1.191364
0.415873,0.017696,0.692002,1.197091
0.416033,0.020928,0.690178,1.200067
0.416353,0.017728,0.712226,1.219684
0.417089,0.017632,0.689474,1.191971
0.415809,0.017569,0.718562,1.224516
0.415521,0.017568,0.710946,1.234691
0.415105,0.017568,0.687106,1.188291
0.416097,0.017760,0.688066,1.194148
0.434497,0.017888,0.690210,1.211267
0.415714,0.017504,0.694338,1.206852
0.415521,0.017568,0.695490,1.198755
0.432001,0.017760,0.693282,1.213443
0.415809,0.017664,0.687650,1.190308
0.416257,0.017568,0.693410,1.216131
0.416450,0.017504,0.686338,1.189060
0.416705,0.017696,0.684962,1.188035
0.416258,0.017600,0.709314,1.217188
0.415585,0.017696,0.688962,1.190499
0.416001,0.017696,0.692898,1.194499
0.416193,0.017632,0.713250,1.220196
0.415649,0.017664,0.688130,1.190211
0.416194,0.017568,0.686178,1.192260
0.432769,0.017632,0.686178,1.208035
0.415842,0.017664,0.674658,1.176772
0.415969,0.017536,0.691586,1.194851
0.416577,0.017760,0.691874,1.195267
0.417121,0.017568,0.694050,1.198948
0.416289,0.017664,0.706882,1.218595
0.416130,0.017760,0.689762,1.195524
0.416481,0.017664,0.685506,1.188515
0.416737,0.017568,0.709346,1.223555
0.418081,0.017536,0.680674,1.186308
0.415649,0.017600,0.692802,1.195747
0.431042,0.017696,0.688034,1.207844
0.416161,0.017728,0.684898,1.186499
0.415650,0.017664,0.690402,1.194436
0.433889,0.017952,0.690178,1.210659
0.415969,0.017536,0.683746,1.186339
0.416289,0.017600,0.682178,1.184420
0.417185,0.020960,0.697122,1.206179
0.416578,0.017632,0.695586,1.210628
0.415905,0.017728,0.715650,1.234468
0.416929,0.017536,0.717058,1.222979
0.416386,0.017792,0.675554,1.176036
0.415425,0.017536,0.693634,1.198467
0.416386,0.017728,0.691906,1.196676
0.415969,0.017824,0.679010,1.183203
0.438497,0.017600,0.687682,1.214947
0.415425,0.017696,0.689346,1.192324
0.416545,0.017664,0.702722,1.210083
0.416034,0.018048,0.689954,1.194308
0.415841,0.017472,0.694306,1.197443
0.416129,0.017600,0.739970,1.246339
0.416385,0.017728,0.692130,1.194788
0.416033,0.017664,0.686690,1.190115
0.416130,0.017536,0.712290,1.223140
0.416321,0.017536,0.692578,1.196867
0.416225,0.017536,0.690018,1.194691
0.439137,0.017920,0.694498,1.223364
0.415521,0.017728,0.697762,1.202883
0.415906,0.017536,0.689890,1.192868
0.434497,0.017792,0.690722,1.214563
0.415873,0.017664,0.691330,1.193635
0.415809,0.017664,0.693186,1.228420
0.415553,0.017504,0.694498,1.196003
0.416641,0.017472,0.688034,1.190755
0.415969,0.017760,0.709794,1.224580
0.415649,0.017728,0.677506,1.176963
0.415617,0.017568,0.694082,1.200580
0.415777,0.017792,0.703138,1.212931
0.417986,0.017600,0.696802,1.204452
0.416545,0.017664,0.688610,1.195171
0.433089,0.017600,0.682242,1.202755
0.415681,0.017664,0.690497,1.194052
0.415521,0.017824,0.676898,1.178435
0.415874,0.017664,0.686722,1.189252
0.415617,0.017760,0.688194,1.189955
0.416385,0.017536,0.706114,1.219555
0.415586,0.017824,0.688418,1.190468
0.415905,0.017792,0.692258,1.194339
0.416034,0.017728,0.717282,1.227236
0.416417,0.017568,0.684130,1.186852
0.415937,0.017792,0.687010,1.188931
0.433666,0.017824,0.693570,1.222340
0.415617,0.017536,0.681954,1.183043
0.415586,0.017600,0.679554,1.179236
0.423105,0.017536,0.694274,1.209188
0.415713,0.017728,0.692066,1.195683
0.415649,0.017665,0.704546,1.214500
0.417057,0.017760,0.691682,1.196067
0.416641,0.017568,0.696610,1.202883
0.415521,0.017728,0.709122,1.222820
0.416353,0.017440,0.677858,1.179299
0.415521,0.017665,0.718210,1.222820
0.415713,0.041344,0.685410,1.214403
0.415233,0.017600,0.678882,1.181443
0.416161,0.017632,0.695106,1.197508
0.431617,0.017632,0.691746,1.213251
0.416577,0.017665,0.691650,1.193316
0.416257,0.017600,0.697378,1.206499
0.414977,0.017952,0.701602,1.205603
0.416481,0.017568,0.693154,1.196068
0.416001,0.017696,0.716034,1.223171
0.415682,0.017568,0.690882,1.198212
0.415905,0.017792,0.692962,1.195587
0.415905,0.017760,0.693538,1.197763
0.416161,0.017568,0.680802,1.182148
0.415905,0.017856,0.682466,1.185059
0.431746,0.017856,0.696642,1.218916
0.416097,0.017888,0.695842,1.200291
0.415457,0.017728,0.690882,1.192803
0.415809,0.017697,0.718786,1.225092
0.415585,0.017568,0.691778,1.194403
0.416673,0.017536,0.700418,1.212291
0.415905,0.017568,0.693058,1.196068
0.417473,0.017472,0.687074,1.192707
0.416162,0.017600,0.710018,1.227428
0.416417,0.017824,0.689634,1.192323
0.416449,0.017536,0.679714,1.180259
0.433889,0.017888,0.688546,1.214628
0.415841,0.017632,0.689474,1.192323
0.416098,0.017792,0.697026,1.204644
0.433249,0.017600,0.691106,1.209827
0.415521,0.017952,0.680482,1.180099
0.416033,0.017792,0.712002,1.237668
0.415809,0.017728,0.696322,1.208643
0.415841,0.017632,0.689762,1.193667
0.416097,0.018272,0.705250,1.218852
0.415873,0.017600,0.692546,1.194851
0.416130,0.017696,0.691618,1.195940
0.415937,0.017536,0.714626,1.218531
0.416385,0.017536,0.692258,1.196355
0.415809,0.017728,0.691745,1.194596
0.429633,0.017568,0.695874,1.211459
0.416737,0.017632,0.691746,1.193923
0.415425,0.017600,0.691906,1.194819
0.415201,0.017664,0.688962,1.190691
0.415745,0.017601,0.678721,1.179396
0.416193,0.017632,0.716642,1.230723
0.416161,0.017760,0.702306,1.207395
0.415809,0.017696,0.695906,1.200164
0.416801,0.017568,0.716194,1.232259
0.415585,0.017536,0.679426,1.179971
0.416257,0.017472,0.691618,1.194436
0.432257,0.017792,0.685666,1.207427
0.415682,0.017504,0.687362,1.187556
0.416161,0.017728,0.679426,1.182051
0.415938,0.017728,0.692002,1.195332
0.415905,0.017728,0.688674,1.191331
0.416225,0.017664,0.714562,1.226051
0.415906,0.017568,0.683778,1.186916
0.416321,0.017504,0.679618,1.180003
0.416962,0.017696,0.699426,1.208772
0.416673,0.017728,0.680898,1.183011
0.416801,0.017600,0.694114,1.197955
0.416609,0.017569,0.708866,1.215588
0.417569,0.017568,0.684642,1.192451
0.417601,0.017632,0.680130,1.186019
0.433761,0.017824,0.692642,1.220004
0.416321,0.017536,0.685282,1.189731
0.416514,0.017472,0.682082,1.210244
0.416129,0.017600,0.690050,1.192100
0.417633,0.017472,0.681058,1.182627
0.416865,0.017761,0.697410,1.202436
0.417793,0.017696,0.706210,1.216547
0.417089,0.017504,0.694018,1.199747
0.416034,0.017824,0.711458,1.224900
0.415937,0.017600,0.696034,1.199395
0.416705,0.017760,0.692962,1.195651
0.433442,0.017888,0.699970,1.225892
0.415713,0.017472,0.688642,1.191139
0.416449,0.017632,0.690146,1.192195
0.416673,0.017792,0.689506,1.192868
0.416513,0.017664,0.677890,1.181475
0.416226,0.017536,0.707298,1.218404
0.416897,0.017728,0.681858,1.191011
0.415969,0.017728,0.681250,1.182755
0.415585,0.017536,0.714498,1.224036
0.415937,0.017600,0.693762,1.204995
0.416226,0.017696,0.690594,1.193380
0.450849,0.017728,0.689730,1.229123
0.417249,0.017504,0.692802,1.196803
0.416129,0.017697,0.693569,1.204740
0.416769,0.017728,0.690690,1.193827
0.416097,0.017632,0.688450,1.194019
0.415937,0.017632,0.709954,1.220068
0.415713,0.017600,0.711202,1.212035
0.415873,0.017568,0.690146,1.191843
0.416417,0.017824,0.713474,1.219172
0.416545,0.017760,0.691010,1.196739
0.416705,0.017696,0.690146,1.193891
0.436001,0.017696,0.694818,1.216900
0.416449,0.017760,0.690594,1.193635
0.416546,0.017536,0.688226,1.192804
0.433121,0.017696,0.680450,1.199555
0.416705,0.017792,0.690434,1.193795
0.415937,0.017536,0.688162,1.191011
0.416321,0.017664,0.684450,1.185283
0.416577,0.018081,0.695938,1.199684
0.416257,0.017760,0.713954,1.223811
0.416417,0.017536,0.693890,1.196739
0.416641,0.017888,0.684930,1.188900
0.416737,0.017920,0.708322,1.212611
0.417154,0.017760,0.692162,1.195460
0.416417,0.018016,0.690050,1.202403
0.434017,0.017792,0.691458,1.215139
0.416769,0.017569,0.687521,1.193700
0.416449,0.017568,0.690178,1.193155
0.416385,0.017792,0.699074,1.203043
0.416897,0.017728,0.677762,1.180419
0.416609,0.017760,0.708386,1.220163
0.416546,0.017600,0.691106,1.194404
0.416833,0.017824,0.685442,1.189315
0.417505,0.017600,0.710306,1.219491
0.416417,0.017505,0.689217,1.191428
0.416033,0.017600,0.691330,1.192963
0.416674,0.017440,0.694306,1.218212
0.416225,0.017504,0.687138,1.189060
0.416929,0.017952,0.683810,1.189443
0.433601,0.017569,0.690369,1.212420
0.415905,0.017568,0.685698,1.186787
0.416898,0.017600,0.693026,1.196324
0.416065,0.017696,0.689314,1.192035
0.416193,0.017728,0.680034,1.180099
0.415553,0.017664,0.700194,1.209700
0.415425,0.017568,0.690466,1.194307
0.416065,0.017952,0.691298,1.194787
0.416097,0.017632,0.707138,1.210020
0.416449,0.017824,0.679170,1.185379
0.416674,0.017760,0.692578,1.195908
0.434401,0.017920,0.693698,1.214563
0.415937,0.017440,0.688642,1.191971
0.416385,0.017761,0.694433,1.199588
0.416097,0.017696,0.690402,1.193283
0.415745,0.017568,0.688002,1.190595
0.415681,0.017728,0.701954,1.220292
0.416417,0.017792,0.689442,1.194243
0.416578,0.017600,0.683554,1.184708
0.416353,0.017632,0.708258,1.213123
0.416865,0.017536,0.694114,1.198531
0.416098,0.017760,0.692866,1.199684
0.416065,0.017664,0.703170,1.206627
0.416001,0.017536,0.683042,1.184451
0.415681,0.017504,0.686178,1.187780
0.429345,0.017824,0.689538,1.203523
0.416322,0.017536,0.690722,1.210308
0.416385,0.017824,0.692226,1.195075
0.416129,0.017600,0.686562,1.186275
0.416226,0.017664,0.703426,1.208868
0.416065,0.017696,0.747394,1.255908
0.416161,0.017824,0.690818,1.195107
0.416930,0.017664,0.693506,1.197796
0.416641,0.017632,0.711362,1.217219
0.416353,0.017696,0.688386,1.191107
0.416257,0.017793,0.681953,1.185892
0.429025,0.017632,0.695458,1.214115
0.415681,0.017856,0.681250,1.182243
0.415873,0.017600,0.682690,1.181572
0.416289,0.017664,0.701506,1.207843
0.416514,0.017728,0.679042,1.183844
0.416065,0.017728,0.703554,1.209251
0.417665,0.017472,0.689346,1.194467
0.416674,0.017632,0.694690,1.199524
0.416257,0.017632,0.718690,1.225092
0.416385,0.018144,0.693602,1.208963
0.416481,0.017664,0.695522,1.200259
0.434529,0.017760,0.695106,1.217540
0.415233,0.017952,0.694914,1.200035
0.416417,0.017760,0.697378,1.205859
0.415490,0.017664,0.717954,1.227268
0.416449,0.018304,0.692002,1.195652
0.416481,0.017632,0.710402,1.224291
0.417857,0.017792,0.682690,1.187843
0.416609,0.017568,0.679234,1.182340
0.416737,0.017728,0.708994,1.230019
0.417217,0.017760,0.691778,1.195235
0.416065,0.017600,0.689058,1.191908
0.430689,0.017728,0.695778,1.214595
0.429249,0.017696,0.717154,1.235299
0.417697,0.017920,0.680353,1.183492
0.416993,0.018304,0.687426,1.193987
0.416482,0.017632,0.669314,1.171684
0.416161,0.017472,0.684258,1.194051
0.416161,0.017696,0.665250,1.167555
0.416833,0.017504,0.671714,1.177219
0.415905,0.017696,0.712674,1.222531
0.417761,0.017728,0.679810,1.183076
0.416961,0.017696,0.696162,1.200611
0.416258,0.017280,0.736898,1.243524
0.416929,0.017856,0.675874,1.182339
0.416385,0.017440,0.687138,1.189443
0.430881,0.017536,0.682274,1.199812
0.415425,0.017696,0.694498,1.192675
0.417762,0.017632,0.687874,1.191620
0.417217,0.017664,0.681794,1.192388
0.416769,0.017536,0.679650,1.182243
0.415970,0.017760,0.708354,1.213988
0.416385,0.017792,0.674786,1.180931
0.415329,0.017568,0.691970,1.193219
0.416513,0.017696,0.705282,1.217828
0.416577,0.017728,0.701186,1.215107
0.416033,0.017824,0.692226,1.210467
0.414945,0.017696,0.713154,1.211620
0.416417,0.017760,0.712450,1.226083
0.415586,0.017472,0.672162,1.175044
0.429345,0.017696,0.670434,1.196643
0.415681,0.017856,0.677666,1.177795
0.418753,0.017760,0.698626,1.208067
0.416481,0.017824,0.692674,1.202115
0.417185,0.017632,0.690658,1.192931
0.416225,0.017760,0.724546,1.237572
0.416705,0.017664,0.699010,1.200291
0.416705,0.017472,0.680738,1.183203
0.415681,0.017600,0.702114,1.212196
0.416513,0.017696,0.681570,1.183811
0.417346,0.017824,0.690850,1.195044
0.433953,0.017664,0.696354,1.218531
0.416641,0.017760,0.703138,1.207651
0.416770,0.017536,0.680514,1.182180
0.420001,0.017472,0.691170,1.200803
0.416065,0.017536,0.686530,1.187459
0.416226,0.017472,0.709090,1.213764
0.416609,0.017536,0.686690,1.189507
0.417217,0.017632,0.683522,1.190435
0.415617,0.017600,0.703138,1.213444
0.416193,0.017600,0.683586,1.184547
0.416257,0.017536,0.686690,1.189891
0.417473,0.017696,0.714882,1.225188
0.416801,0.017568,0.691010,1.194723
0.416258,0.017568,0.691714,1.194660
0.433217,0.017824,0.689410,1.211364
0.415841,0.017664,0.678114,1.179171
0.415586,0.017696,0.690242,1.195876
0.415969,0.017760,0.676418,1.179075
0.416289,0.017536,0.690434,1.193539
0.415105,0.017792,0.699650,1.208228
0.416257,0.021120,0.687874,1.203811
0.416129,0.017632,0.693858,1.198787
0.416385,0.017696,0.708994,1.224548
0.417281,0.017888,0.691650,1.197699
0.416610,0.017920,0.687234,1.192036
0.431681,0.017568,0.718722,1.238404
0.416641,0.017536,0.686690,1.188547
0.415713,0.017536,0.672002,1.176419
0.428417,0.018400,0.692002,1.210116
0.416993,0.017472,0.677474,1.178787
0.416225,0.017537,0.695074,1.226244
0.416321,0.017792,0.688834,1.191971
0.416705,0.017792,0.693730,1.199075
0.417186,0.017792,0.729058,1.239748
0.417473,0.017728,0.691074,1.195492
0.416609,0.017696,0.689378,1.191523
0.432097,0.017632,0.688386,1.206147
0.415777,0.017696,0.690914,1.191620
0.416033,0.017632,0.689506,1.194595
0.433570,0.017696,0.693666,1.215428
0.416513,0.017760,0.688610,1.190499
0.416737,0.017472,0.683586,1.184195
0.417121,0.017601,0.686433,1.187652
0.419553,0.017824,0.706754,1.217315
0.417409,0.017792,0.713026,1.218691
0.416738,0.017536,0.691010,1.193860
0.415969,0.017568,0.677922,1.178211
0.416961,0.017536,0.721218,1.232323
0.416194,0.017728,0.691746,1.195140
0.416193,0.017760,0.688002,1.195427
0.434465,0.017920,0.703138,1.227875
0.415970,0.017824,0.691938,1.196004
0.416609,0.017792,0.692354,1.196131
0.416705,0.017504,0.687650,1.191299
0.416737,0.017633,0.688289,1.192484
0.416353,0.017760,0.704546,1.207459
0.415681,0.017600,0.687234,1.190787
0.415809,0.017728,0.690818,1.201636
0.415873,0.017664,0.706402,1.215299
0.416066,0.017728,0.681954,1.184196
0.415873,0.017472,0.681794,1.183587
0.416417,0.017568,0.707906,1.209923
0.416289,0.017825,0.688225,1.190756
0.415905,0.017568,0.689154,1.194275
0.432738,0.017632,0.688546,1.207652
0.415713,0.017472,0.688258,1.189700
0.416545,0.017600,0.686914,1.190339
0.416098,0.017536,0.687074,1.188772
0.416353,0.017568,0.687778,1.190371
0.416257,0.017664,0.700066,1.202371
0.416257,0.017728,0.686178,1.196356
0.417057,0.017728,0.681474,1.183491
0.416258,0.017824,0.698754,1.208068
0.415777,0.017664,0.677314,1.177059
0.416001,0.017600,0.677058,1.179683
0.415905,0.017537,0.705506,1.209700
0.415649,0.017760,0.681346,1.183171
0.415873,0.017632,0.698114,1.198275
0.432641,0.017952,0.690146,1.210596
0.416001,0.017472,0.679970,1.182019
0.415810,0.017568,0.696450,1.199012
0.416161,0.017536,0.689698,1.192708
0.415809,0.017792,0.688866,1.192291
0.415970,0.017696,0.707266,1.216516
0.416001,0.017632,0.696386,1.199363
0.416161,0.017824,0.683266,1.186179
0.415393,0.017601,0.703970,1.213732
0.416129,0.017664,0.690018,1.193571
0.415777,0.017728,0.694722,1.200035
0.443266,0.017728,0.687906,1.218596
0.416481,0.017792,0.693314,1.198371
0.416353,0.017600,0.684418,1.185763
0.433281,0.017857,0.714818,1.238116
0.416065,0.017696,0.688386,1.191043
0.416161,0.017696,0.687906,1.219587
0.415873,0.017504,0.684609,1.185284
0.415873,0.017536,0.677378,1.177987
0.417057,0.017824,0.711970,1.227363
0.416449,0.017793,0.689473,1.194244
0.417057,0.017664,0.695650,1.202659
0.417409,0.017568,0.720354,1.233667
0.416897,0.017536,0.675074,1.179683
0.416450,0.017504,0.686017,1.190180
0.430785,0.017792,0.695650,1.215971
0.416129,0.017760,0.683970,1.187491
0.417762,0.017632,0.691586,1.210276
0.416065,0.017600,0.688546,1.197475
0.416129,0.017696,0.692578,1.195651
0.415874,0.017536,0.696066,1.201764
0.417665,0.017536,0.701186,1.209540
0.416993,0.017792,0.690786,1.197827
0.417025,0.017760,0.696418,1.204643
0.416513,0.017952,0.685250,1.187396
0.416001,0.017760,0.691234,1.194595
