Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.417217,0.017249,0.202336,0.005344,0.047104,0.000512,0.179841,0.000608,0.001952,0.000928,0.000384,0.880707
0.441729,0.017344,0.202657,0.005024,0.046976,0.000576,0.190497,0.000672,0.001952,0.001088,0.000288,0.916643
0.415873,0.017440,0.204128,0.004864,0.046816,0.000576,0.185120,0.000704,0.001760,0.000960,0.000320,0.885346
0.417986,0.017248,0.202240,0.005056,0.047040,0.000544,0.184513,0.000608,0.001888,0.001024,0.000384,0.885795
0.415777,0.017344,0.201793,0.004832,0.046816,0.000512,0.179584,0.000704,0.001856,0.001056,0.000256,0.877410
0.415681,0.017216,0.202720,0.005120,0.046945,0.000544,0.230176,0.000608,0.001920,0.001056,0.000320,0.929730
0.416354,0.017344,0.202144,0.005344,0.046848,0.000544,0.186145,0.000640,0.001824,0.001024,0.000384,0.885347
0.415777,0.017472,0.201857,0.005312,0.047136,0.000544,0.185281,0.000640,0.001888,0.000992,0.000384,0.884579
0.435713,0.017472,0.202689,0.005024,0.046816,0.000512,0.184672,0.000704,0.001856,0.000928,0.000320,0.903842
0.417954,0.018240,0.204992,0.004960,0.047168,0.000576,0.194785,0.000608,0.002048,0.001120,0.000352,0.900739
0.416353,0.017152,0.202561,0.004864,0.046880,0.000544,0.183553,0.000480,0.001952,0.001024,0.000352,0.883235
0.416801,0.017440,0.201985,0.004864,0.047392,0.000544,0.191360,0.000672,0.002016,0.001184,0.000352,0.892162
0.414273,0.017216,0.202048,0.004864,0.047040,0.000512,0.184097,0.000704,0.002048,0.000992,0.000384,0.881250
0.416065,0.017216,0.202017,0.004864,0.046816,0.000544,0.189281,0.000576,0.001888,0.000992,0.000352,0.888003
0.416033,0.017248,0.202241,0.004800,0.046816,0.000480,0.171744,0.000608,0.001760,0.000864,0.000320,0.869602
0.416962,0.017216,0.234304,0.005248,0.047040,0.000544,0.187009,0.000672,0.001824,0.001056,0.000352,0.919907
0.415873,0.017152,0.202145,0.005056,0.046784,0.000544,0.171745,0.000640,0.001952,0.000928,0.000320,0.869795
0.416833,0.017408,0.204833,0.004832,0.047040,0.000544,0.177824,0.000736,0.001952,0.001024,0.000288,0.880674
0.415618,0.017216,0.202240,0.005024,0.046752,0.000512,0.180161,0.000640,0.001824,0.000960,0.000288,0.878179
0.437761,0.017760,0.202145,0.004896,0.047296,0.000608,0.205601,0.000640,0.002080,0.001120,0.000320,0.928931
0.415329,0.017472,0.202113,0.005248,0.046656,0.000576,0.176480,0.000704,0.001952,0.000992,0.000320,0.875042
0.415169,0.017312,0.202560,0.005312,0.046880,0.000608,0.188097,0.000576,0.001952,0.001056,0.000384,0.887362
0.415265,0.017280,0.202305,0.005024,0.046784,0.000544,0.211713,0.000736,0.002016,0.001120,0.000352,0.910723
0.415489,0.017280,0.202785,0.005056,0.048160,0.000608,0.204641,0.000704,0.002240,0.001248,0.000352,0.907555
0.415777,0.017248,0.202305,0.005056,0.049280,0.000544,0.197376,0.000640,0.002528,0.001152,0.000352,0.900482
0.415649,0.017280,0.202528,0.005088,0.049601,0.000608,0.179616,0.000576,0.001888,0.001152,0.000288,0.881794
0.433858,0.017536,0.202112,0.004864,0.048896,0.000640,0.182625,0.000704,0.001984,0.001184,0.000320,0.902403
0.416577,0.017504,0.202241,0.005088,0.047744,0.000640,0.190721,0.000576,0.001920,0.001152,0.000320,0.892131
0.415521,0.017472,0.202433,0.004992,0.047360,0.000608,0.182272,0.000576,0.001888,0.001152,0.000288,0.882114
0.415873,0.017568,0.202400,0.005088,0.047169,0.000576,0.209600,0.000736,0.004384,0.001248,0.000320,0.913506
0.415746,0.017408,0.201856,0.005088,0.046944,0.000608,0.184353,0.000672,0.001952,0.001120,0.000352,0.883875
0.415809,0.017696,0.202145,0.004992,0.046912,0.000512,0.186369,0.000576,0.001984,0.001152,0.000320,0.886019
0.415265,0.017344,0.202657,0.004832,0.047168,0.000576,0.184544,0.000576,0.001984,0.001120,0.000352,0.884226
0.432481,0.017344,0.202880,0.005024,0.046849,0.000608,0.179968,0.000608,0.001856,0.001216,0.000352,0.897090
0.415457,0.017408,0.203744,0.004832,0.047040,0.000576,0.186721,0.000608,0.001952,0.001152,0.000320,0.887523
0.415905,0.017536,0.202721,0.004864,0.046976,0.000608,0.181057,0.000608,0.001856,0.001184,0.000352,0.881283
0.416417,0.017344,0.202081,0.005056,0.047616,0.000608,0.227424,0.000736,0.003040,0.001184,0.000320,0.930658
0.416321,0.017504,0.202144,0.005024,0.047745,0.000608,0.203456,0.000608,0.002080,0.001216,0.000352,0.904866
0.415874,0.017248,0.201984,0.004832,0.047360,0.000480,0.187041,0.000704,0.001920,0.000992,0.000352,0.885443
0.416193,0.017312,0.202465,0.005120,0.049504,0.000576,0.193473,0.000672,0.002304,0.001216,0.000320,0.897539
0.428609,0.017344,0.202657,0.004896,0.049984,0.000576,0.179904,0.000640,0.001856,0.001088,0.000352,0.895330
0.416289,0.017248,0.202240,0.005280,0.049984,0.000608,0.188097,0.000672,0.002080,0.001184,0.000320,0.891554
0.415617,0.018209,0.202272,0.005056,0.049856,0.000608,0.196065,0.000544,0.002144,0.001120,0.000352,0.899939
0.416161,0.017280,0.202177,0.005056,0.048416,0.000576,0.220097,0.000608,0.002144,0.001280,0.000352,0.922307
0.415937,0.017728,0.202817,0.005088,0.048928,0.000608,0.187808,0.000640,0.001952,0.001120,0.000352,0.891266
0.416481,0.017280,0.202144,0.005024,0.050241,0.000640,0.178400,0.000576,0.002016,0.001120,0.000352,0.881794
0.415457,0.017472,0.202049,0.004832,0.048512,0.000512,0.178497,0.000672,0.003776,0.001024,0.000320,0.879971
0.435041,0.017568,0.202369,0.005120,0.049504,0.000608,0.179552,0.000576,0.001984,0.001152,0.000352,0.901634
0.415009,0.017344,0.202176,0.005184,0.050657,0.000544,0.173440,0.000704,0.002208,0.001120,0.000320,0.876066
0.414817,0.017472,0.202945,0.005376,0.050048,0.000608,0.196737,0.000672,0.002272,0.001216,0.000384,0.900739
0.414465,0.020928,0.202305,0.004832,0.048832,0.000608,0.188256,0.000576,0.002080,0.001216,0.000384,0.892066
0.416225,0.017312,0.202497,0.005024,0.050080,0.000576,0.191872,0.000544,0.002176,0.001184,0.000320,0.895650
0.415618,0.017312,0.202208,0.004832,0.048832,0.000608,0.176961,0.000640,0.002016,0.000896,0.000320,0.877379
0.415777,0.017216,0.202721,0.005056,0.050688,0.000544,0.202209,0.000672,0.001984,0.001056,0.000384,0.906115
0.415393,0.017472,0.215393,0.005056,0.050944,0.000576,0.178368,0.000640,0.001984,0.000928,0.000352,0.894466
0.415682,0.017504,0.202016,0.004832,0.050272,0.000576,0.186241,0.000576,0.001920,0.001152,0.000352,0.888739
0.415681,0.017664,0.201889,0.005056,0.051072,0.000544,0.172001,0.000672,0.002048,0.000928,0.000352,0.875139
0.415617,0.017216,0.202337,0.004864,0.051456,0.000480,0.188800,0.000608,0.001824,0.001120,0.000576,0.892450
0.415329,0.017632,0.202336,0.004864,0.049856,0.000512,0.172929,0.000672,0.001920,0.001152,0.000320,0.874690
0.417601,0.017568,0.203585,0.005056,0.049120,0.000640,0.192353,0.000736,0.002048,0.001088,0.000352,0.898659
0.416833,0.017344,0.203841,0.005088,0.048416,0.000608,0.184992,0.000704,0.001888,0.000896,0.000320,0.888002
0.415809,0.017248,0.236480,0.005312,0.047777,0.000608,0.193696,0.000704,0.001888,0.001120,0.000352,0.930402
0.416354,0.017760,0.202240,0.005024,0.048000,0.000544,0.198657,0.000672,0.001920,0.000960,0.000320,0.901347
