Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
1.697441,0.049056,0.000832,0.013568,0.000416,0.001472,0.001280,0.000352,1.770497
1.677122,0.049568,0.000640,0.013632,0.000384,0.001408,0.001280,0.000384,1.751874
1.673473,0.049217,0.000704,0.013792,0.000416,0.001504,0.001312,0.000352,1.746818
1.668065,0.049824,0.000832,0.013760,0.000384,0.001568,0.001248,0.000384,1.742305
1.677730,0.051488,0.000608,0.013696,0.000384,0.001408,0.001184,0.000416,1.752994
1.676257,0.049344,0.000672,0.013664,0.000352,0.001440,0.001280,0.000576,1.749633
1.658626,0.050656,0.000864,0.013664,0.000416,0.001408,0.001120,0.000416,1.732866
1.669410,0.049824,0.000832,0.013728,0.000416,0.001408,0.001248,0.000352,1.743842
1.697441,0.050816,0.000864,0.013600,0.000384,0.001408,0.001280,0.000352,1.772257
1.688545,0.049568,0.000896,0.013600,0.000416,0.001408,0.001440,0.000384,1.762465
1.667745,0.049856,0.000832,0.013536,0.000384,0.001568,0.001408,0.000384,1.741633
1.678337,0.050880,0.000800,0.013664,0.000416,0.001504,0.001120,0.000384,1.753889
1.696801,0.050336,0.000864,0.013600,0.000416,0.001472,0.001184,0.000352,1.771265
1.665153,0.050944,0.000864,0.013536,0.000416,0.001408,0.001248,0.000352,1.740321
1.672225,0.049152,0.000832,0.013536,0.000384,0.001440,0.001120,0.000384,1.745313
1.675265,0.050912,0.000928,0.013504,0.000384,0.001440,0.001248,0.000384,1.750785
1.653217,0.049504,0.000800,0.013504,0.000384,0.001504,0.001280,0.000416,1.726945
1.667009,0.049184,0.001056,0.013568,0.000512,0.001408,0.001152,0.000384,1.740449
1.701505,0.049248,0.000800,0.013472,0.000384,0.001440,0.001184,0.000384,1.774721
1.678402,0.049248,0.000928,0.013600,0.000448,0.001472,0.001216,0.000352,1.751554
1.682082,0.049600,0.000832,0.013600,0.000384,0.001440,0.001248,0.000448,1.756130
1.710721,0.050656,0.001056,0.013600,0.000416,0.001472,0.001280,0.000416,1.785601
1.683906,0.050400,0.000832,0.013760,0.000384,0.001440,0.001216,0.000352,1.758498
1.667521,0.049504,0.000832,0.013600,0.000448,0.001472,0.001312,0.000416,1.740961
1.704386,0.049472,0.000864,0.013536,0.000384,0.001440,0.001280,0.000384,1.778018
1.706850,0.050208,0.000864,0.013856,0.000448,0.001440,0.001248,0.000352,1.781122
1.703873,0.050688,0.000800,0.013536,0.000416,0.001440,0.001376,0.000384,1.778785
1.701922,0.049888,0.000864,0.013600,0.000384,0.001440,0.001440,0.000352,1.775842
1.730401,0.067808,0.000832,0.013536,0.000384,0.001504,0.001344,0.000352,1.822945
1.681186,0.050688,0.000896,0.013568,0.000384,0.001472,0.001312,0.000384,1.755874
1.712290,0.050144,0.000640,0.013792,0.000416,0.001760,0.001312,0.000384,1.788002
1.708450,0.049920,0.000832,0.014304,0.000640,0.001440,0.001280,0.000384,1.783970
1.709537,0.049953,0.000832,0.014272,0.000416,0.001440,0.001152,0.000384,1.784770
1.662945,0.049472,0.000864,0.014240,0.000448,0.001440,0.001312,0.000416,1.737409
1.733986,0.049088,0.001056,0.014080,0.000416,0.001664,0.001216,0.000352,1.808962
1.705314,0.050080,0.000896,0.013856,0.000448,0.001664,0.001216,0.000352,1.780194
1.719106,0.049536,0.000832,0.013984,0.000384,0.001760,0.001280,0.000416,1.795010
1.681249,0.049536,0.000576,0.013888,0.000416,0.001536,0.001248,0.000384,1.755617
1.735777,0.050272,0.000864,0.013792,0.000448,0.001504,0.001152,0.000352,1.811233
1.705890,0.049280,0.000832,0.013568,0.000448,0.001536,0.001248,0.000448,1.779650
1.734434,0.050144,0.000864,0.013920,0.000416,0.001536,0.001184,0.000352,1.809442
1.678882,0.049664,0.001024,0.013728,0.000416,0.001792,0.001312,0.000384,1.754114
1.753090,0.050208,0.000832,0.014400,0.000384,0.001568,0.001216,0.000416,1.828866
1.678817,0.051328,0.000608,0.013856,0.000416,0.001472,0.001216,0.000384,1.754081
1.751329,0.050144,0.000640,0.013696,0.000416,0.001440,0.001184,0.000352,1.826017
1.704578,0.049280,0.000640,0.014048,0.000416,0.001472,0.001184,0.000384,1.778306
1.701986,0.049312,0.000640,0.013536,0.000448,0.001408,0.001312,0.000352,1.776354
1.675106,0.050720,0.000832,0.013536,0.000384,0.001472,0.001248,0.000352,1.750146
1.730369,0.050816,0.000832,0.013664,0.000384,0.001472,0.001248,0.000352,1.806657
1.674754,0.052064,0.000832,0.013568,0.000448,0.001440,0.001184,0.000416,1.751490
1.748097,0.049504,0.000736,0.014080,0.000384,0.001632,0.001344,0.000352,1.825313
1.673634,0.049440,0.000864,0.014400,0.000384,0.001728,0.001344,0.000352,1.748738
1.736033,0.049793,0.000576,0.013760,0.000384,0.001632,0.001248,0.000352,1.811170
1.674210,0.051360,0.000832,0.013792,0.000448,0.001632,0.001216,0.000352,1.750306
1.713889,0.050785,0.000864,0.013696,0.000384,0.001696,0.001312,0.000352,1.790786
1.676642,0.050656,0.000832,0.013568,0.000448,0.001536,0.001216,0.000384,1.751778
1.733154,0.050816,0.000832,0.013536,0.000320,0.001408,0.001248,0.000384,1.809410
1.676066,0.050400,0.000832,0.013664,0.000384,0.001440,0.001280,0.000416,1.751330
1.693538,0.050048,0.000832,0.013600,0.000416,0.001472,0.001280,0.000416,1.769154
1.666946,0.049824,0.000832,0.013664,0.000384,0.001408,0.001216,0.000384,1.741090
1.728162,0.049792,0.000672,0.013824,0.000416,0.001440,0.001376,0.000384,1.803266
1.718466,0.050848,0.000864,0.013600,0.000384,0.001696,0.001216,0.000384,1.794498
1.691074,0.049376,0.001088,0.013824,0.000416,0.001504,0.001280,0.000384,1.765698
1.692321,0.050848,0.000800,0.013600,0.000384,0.001504,0.001248,0.000384,1.767873
1.751457,0.050720,0.000608,0.013664,0.000416,0.001632,0.001248,0.000384,1.827233
1.708385,0.049344,0.000672,0.013888,0.000384,0.001632,0.001216,0.000384,1.782529
1.692609,0.049696,0.000672,0.013792,0.000480,0.001440,0.001312,0.000416,1.768193
1.697570,0.049696,0.000576,0.014560,0.000384,0.001792,0.001280,0.000352,1.774242
1.714369,0.050881,0.001056,0.013952,0.000384,0.001408,0.001344,0.000384,1.791938
1.681986,0.051712,0.001024,0.013792,0.000416,0.001504,0.001248,0.000384,1.759490
1.688322,0.051296,0.000864,0.014272,0.000384,0.001440,0.001344,0.000352,1.766818
1.673025,0.049952,0.000800,0.013888,0.000352,0.001440,0.001280,0.000352,1.749057
1.682402,0.049600,0.000864,0.013632,0.000384,0.001472,0.001280,0.000384,1.756674
1.677634,0.051200,0.000832,0.013632,0.000384,0.001504,0.001216,0.000352,1.754146
1.724226,0.050432,0.000640,0.013536,0.000416,0.001536,0.001280,0.000384,1.799746
1.692161,0.050624,0.000864,0.013600,0.000384,0.001472,0.001184,0.000384,1.768577
1.683298,0.051136,0.000800,0.013600,0.000352,0.001536,0.001280,0.000384,1.759074
1.715842,0.068160,0.000896,0.013600,0.000416,0.001504,0.001248,0.000352,1.808866
1.679074,0.049824,0.000640,0.014112,0.000416,0.001504,0.001312,0.000448,1.753762
1.740545,0.050880,0.000832,0.013792,0.000384,0.001472,0.001152,0.000384,1.817089
1.671874,0.049312,0.000864,0.013504,0.000416,0.001696,0.001216,0.000384,1.745538
1.730530,0.049184,0.000800,0.013600,0.000416,0.001376,0.001248,0.000384,1.804898
1.673281,0.053728,0.000640,0.013664,0.000384,0.001472,0.001408,0.000384,1.751393
1.740930,0.054176,0.000640,0.013600,0.000416,0.001504,0.001216,0.000384,1.819810
1.679426,0.052864,0.001088,0.013920,0.000352,0.001504,0.001344,0.000416,1.757058
1.729825,0.049664,0.000864,0.013792,0.000384,0.001632,0.002016,0.000576,1.805921
1.701122,0.049472,0.000864,0.013952,0.000416,0.001696,0.001760,0.000800,1.777026
1.705698,0.048832,0.000864,0.014336,0.000416,0.001600,0.001504,0.000416,1.781154
1.669122,0.049280,0.000832,0.013824,0.000384,0.001440,0.001184,0.000352,1.742786
1.677858,0.049152,0.000864,0.014496,0.000416,0.001536,0.001056,0.000384,1.753314
1.729826,0.049056,0.000832,0.014560,0.000384,0.001536,0.001088,0.000416,1.803906
1.698530,0.048992,0.000576,0.013888,0.000384,0.001664,0.001344,0.000352,1.772098
1.666498,0.048736,0.000832,0.014496,0.000384,0.001536,0.001312,0.000384,1.740066
1.704002,0.048768,0.000832,0.013568,0.000384,0.001472,0.001184,0.000352,1.776962
1.684962,0.048992,0.000576,0.013760,0.000416,0.001408,0.001088,0.000384,1.757570
1.692386,0.049120,0.000800,0.013536,0.000384,0.001536,0.001120,0.000384,1.765858
1.696706,0.048480,0.000800,0.013856,0.000384,0.001504,0.001120,0.000352,1.769218
1.711778,0.050048,0.000576,0.013856,0.000384,0.001440,0.001216,0.000384,1.786274
1.692162,0.050144,0.000640,0.013600,0.000384,0.001536,0.001184,0.000384,1.766338
1.698914,0.049088,0.000864,0.013568,0.000384,0.001536,0.001248,0.000416,1.772386
