Layer[0],Layer[8],Layer[9],Layer[10],classifier
0.415714,0.809314,0.001408,0.000384,1.231620
0.433313,0.768130,0.001440,0.000384,1.209059
0.421057,0.759522,0.001440,0.000384,1.187715
0.420833,0.833379,0.001792,0.000416,1.262020
0.416514,0.780130,0.001472,0.000416,1.204452
0.416801,0.778786,0.001536,0.000416,1.203619
0.416289,0.789314,0.001504,0.000384,1.212995
0.417473,0.767586,0.001472,0.000416,1.192963
0.418241,0.778851,0.001472,0.000448,1.204452
0.448289,0.777634,0.001600,0.000416,1.233379
0.426785,0.804418,0.001536,0.000448,1.239171
0.417057,0.779234,0.001440,0.000416,1.203619
0.417537,0.806755,0.001376,0.000416,1.231044
0.417121,0.774050,0.001280,0.000416,1.197987
0.417153,0.804834,0.001536,0.000448,1.229891
0.417345,0.776578,0.001504,0.000416,1.201379
0.416577,0.775107,0.001408,0.000416,1.199044
0.416225,0.794082,0.001344,0.000416,1.217123
0.416705,0.777090,0.001216,0.000416,1.200931
0.417249,0.775426,0.001344,0.000384,1.199843
0.434977,0.771746,0.001440,0.000480,1.214467
0.416514,0.776898,0.001344,0.000352,1.200452
0.416897,0.775298,0.001248,0.000384,1.198723
0.432129,0.771234,0.001344,0.000352,1.210339
0.416545,0.782722,0.001376,0.000384,1.206851
0.417313,0.794531,0.001280,0.000416,1.219556
0.416385,0.778722,0.001408,0.000416,1.202595
0.416641,0.775266,0.001248,0.000416,1.198787
0.417761,0.821250,0.001312,0.000416,1.246307
0.416482,0.772994,0.001376,0.000448,1.196228
0.417281,0.769634,0.001312,0.000416,1.193891
0.416801,0.815842,0.001344,0.000448,1.239267
0.416417,0.774306,0.001344,0.000416,1.197571
0.417026,0.755970,0.001312,0.000384,1.179460
0.432129,0.781154,0.001408,0.000416,1.221507
0.416737,0.775010,0.001312,0.000416,1.198883
0.416321,0.795650,0.001504,0.000384,1.240387
0.416609,0.809827,0.001376,0.000352,1.232900
0.416225,0.766114,0.001344,0.000352,1.188931
0.416353,0.829346,0.001536,0.000384,1.252835
0.416481,0.770594,0.001440,0.000384,1.193795
0.417314,0.767490,0.001344,0.000448,1.191588
0.420929,0.797314,0.001408,0.000384,1.225283
0.417313,0.777442,0.001440,0.000352,1.201315
0.422273,0.784227,0.001504,0.000416,1.213988
0.438017,0.774242,0.001504,0.000416,1.219907
0.417089,0.771938,0.001376,0.000384,1.195779
0.416545,0.773986,0.001376,0.000416,1.197091
0.421025,0.768994,0.001376,0.000416,1.196740
0.416097,0.769570,0.001312,0.000352,1.192419
0.416353,0.792578,0.001248,0.000416,1.215587
0.416897,0.757506,0.001408,0.000416,1.181379
0.416737,0.769538,0.001216,0.000416,1.193284
0.416481,0.798370,0.001440,0.000416,1.221635
0.416321,0.777282,0.001312,0.000352,1.200579
0.417921,0.768098,0.001408,0.000448,1.193540
0.432865,0.769186,0.001472,0.000416,1.209859
0.420161,0.793634,0.001312,0.000416,1.220515
0.415713,0.766114,0.001280,0.000384,1.188643
0.420994,0.811106,0.001376,0.000416,1.239204
0.417249,0.776866,0.001184,0.000416,1.200835
0.417569,0.788130,0.001440,0.000416,1.213059
0.417122,0.817186,0.001376,0.000416,1.241028
0.417089,0.784354,0.001472,0.000352,1.208547
0.417761,0.808963,0.001344,0.000384,1.234532
0.417122,0.771106,0.001376,0.000384,1.195556
0.416289,0.780162,0.001184,0.000384,1.203203
0.435393,0.811779,0.001440,0.000416,1.254180
0.416705,0.776418,0.001280,0.000384,1.200195
0.416385,0.778722,0.001280,0.000416,1.202083
0.416769,0.779298,0.001280,0.000416,1.203107
0.416706,0.777602,0.001184,0.000384,1.201188
0.421825,0.787842,0.001344,0.000416,1.217347
0.418273,0.825155,0.001472,0.000416,1.251620
0.416897,0.784354,0.001376,0.000416,1.209123
0.420897,0.803938,0.001504,0.000480,1.232387
0.415873,0.776067,0.001312,0.000384,1.199332
0.421249,0.766690,0.001408,0.000416,1.194499
0.432993,0.767906,0.001248,0.000416,1.207555
