,1.076618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.134409,,,,,,,,,,,,0.000416,0.018274,0.21019,0.005281,0.048259,0.001152,0.013761,0.000384,0.001472,0.001184,0.098406,,,,,,,,,,,1.316442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.622127,output_pp0-0_1016_1204
,1.071978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.141322,,,,,,,,,,,,0.000864,0.021058,0.21259,0.005281,0.049027,0.001088,0.014209,0.000384,0.001792,0.003009,0.123145,,,,,,,,,,,1.344893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.660179,output_pp0-0_1016_1204
,1.071562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.129417,,,,,,,,,,,,0.000416,0.017889,0.209646,0.005121,0.048291,0.000864,0.013921,0.000384,0.001376,0.001504,0.09511,,,,,,,,,,,1.303994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.608816,output_pp0-0_1016_1204
,1.070634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.119688,,,,,,,,,,,,0.000448,0.017857,0.210543,0.005024,0.048259,0.000833,0.013633,0.000416,0.001568,0.0016,0.089894,,,,,,,,,,,1.288409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.593934,output_pp0-0_1016_1204
,1.070218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.104328,,,,,,,,,,,,0.000384,0.018497,0.209486,0.005121,0.049059,0.00112,0.013857,0.000416,0.001728,0.001409,0.112583,,,,,,,,,,,1.293914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.600623,output_pp0-0_1016_1204
,1.069225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.114663,,,,,,,,,,,,0.000352,0.020193,0.209518,0.005153,0.048643,0.000864,0.014145,0.000576,0.001729,0.001248,0.115784,,,,,,,,,,,1.305242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.613584,output_pp0-0_1016_1204
,1.069162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.119593,,,,,,,,,,,,0.000384,0.021889,0.209615,0.00496,0.048004,0.0008,0.013729,0.000416,0.001504,0.000992,0.115112,,,,,,,,,,,1.309019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.616624,output_pp0-0_1016_1204
,1.067338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.133321,,,,,,,,,,,,0.000352,0.018306,0.209486,0.005121,0.048675,0.000896,0.013761,0.000416,0.001696,0.00128,0.107943,,,,,,,,,,,1.315386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.621135,output_pp0-0_1016_1204
,1.066218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.111687,,,,,,,,,,,,0.000384,0.017761,0.21003,0.005313,0.048547,0.000832,0.014113,0.000448,0.00144,0.001889,0.097222,,,,,,,,,,,1.2822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.588462,output_pp0-0_1016_1204
,1.065546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.113224,,,,,,,,,,,,0.000544,0.018017,0.209487,0.005056,0.048771,0.000832,0.014049,0.000416,0.001536,0.001376,0.094855,,,,,,,,,,,1.281209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.586478,output_pp0-0_1016_1204
,1.065514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.134249,,,,,,,,,,,,0.000416,0.017729,0.209519,0.005312,0.047876,0.001056,0.013793,0.000384,0.001504,0.001376,0.084774,,,,,,,,,,,1.291193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.595342,output_pp0-0_1016_1204
,1.064874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.136073,,,,,,,,,,,,0.000352,0.017857,0.21003,0.005153,0.048963,0.000896,0.013665,0.000352,0.001408,0.001153,0.112008,,,,,,,,,,,1.318811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.624464,output_pp0-0_1016_1204
