IN[6656],IN[512],IN[1536],IN[7680],IN[3072],IN[2048],IN[6144],IN[3584],IN[9728],IN[10240],IN[8],IN[4608],IN[64],IN[4096],IN[1],IN[8192],IN[4],IN[16],IN[128],IN[2560],IN[8704],IN[7168],IN[256],IN[5632],IN[1024],IN[9216],IN[2],IN[5120],IN[32]
0.117344,0.11648,0.077087,0.176576,0.12255999999999999,0.10207999999999999,0.138016,0.127295,0.183071,0.190655,0.06464,0.12726300000000001,0.082976,0.11801600000000001,0.068383,0.12956700000000002,0.074143,0.0712,0.075456,0.107295,0.15904000000000001,0.139072,0.089952,0.12598399999999998,0.08592000000000001,0.18035199999999998,0.06544,0.173311,0.07158300000000001
0.142208,0.086975,0.10169600000000001,0.18041600000000002,0.14368,0.081152,0.174464,0.13744,0.148896,0.139104,0.065536,0.118431,0.075648,0.116031,0.11113599999999998,0.125632,0.064735,0.085983,0.06976,0.12463900000000001,0.187135,0.172415,0.11126400000000002,0.105824,0.077024,0.18367999999999998,0.065696,0.141375,0.066624
0.115104,0.07827200000000001,0.091392,0.181056,0.123199,0.079904,0.124224,0.144096,0.169824,0.204224,0.07660800000000001,0.13833499999999999,0.075648,0.106047,0.07574299999999999,0.13552,0.072447,0.07472000000000001,0.06912,0.13667100000000001,0.17952,0.136096,0.106848,0.12038399999999999,0.07753600000000001,0.1752,0.072128,0.170847,0.071232
0.132864,0.068512,0.095584,0.176767,0.127871,0.086048,0.135167,0.156703,0.157024,0.172479,0.0664,0.140128,0.084864,0.14928,0.07296,0.163968,0.070496,0.070624,0.08288,0.11814300000000001,0.186527,0.130431,0.105696,0.134015,0.08144,0.185375,0.065407,0.12393499999999999,0.077664
0.11743900000000003,0.06896000000000001,0.07683200000000001,0.180479,0.154495,0.082304,0.13859200000000002,0.125344,0.20230399999999998,0.14083199999999998,0.064448,0.12707100000000002,0.09676799999999999,0.116128,0.086559,0.12531199999999998,0.072896,0.088287,0.071232,0.09635099999999999,0.181376,0.123232,0.07295900000000001,0.143456,0.072256,0.15273499999999998,0.065951,0.126176,0.06511900000000001
0.141152,0.098624,0.096608,0.17369500000000002,0.141376,0.09980800000000001,0.11558399999999999,0.125024,0.18041500000000002,0.145216,0.065344,0.129247,0.077855,0.157696,0.09561599999999999,0.159167,0.08454400000000001,0.087904,0.075392,0.11651199999999999,0.192863,0.158207,0.07152,0.150719,0.078112,0.16780799999999998,0.06688,0.15056,0.078752
0.154144,0.088671,0.08998300000000001,0.166175,0.146336,0.08496000000000001,0.148991,0.11878299999999999,0.141471,0.160832,0.072576,0.151424,0.07808,0.11820699999999999,0.07152,0.15443199999999999,0.07676799999999999,0.095584,0.066912,0.107552,0.165088,0.169183,0.068576,0.14441600000000002,0.092704,0.184224,0.073376,0.13852799999999998,0.072896
0.113856,0.06915199999999999,0.092927,0.179391,0.159552,0.086559,0.14524700000000001,0.13228800000000002,0.185184,0.188864,0.076096,0.10415999999999999,0.084128,0.147679,0.068159,0.145984,0.070656,0.066911,0.090527,0.09020800000000001,0.197023,0.157184,0.06790399999999999,0.117632,0.09264,0.184383,0.065568,0.156224,0.10207999999999999
0.135616,0.09087999999999999,0.091967,0.14585499999999998,0.139648,0.11065499999999999,0.16758299999999998,0.109984,0.199904,0.164351,0.065568,0.121472,0.091999,0.10748800000000001,0.113856,0.14083199999999998,0.06848,0.066143,0.07324800000000001,0.094624,0.188127,0.12124700000000001,0.068288,0.10486300000000001,0.077856,0.190431,0.07606399999999999,0.154048,0.072511
0.116384,0.0952,0.075839,0.144031,0.11913499999999999,0.10044700000000001,0.126879,0.15952,0.134848,0.18892799999999998,0.064992,0.11948800000000001,0.078944,0.161248,0.069664,0.1456,0.075168,0.064992,0.071391,0.085088,0.177824,0.168768,0.073536,0.156064,0.098687,0.169503,0.06496,0.159136,0.068927
0.12896,0.09446399999999999,0.089216,0.17312,0.14207899999999998,0.11699100000000001,0.12432,0.11785599999999999,0.154783,0.140959,0.069248,0.163008,0.112223,0.116224,0.067328,0.127519,0.06918400000000001,0.07974400000000001,0.10115199999999999,0.087264,0.159424,0.152831,0.06896000000000001,0.154815,0.079167,0.181919,0.072448,0.168383,0.072672
0.173056,0.080192,0.08089600000000001,0.141248,0.122464,0.08390299999999999,0.118112,0.11414300000000001,0.140543,0.176223,0.065823,0.151552,0.07750399999999999,0.161695,0.068224,0.12912,0.069504,0.06976,0.07324800000000001,0.096256,0.16588699999999998,0.15398399999999998,0.068703,0.104192,0.077856,0.196671,0.065984,0.135776,0.066624
0.123455,0.10176,0.116095,0.161503,0.143072,0.11126300000000001,0.1144,0.11091199999999998,0.134047,0.192672,0.06527899999999999,0.128224,0.0944,0.14793599999999998,0.071744,0.14940699999999998,0.069504,0.071904,0.071296,0.092288,0.152032,0.157599,0.06780800000000001,0.153376,0.077152,0.166048,0.07699199999999999,0.171584,0.070496
0.157728,0.11660699999999999,0.128575,0.12601500000000002,0.157568,0.106208,0.118176,0.107744,0.149023,0.141952,0.064928,0.132928,0.07664,0.094912,0.06665599999999999,0.15456,0.072159,0.082976,0.08384,0.14048,0.19603099999999998,0.165568,0.110304,0.11945499999999999,0.082528,0.180224,0.065728,0.17104,0.06976
0.127104,0.079104,0.093695,0.154848,0.10732799999999999,0.11814300000000001,0.169375,0.15692799999999998,0.14832,0.140992,0.074656,0.113856,0.08307200000000001,0.158176,0.07103999999999999,0.195711,0.072352,0.09372799999999999,0.073632,0.108384,0.192896,0.155136,0.067328,0.10460799999999999,0.077472,0.186592,0.07184,0.167296,0.076864
0.140448,0.084256,0.0992,0.197184,0.14096,0.11481500000000001,0.117855,0.11939200000000001,0.154495,0.195904,0.06512000000000001,0.127552,0.07494400000000001,0.126176,0.11091199999999998,0.137536,0.0712,0.087008,0.075712,0.139104,0.193376,0.19126300000000002,0.067647,0.16009500000000002,0.07312,0.195135,0.06544,0.15654400000000002,0.07030299999999999
0.155136,0.115104,0.095807,0.150527,0.111231,0.131872,0.138431,0.13696,0.182239,0.203039,0.065536,0.122272,0.084607,0.16108699999999998,0.069376,0.170656,0.073408,0.102752,0.0664,0.123296,0.164927,0.177984,0.068576,0.16588699999999998,0.08448,0.180319,0.072575,0.177248,0.065664
0.134783,0.079808,0.078048,0.157056,0.14060699999999998,0.095648,0.163167,0.137759,0.199391,0.19411099999999998,0.07504,0.129184,0.08816,0.163776,0.0712,0.196479,0.072032,0.11529600000000001,0.077791,0.095808,0.15174400000000002,0.18979200000000002,0.104896,0.14441600000000002,0.07296,0.191743,0.075039,0.174592,0.074816
0.140896,0.076736,0.097696,0.19209600000000002,0.130624,0.090463,0.182912,0.146239,0.18265499999999998,0.19664,0.102848,0.103904,0.078688,0.148287,0.06905599999999999,0.135648,0.071008,0.099584,0.07632,0.137312,0.132928,0.16688,0.067392,0.13455899999999998,0.07968,0.196095,0.075935,0.17744000000000001,0.078752
0.116608,0.07513500000000001,0.08998400000000001,0.159616,0.09424,0.121183,0.12870399999999999,0.124383,0.197472,0.20313499999999998,0.06540800000000001,0.12393599999999999,0.069664,0.162944,0.076096,0.134208,0.071008,0.078336,0.074688,0.11888,0.132192,0.19062300000000001,0.109088,0.106752,0.077312,0.202335,0.06614400000000001,0.15584,0.070528
0.130528,0.09763200000000001,0.096352,0.138976,0.11065599999999999,0.080991,0.172416,0.14895899999999998,0.151264,0.174975,0.06576,0.11436700000000001,0.095872,0.165919,0.065664,0.154559,0.079296,0.08214400000000001,0.074912,0.09568,0.131903,0.13968,0.068096,0.11414400000000001,0.08390399999999999,0.198207,0.0656,0.154976,0.07007999999999999
0.11952,0.088255,0.11321500000000001,0.169152,0.143008,0.127839,0.11728,0.143295,0.149696,0.20672,0.06540800000000001,0.123103,0.077856,0.126815,0.064928,0.126816,0.075296,0.070912,0.07177599999999999,0.117952,0.12979200000000002,0.168287,0.07471900000000001,0.16768,0.072608,0.181951,0.068384,0.175776,0.07664
0.127711,0.07865599999999999,0.09852799999999999,0.170624,0.141504,0.11423900000000001,0.168576,0.147359,0.189823,0.181088,0.07936,0.127711,0.097727,0.16608,0.070208,0.12575999999999998,0.070336,0.07184,0.069024,0.089792,0.200287,0.11900799999999999,0.096832,0.125024,0.076576,0.16255899999999998,0.08275199999999999,0.154272,0.07407899999999999
0.13327999999999998,0.06912,0.09667200000000001,0.18473499999999998,0.110304,0.080831,0.15712,0.147999,0.188095,0.142175,0.06576,0.12124700000000001,0.073344,0.14313599999999999,0.096448,0.184192,0.064928,0.099263,0.076512,0.12646400000000002,0.168927,0.173728,0.105824,0.15888,0.07792,0.185471,0.07024,0.14687999999999998,0.06608
0.133663,0.108704,0.085472,0.188479,0.118528,0.085952,0.13808,0.151263,0.188095,0.210144,0.070336,0.128864,0.086016,0.10796700000000001,0.06531100000000001,0.168416,0.07552,0.086463,0.0744,0.161183,0.145728,0.15567999999999999,0.06896000000000001,0.123136,0.082368,0.151392,0.07180800000000001,0.146304,0.076288
0.123296,0.06905599999999999,0.07676799999999999,0.141279,0.111871,0.080512,0.160863,0.136576,0.199744,0.20768000000000003,0.06540800000000001,0.128032,0.077855,0.149632,0.067968,0.168095,0.069984,0.074304,0.076703,0.100191,0.12956800000000002,0.16860799999999998,0.105439,0.155231,0.073152,0.18175999999999998,0.067807,0.15088,0.086112
0.11776,0.07219199999999999,0.10928,0.180351,0.136959,0.084064,0.13833499999999999,0.1512,0.17232,0.138752,0.078976,0.10588800000000001,0.08403200000000001,0.146208,0.065152,0.184704,0.089184,0.073312,0.072448,0.127423,0.171808,0.13952,0.08272,0.138016,0.071936,0.195232,0.06656000000000001,0.171904,0.064928
0.116703,0.113535,0.11398299999999999,0.14796800000000002,0.12457599999999999,0.090112,0.10928,0.117888,0.14873599999999998,0.195008,0.065568,0.111008,0.099232,0.146176,0.07494400000000001,0.15024,0.065567,0.08163200000000001,0.078336,0.12124800000000001,0.15049500000000002,0.12304000000000001,0.07052699999999999,0.12646300000000002,0.073344,0.181632,0.066623,0.133632,0.065055
0.170432,0.082336,0.107359,0.144544,0.112224,0.091776,0.116256,0.134976,0.187744,0.207808,0.066272,0.15456,0.080863,0.154399,0.073504,0.149599,0.102272,0.073728,0.073216,0.103872,0.169375,0.132895,0.099616,0.126336,0.072992,0.18304,0.080319,0.151167,0.070591
0.126815,0.069088,0.092447,0.187104,0.107392,0.09689600000000001,0.12304000000000001,0.144768,0.15824000000000002,0.19216,0.06563200000000001,0.098432,0.10361600000000001,0.12380799999999999,0.068288,0.12515199999999999,0.069888,0.07168,0.072288,0.10815999999999999,0.208128,0.15952,0.07072,0.11055899999999999,0.078624,0.181856,0.067039,0.12521600000000002,0.066464
0.13216,0.082432,0.09059199999999999,0.173343,0.11769600000000001,0.115648,0.14393499999999998,0.12140799999999999,0.200639,0.13958299999999998,0.075488,0.169408,0.094688,0.14585599999999999,0.075488,0.151647,0.070016,0.07107100000000001,0.091776,0.09667200000000001,0.189183,0.18623900000000002,0.073184,0.112448,0.09328,0.151776,0.069216,0.12419200000000001,0.073088
