IN[5120],IN[6656],IN[3584],IN[2560],IN[5632],IN[9728],IN[7680],IN[3072],IN[2],IN[1],IN[2048],IN[1536],IN[9216],IN[32],IN[1024],IN[16],IN[6144],IN[8192],IN[512],IN[7168],IN[256],IN[4],IN[10240],IN[128],IN[64],IN[4608],IN[8704],IN[4096],IN[8]
0.124452,0.144004,0.14586,0.140901,0.140932,0.18675799999999998,0.14618,0.1569,0.08339500000000001,0.088771,0.101827,0.1377,0.150148,0.074754,0.088227,0.11555499999999999,0.114628,0.15354,0.131204,0.126756,0.072898,0.095011,0.20560599999999998,0.077314,0.081187,0.11811500000000001,0.188134,0.152613,0.076802
0.152293,0.15402000000000002,0.163365,0.15085199999999999,0.17783,0.154021,0.167173,0.14265999999999998,0.07917,0.072482,0.1377,0.108931,0.19981400000000002,0.073826,0.11946,0.072739,0.131364,0.15293199999999998,0.14541300000000001,0.175526,0.11193900000000001,0.077731,0.141924,0.081794,0.115299,0.161604,0.184646,0.11914000000000001,0.08579500000000001
0.15178,0.132388,0.166981,0.106179,0.157253,0.21159099999999997,0.183077,0.12105999999999999,0.082083,0.11238699999999999,0.143204,0.125252,0.137508,0.082242,0.094082,0.078563,0.150084,0.182853,0.112452,0.134372,0.078787,0.072418,0.208262,0.127716,0.07168200000000001,0.158821,0.18195699999999998,0.14582799999999999,0.08784299999999999
0.144612,0.13664400000000002,0.15648499999999999,0.122116,0.14602,0.155109,0.12291600000000001,0.135108,0.088258,0.113443,0.155844,0.10713900000000001,0.17443699999999998,0.10496300000000001,0.08765099999999999,0.08950599999999999,0.175525,0.174469,0.095939,0.171013,0.101699,0.080355,0.209222,0.094274,0.087523,0.136228,0.199398,0.117796,0.101155
0.134404,0.140389,0.12051600000000001,0.140484,0.167237,0.155204,0.171301,0.150724,0.073603,0.076162,0.097475,0.15066,0.199622,0.082531,0.08262699999999999,0.088003,0.167749,0.19639,0.102243,0.17927,0.08921799999999999,0.085283,0.162341,0.07542599999999999,0.080323,0.13898,0.185349,0.14544400000000002,0.071234
0.173765,0.17405299999999999,0.163556,0.146948,0.18096500000000001,0.161893,0.19680599999999998,0.164389,0.10813099999999999,0.07334600000000001,0.13709200000000002,0.11581199999999998,0.207879,0.06957,0.09299500000000001,0.073538,0.18541300000000002,0.144708,0.12301199999999998,0.122403,0.11101099999999998,0.07197,0.202214,0.07785800000000001,0.111268,0.161732,0.191269,0.13626,0.07181
0.16701300000000002,0.170693,0.174277,0.132324,0.1393,0.181478,0.172677,0.174757,0.103683,0.098211,0.13802,0.140996,0.20375,0.077922,0.111171,0.073155,0.156677,0.194854,0.123748,0.1585,0.079554,0.07149,0.20266199999999998,0.12336400000000002,0.104707,0.120387,0.131748,0.16339700000000001,0.07072200000000001
0.12218,0.185381,0.15549300000000002,0.12413099999999999,0.16297999999999999,0.153892,0.169477,0.160132,0.072418,0.06800199999999999,0.109347,0.129668,0.200166,0.08768300000000001,0.101603,0.073698,0.15523699999999999,0.17638900000000002,0.088835,0.136132,0.094691,0.11456300000000001,0.156388,0.079555,0.1241,0.127684,0.16778099999999999,0.139492,0.070754
0.14938099999999999,0.194118,0.163365,0.106403,0.131907,0.163717,0.194182,0.12029200000000001,0.07213,0.074787,0.091235,0.08732999999999999,0.203206,0.074339,0.14211600000000002,0.12701199999999999,0.160421,0.192294,0.09539500000000001,0.192678,0.07021000000000001,0.082562,0.181221,0.10806700000000001,0.109572,0.132036,0.18179800000000002,0.15705999999999998,0.08877
0.112259,0.184902,0.13162000000000001,0.153701,0.14154,0.19847,0.146564,0.148644,0.079779,0.10336300000000001,0.123043,0.108099,0.174501,0.073826,0.083139,0.076514,0.16781300000000002,0.17523699999999998,0.09414600000000001,0.177574,0.07113799999999999,0.087427,0.14416400000000001,0.093795,0.076611,0.12218,0.18983,0.137604,0.082531
0.159525,0.156197,0.148805,0.144452,0.12829200000000002,0.19866199999999998,0.125924,0.144548,0.080867,0.07446599999999999,0.10272300000000001,0.15373299999999998,0.20551,0.08672200000000001,0.113732,0.082466,0.154629,0.170853,0.099427,0.118724,0.119075,0.087395,0.158085,0.08768200000000001,0.098691,0.127716,0.154597,0.144805,0.09341
0.164933,0.1553,0.171077,0.113379,0.146757,0.171846,0.166853,0.168901,0.074914,0.067554,0.104451,0.14310799999999999,0.18954200000000002,0.075522,0.158148,0.101379,0.13882,0.183749,0.106947,0.148229,0.082178,0.098531,0.205382,0.09161799999999999,0.100547,0.113827,0.19331700000000002,0.12518800000000002,0.08336299999999999
0.130052,0.121027,0.162245,0.129987,0.18061300000000002,0.175813,0.127779,0.121892,0.077571,0.107044,0.127395,0.1409,0.198534,0.072002,0.096355,0.069858,0.128804,0.190566,0.08128200000000001,0.17043699999999998,0.11338,0.081731,0.138404,0.08093099999999999,0.072738,0.147332,0.151621,0.117604,0.095458
