Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],IN[9],INFER[9-10],OUT[10],TEE[9-10],classifier
0.429401,0.017377,0.208044,0.004928,0.047811,0.000608,0.013729,0.000352,0.001504,0.100902,0.062500,0.053731,0.220525,0.951287
0.430393,0.017601,0.208172,0.004864,0.048387,0.000576,0.013697,0.000352,0.001504,0.102246,0.063620,0.054179,0.223277,0.956279
0.428985,0.017441,0.208524,0.004929,0.050627,0.000576,0.013504,0.000384,0.001472,0.107334,0.068740,0.055939,0.235725,0.969272
0.429241,0.017409,0.208364,0.005216,0.048579,0.000576,0.013697,0.000352,0.001696,0.107526,0.063908,0.053283,0.228045,0.960119
0.429433,0.017665,0.209196,0.005089,0.050307,0.000576,0.013440,0.000352,0.001728,0.106630,0.063620,0.054435,0.228077,0.962776
0.430329,0.017345,0.208268,0.004993,0.049635,0.000576,0.013856,0.000385,0.001472,0.104646,0.068612,0.056099,0.233133,0.966776
0.446746,0.017345,0.208524,0.004896,0.050275,0.000576,0.013729,0.000416,0.001504,0.109383,0.067779,0.055555,0.236078,0.987513
0.432665,0.018017,0.210796,0.004961,0.048130,0.000608,0.013568,0.000352,0.001537,0.109606,0.069252,0.056355,0.238893,0.977816
0.432153,0.017409,0.208620,0.004993,0.048803,0.000576,0.013632,0.000384,0.001537,0.106758,0.067012,0.054915,0.231789,0.967064
0.429625,0.017505,0.247182,0.005089,0.048611,0.000608,0.013792,0.000352,0.001537,0.106214,0.069796,0.054723,0.234317,1.005434
0.429113,0.018081,0.208140,0.005280,0.048099,0.000576,0.013729,0.000384,0.001536,0.099622,0.062116,0.066659,0.231502,0.962968
0.430617,0.017441,0.208332,0.004897,0.047970,0.000576,0.013633,0.000384,0.001632,0.098438,0.064484,0.053347,0.220109,0.952023
0.429273,0.017345,0.208108,0.004865,0.048802,0.000576,0.013697,0.000384,0.001472,0.100678,0.091014,0.057283,0.252879,0.984377
0.428953,0.017313,0.208940,0.004896,0.047779,0.000576,0.013473,0.000384,0.001472,0.104262,0.069476,0.056132,0.233006,0.963640
0.428857,0.017409,0.208684,0.004929,0.047714,0.000608,0.013377,0.000384,0.001472,0.121831,0.069380,0.055460,0.250159,0.980857
0.429752,0.017505,0.208652,0.004992,0.047747,0.000576,0.013633,0.000416,0.001376,0.098437,0.068355,0.055811,0.225901,0.957079
0.447770,0.017377,0.208748,0.004865,0.047618,0.000576,0.013633,0.000352,0.001472,0.104070,0.067748,0.055268,0.230382,0.979865
0.429304,0.017505,0.208012,0.005088,0.049251,0.000576,0.013697,0.000384,0.001472,0.101446,0.068420,0.055971,0.229229,0.960823
0.428953,0.017409,0.207884,0.004928,0.047939,0.000608,0.013633,0.000352,0.001472,0.098214,0.068644,0.055971,0.226029,0.955767
0.446938,0.017761,0.208556,0.005281,0.047330,0.000577,0.013472,0.000352,0.001440,0.103621,0.068067,0.054147,0.229102,0.977465
0.428888,0.017633,0.208684,0.004928,0.047171,0.000576,0.013441,0.000384,0.001472,0.112102,0.066916,0.057732,0.240014,0.970296
0.429336,0.017377,0.208492,0.005024,0.048995,0.000544,0.013409,0.000352,0.001504,0.101894,0.062883,0.054115,0.222509,0.954359
0.429049,0.018081,0.208172,0.004896,0.047651,0.000576,0.013697,0.000352,0.001440,0.122759,0.066948,0.053635,0.246990,0.976600
0.430233,0.017409,0.208876,0.004992,0.047267,0.000544,0.013505,0.000352,0.001408,0.101542,0.067236,0.056259,0.228269,0.959927
0.429241,0.017537,0.209004,0.004928,0.046947,0.000608,0.013473,0.000352,0.001472,0.099558,0.067716,0.055491,0.225805,0.955927
0.430233,0.017569,0.208588,0.005056,0.047043,0.000576,0.013473,0.000352,0.001440,0.130632,0.070628,0.054563,0.258895,0.989753
0.430233,0.017537,0.208204,0.004992,0.046979,0.000800,0.013473,0.000352,0.001504,0.108230,0.066563,0.054180,0.232718,0.963896
0.431225,0.017569,0.208364,0.004896,0.047042,0.000608,0.013537,0.000352,0.001472,0.100902,0.064484,0.053475,0.222157,0.953143
0.429977,0.017345,0.208844,0.004864,0.047139,0.000576,0.013569,0.000352,0.001440,0.100198,0.067940,0.055587,0.227277,0.958167
0.449178,0.017377,0.208748,0.005185,0.047106,0.000608,0.013377,0.000352,0.001408,0.102662,0.062756,0.052835,0.221485,0.971352
0.429113,0.017537,0.208428,0.004864,0.047203,0.000608,0.013409,0.000384,0.001440,0.101414,0.067172,0.054691,0.226573,0.955831
0.429209,0.017281,0.208396,0.005024,0.047075,0.000576,0.013345,0.000416,0.001472,0.096261,0.061764,0.052771,0.214284,0.943414
0.432729,0.017441,0.207980,0.004864,0.047011,0.000640,0.013377,0.000384,0.001440,0.121671,0.061764,0.052739,0.239726,0.971896
0.429049,0.017313,0.208300,0.004928,0.047203,0.000608,0.013537,0.000384,0.001408,0.103334,0.067908,0.055395,0.229933,0.959352
0.428857,0.017313,0.208844,0.004897,0.047234,0.000576,0.013728,0.000352,0.001473,0.099525,0.064900,0.053667,0.221068,0.951031
0.428633,0.017505,0.208812,0.004832,0.047011,0.000576,0.013377,0.000352,0.001504,0.098726,0.066595,0.055171,0.223565,0.952599
