Layer[0],Layer[1],IN[2],INFER[2-3],OUT[3],TEE[2-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.428731,0.017441,0.107591,0.601222,0.098598,0.811540,0.050915,0.000576,0.013537,0.000416,0.001408,0.001056,0.000864,1.333460
0.428219,0.017601,0.106759,0.560100,0.096678,0.767473,0.049603,0.000864,0.013537,0.000352,0.001408,0.001088,0.000352,1.286962
0.427867,0.017441,0.095974,0.551587,0.084198,0.735823,0.050851,0.000800,0.013505,0.000416,0.001440,0.001024,0.000416,1.256271
0.445532,0.017473,0.104327,0.558595,0.123815,0.790290,0.051011,0.000704,0.013601,0.000352,0.001440,0.001152,0.000384,1.328468
0.428603,0.017409,0.103494,0.558980,0.124520,0.790674,0.050435,0.000832,0.013537,0.000352,0.001440,0.001120,0.000384,1.311539
0.428251,0.017313,0.106406,0.579076,0.088006,0.777169,0.051395,0.000672,0.013569,0.000416,0.001504,0.001152,0.001025,1.299091
0.428251,0.017377,0.104199,0.559363,0.094150,0.761296,0.050851,0.000800,0.013536,0.000352,0.001472,0.001120,0.000352,1.282321
0.428123,0.017377,0.104647,0.559523,0.097735,0.766257,0.050883,0.000800,0.013569,0.000448,0.001472,0.001120,0.000384,1.287761
0.450940,0.017441,0.104167,0.556099,0.086566,0.750640,0.050883,0.000672,0.013505,0.000416,0.001440,0.001056,0.000384,1.294385
0.431099,0.017633,0.107111,0.564387,0.089350,0.765104,0.049795,0.000768,0.013793,0.000416,0.001665,0.001408,0.000576,1.289330
0.429115,0.017409,0.114631,0.558756,0.128680,0.805747,0.050083,0.000896,0.013537,0.000416,0.020898,0.001184,0.000448,1.347317
0.430107,0.018082,0.145993,0.572196,0.108935,0.831156,0.051491,0.001184,0.014529,0.000384,0.001472,0.002848,0.000352,1.360662
0.431867,0.018177,0.165995,0.565508,0.102886,0.838677,0.049987,0.001152,0.014305,0.000704,0.001728,0.003008,0.000384,1.373431
0.448797,0.018081,0.106375,0.561027,0.088934,0.759984,0.049443,0.000864,0.013857,0.000608,0.001664,0.001280,0.000384,1.302419
0.428667,0.017889,0.100710,0.558916,0.111815,0.775057,0.049859,0.000928,0.015073,0.000576,0.001505,0.001088,0.000576,1.297746
0.433275,0.018114,0.143625,0.596070,0.092166,0.837557,0.050307,0.000864,0.013985,0.000576,0.001856,0.001952,0.000384,1.372438
0.432859,0.017697,0.103942,0.557124,0.097702,0.763376,0.050019,0.000896,0.013729,0.000352,0.001600,0.001056,0.000384,1.289169
0.429531,0.018017,0.109255,0.570756,0.092070,0.775761,0.050019,0.000832,0.014048,0.000384,0.001537,0.001056,0.000384,1.298546
0.451420,0.017921,0.109927,0.555171,0.120232,0.788914,0.050115,0.000864,0.014017,0.000352,0.001568,0.001088,0.000512,1.333940
0.430139,0.017762,0.105958,0.559588,0.091750,0.761520,0.049187,0.000896,0.014049,0.000384,0.001632,0.001024,0.000416,1.284177
0.430076,0.017633,0.108199,0.558499,0.143625,0.814611,0.050276,0.000832,0.013985,0.000384,0.001696,0.001472,0.000416,1.339157
0.430459,0.017633,0.106023,0.559939,0.097095,0.766865,0.050243,0.000928,0.014241,0.000384,0.001536,0.001120,0.000608,1.290673
0.430395,0.017826,0.109542,0.562851,0.110983,0.787121,0.052580,0.000896,0.014049,0.000384,0.001504,0.001408,0.000384,1.313299
