Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],IN[8],INFER[8-8],OUT[8],TEE[8-8],Layer[9],Layer[10],classifier
0.428409,0.017569,0.208844,0.004896,0.047267,0.000608,0.013505,0.000384,0.109702,0.067812,0.121543,0.302929,0.001472,0.000512,1.035293
0.429241,0.017505,0.209132,0.004897,0.049347,0.000608,0.013600,0.000352,0.103942,0.065539,0.081476,0.254574,0.001440,0.000512,0.989242
0.429049,0.017538,0.208364,0.004960,0.049315,0.000576,0.013857,0.000320,0.100870,0.068356,0.076132,0.248430,0.001536,0.000576,0.981881
0.429145,0.017345,0.208045,0.004960,0.048579,0.000576,0.013569,0.000384,0.103750,0.068964,0.077572,0.253582,0.001408,0.000416,0.985050
0.447354,0.017537,0.208652,0.004929,0.048578,0.000609,0.013632,0.000384,0.103014,0.066596,0.080389,0.253391,0.001408,0.000480,1.004698
0.428985,0.017441,0.208876,0.005089,0.048450,0.000544,0.013504,0.000384,0.104966,0.069060,0.099813,0.277232,0.001249,0.000448,1.008923
0.429273,0.018177,0.208780,0.004864,0.047875,0.000608,0.013569,0.000352,0.107078,0.067652,0.073925,0.252207,0.001408,0.000480,0.986297
0.448570,0.017601,0.209036,0.004992,0.048067,0.000576,0.013473,0.000384,0.101894,0.061700,0.073892,0.240942,0.001376,0.000448,0.993017
0.429273,0.017345,0.209133,0.004896,0.047395,0.000576,0.013504,0.000384,0.103942,0.067364,0.072612,0.247694,0.001312,0.000448,0.979673
0.428345,0.017569,0.208908,0.004896,0.047459,0.000576,0.013505,0.000352,0.101798,0.068420,0.079941,0.253519,0.001248,0.000448,0.984281
0.428857,0.017537,0.225517,0.005601,0.047363,0.000576,0.013504,0.000416,0.109831,0.068516,0.076388,0.258511,0.001313,0.000416,1.009627
0.429305,0.017633,0.208940,0.005057,0.048418,0.000576,0.013472,0.000384,0.109831,0.069668,0.082245,0.265136,0.001280,0.000416,0.998298
0.429337,0.017377,0.209676,0.004833,0.047938,0.000576,0.013472,0.000384,0.099398,0.063364,0.081637,0.247823,0.001312,0.000480,0.979961
0.428153,0.017313,0.208940,0.004800,0.047587,0.000576,0.013409,0.000352,0.104454,0.089669,0.079653,0.277040,0.001248,0.000448,1.006842
0.430105,0.017409,0.208876,0.004865,0.048066,0.000640,0.013473,0.000416,0.105030,0.068132,0.076453,0.252719,0.001248,0.000480,0.985081
0.428793,0.017473,0.208684,0.004865,0.047874,0.000608,0.013505,0.000416,0.102598,0.067396,0.072421,0.245839,0.001280,0.000416,0.976601
0.429401,0.017633,0.208493,0.004864,0.048003,0.000608,0.013537,0.000352,0.111910,0.068420,0.087109,0.271023,0.001440,0.000384,1.003611
0.429401,0.017441,0.208908,0.004960,0.048387,0.000576,0.013505,0.000384,0.108743,0.064355,0.077317,0.253807,0.001408,0.000416,0.986297
0.428921,0.017601,0.208428,0.004961,0.047683,0.000576,0.013472,0.000416,0.103430,0.074724,0.077444,0.258799,0.001312,0.000512,0.989434
0.429657,0.018145,0.209100,0.005024,0.047939,0.000576,0.013505,0.000416,0.105542,0.074660,0.078821,0.262447,0.001312,0.000384,0.995769
0.445817,0.017409,0.209388,0.004864,0.047747,0.000608,0.013505,0.000384,0.111622,0.068708,0.080356,0.264559,0.001408,0.000384,1.015227
