IN[0],INFER[0-0],OUT[0],TEE[0-0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.105512,1.042504,0.086566,1.240822,0.021281,0.242160,0.005377,0.048867,0.001056,0.013601,0.000384,0.001536,0.001120,0.000609,1.582542
0.141257,1.045416,0.125353,1.320123,0.019425,0.210927,0.005280,0.048612,0.001088,0.014113,0.000416,0.001760,0.001152,0.000384,1.629328
0.174508,1.048105,0.100647,1.334876,0.031938,0.218319,0.005377,0.049411,0.001120,0.014593,0.000672,0.002048,0.003136,0.000864,1.669715
0.108839,1.045096,0.087782,1.248822,0.018113,0.211215,0.005312,0.048772,0.000896,0.013889,0.000608,0.001760,0.002048,0.000384,1.557227
0.106504,1.043656,0.086822,1.242998,0.017793,0.210735,0.005120,0.048772,0.000896,0.014209,0.000448,0.001440,0.001408,0.000576,1.549739
0.127369,1.044840,0.104616,1.282617,0.017761,0.210126,0.005056,0.048643,0.000896,0.013825,0.000352,0.001761,0.001472,0.000416,1.588462
0.112679,1.046089,0.085030,1.250071,0.017761,0.209775,0.005088,0.048739,0.000896,0.013857,0.000577,0.001760,0.001504,0.000384,1.555852
0.103911,1.063241,0.090694,1.263927,0.025026,0.211374,0.005217,0.048931,0.000832,0.013857,0.000416,0.001696,0.001441,0.000352,1.578541
0.125865,1.045896,0.087270,1.266200,0.018049,0.209966,0.005377,0.048067,0.000896,0.013601,0.000384,0.001536,0.001504,0.000416,1.571341
0.129417,1.071562,0.095110,1.303994,0.017889,0.209646,0.005121,0.048291,0.000864,0.013921,0.000384,0.001376,0.001504,0.000416,1.608816
0.104840,1.042728,0.088230,1.242102,0.017954,0.210190,0.005120,0.048964,0.001088,0.013857,0.000384,0.001504,0.001472,0.000640,1.548651
0.134697,1.064554,0.117320,1.322555,0.025698,0.210446,0.005281,0.048355,0.001152,0.013793,0.000384,0.001568,0.001120,0.000384,1.636273
0.107719,1.040104,0.104807,1.258871,0.017761,0.209870,0.005057,0.048227,0.000832,0.014049,0.000576,0.001536,0.001056,0.000416,1.563692
0.106279,1.041192,0.085958,1.239477,0.017922,0.243664,0.005408,0.047907,0.000832,0.014241,0.000449,0.001536,0.001216,0.000416,1.580429
0.105799,1.041896,0.096519,1.250390,0.020226,0.209550,0.005056,0.048484,0.000832,0.014145,0.000384,0.001760,0.001184,0.000384,1.557707
0.100935,1.035848,0.084646,1.227989,0.018113,0.209679,0.005088,0.048547,0.001088,0.013889,0.000640,0.001760,0.001408,0.000352,1.533898
0.105224,1.037895,0.082854,1.230997,0.017730,0.209710,0.005216,0.049219,0.000832,0.013825,0.000416,0.001376,0.001152,0.000608,1.536970
0.103272,1.041384,0.108135,1.258615,0.021186,0.209838,0.005153,0.048259,0.000832,0.014081,0.000384,0.001760,0.001152,0.000608,1.567373
0.136073,1.064874,0.112008,1.318811,0.017857,0.210030,0.005153,0.048963,0.000896,0.013665,0.000352,0.001408,0.001153,0.000352,1.624464
0.102791,1.042344,0.086662,1.239094,0.017697,0.209838,0.005153,0.048803,0.001088,0.013729,0.000576,0.001728,0.001153,0.000384,1.544843
0.134409,1.076618,0.098406,1.316442,0.018274,0.210190,0.005281,0.048259,0.001152,0.013761,0.000384,0.001472,0.001184,0.000416,1.622127
0.108456,1.039912,0.097927,1.253943,0.017985,0.209807,0.005088,0.048419,0.000896,0.014177,0.000384,0.001505,0.001472,0.000384,1.559788
0.104328,1.070218,0.112583,1.293914,0.018497,0.209486,0.005121,0.049059,0.001120,0.013857,0.000416,0.001728,0.001409,0.000384,1.600623
0.105703,1.043112,0.087366,1.242709,0.017986,0.211310,0.005345,0.048323,0.000896,0.013857,0.000416,0.001728,0.001216,0.000384,1.549386
0.104039,1.042408,0.087462,1.240182,0.017761,0.232048,0.005248,0.048644,0.000832,0.013825,0.000416,0.001440,0.001440,0.000384,1.567884
0.103047,1.041864,0.087654,1.238678,0.019425,0.209870,0.005313,0.048515,0.000928,0.014497,0.000416,0.001601,0.001664,0.000416,1.546859
0.106151,1.042792,0.087910,1.242582,0.017953,0.209614,0.005217,0.048387,0.001152,0.013601,0.000416,0.001664,0.001152,0.000352,1.547883
0.102567,1.042376,0.086886,1.237749,0.025058,0.209807,0.005376,0.048803,0.001185,0.013985,0.000608,0.001728,0.001440,0.000416,1.551883
0.105671,1.044552,0.096199,1.252214,0.021345,0.209806,0.005120,0.048740,0.001056,0.013889,0.000384,0.001792,0.001504,0.000416,1.562091
0.133321,1.067338,0.107943,1.315386,0.018306,0.209486,0.005121,0.048675,0.000896,0.013761,0.000416,0.001696,0.001280,0.000352,1.621135
0.101735,1.039144,0.111880,1.257655,0.021889,0.210159,0.005440,0.048772,0.000832,0.013889,0.000416,0.001536,0.001248,0.000416,1.567820
0.109544,1.063945,0.088646,1.269176,0.022017,0.209999,0.005568,0.047972,0.000832,0.014209,0.000416,0.001568,0.001344,0.000416,1.579021
0.110311,1.047529,0.089894,1.254006,0.018081,0.211695,0.005600,0.048548,0.001088,0.014273,0.000416,0.001536,0.001312,0.000384,1.562411
0.114663,1.069225,0.115784,1.305242,0.020193,0.209518,0.005153,0.048643,0.000864,0.014145,0.000576,0.001729,0.001248,0.000352,1.613584
0.103656,1.035527,0.084486,1.228949,0.017825,0.209678,0.005184,0.048228,0.000832,0.014465,0.000416,0.001600,0.001248,0.000384,1.534346
0.117544,1.041672,0.111816,1.277880,0.017921,0.209807,0.005152,0.048771,0.001121,0.013569,0.000576,0.001504,0.001216,0.000384,1.583373
0.102151,1.036200,0.084229,1.228341,0.017921,0.210062,0.005153,0.048867,0.000832,0.013857,0.000416,0.001760,0.001441,0.000608,1.534762
0.108743,1.039815,0.085830,1.240533,0.017666,0.209422,0.005120,0.048515,0.001088,0.013825,0.000384,0.001504,0.001504,0.000416,1.545834
0.107272,1.041768,0.086598,1.242774,0.017633,0.209967,0.005056,0.048516,0.000864,0.013953,0.000384,0.001728,0.001472,0.000640,1.548683
0.140138,1.044968,0.097159,1.289081,0.017953,0.212239,0.005344,0.048612,0.000864,0.013825,0.000416,0.001760,0.001152,0.000352,1.597070
0.163468,1.041383,0.085029,1.295706,0.017985,0.209806,0.005313,0.049027,0.000864,0.013793,0.000608,0.001696,0.001281,0.000640,1.601871
0.111912,1.042856,0.086630,1.248982,0.021409,0.210095,0.005280,0.048452,0.001184,0.013825,0.000672,0.001824,0.001536,0.000352,1.558923
0.107016,1.079882,0.110088,1.303514,0.019554,0.209998,0.005120,0.048836,0.000896,0.013921,0.000416,0.001824,0.001472,0.000416,1.612207
0.136297,1.042632,0.084454,1.269879,0.017665,0.210191,0.005216,0.048804,0.001120,0.014049,0.000384,0.001600,0.001568,0.000640,1.576748
