Layer[0],Layer[1],IN[2],INFER[2-2],OUT[2],TEE[2-2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.429147,0.017665,0.103910,0.546659,0.086470,0.740751,0.005856,0.049315,0.000608,0.013537,0.000448,0.001441,0.001312,0.000384,1.267761
0.429659,0.017729,0.111752,0.549411,0.119495,0.785234,0.008961,0.049827,0.000768,0.013825,0.000416,0.001760,0.001280,0.000385,1.317876
0.428859,0.017537,0.109287,0.554244,0.080901,0.748688,0.005408,0.049028,0.000800,0.013760,0.000448,0.001888,0.001632,0.000416,1.276305
0.429787,0.017441,0.109031,0.563396,0.094246,0.770129,0.005441,0.049155,0.000768,0.013665,0.000416,0.001792,0.001216,0.000384,1.297874
0.428604,0.017409,0.134953,0.554499,0.090982,0.784178,0.014977,0.050243,0.000800,0.013825,0.000448,0.001536,0.001088,0.000416,1.320916
0.429211,0.017377,0.105415,0.554243,0.102567,0.765681,0.005728,0.049475,0.000608,0.013857,0.000416,0.001568,0.001312,0.000352,1.292658
0.428283,0.017569,0.122023,0.555428,0.126248,0.807412,0.005440,0.048867,0.000800,0.013889,0.000512,0.001601,0.001152,0.000352,1.333717
0.428315,0.017601,0.102247,0.564292,0.088325,0.758064,0.005409,0.048867,0.000832,0.014017,0.000448,0.001472,0.001248,0.000384,1.283697
0.429051,0.017761,0.094182,0.548099,0.078373,0.724142,0.005441,0.048771,0.000864,0.013857,0.000448,0.001536,0.001152,0.000352,1.250672
0.428572,0.017441,0.104071,0.575236,0.086982,0.769841,0.005408,0.049860,0.000832,0.013568,0.000448,0.001536,0.001152,0.000384,1.295891
0.430556,0.018721,0.138057,0.560580,0.095622,0.798675,0.005729,0.049251,0.001024,0.013665,0.000608,0.001600,0.002496,0.000576,1.334645
0.429243,0.017697,0.109735,0.554083,0.100550,0.768305,0.005920,0.048195,0.000800,0.014689,0.000416,0.001760,0.001184,0.000384,1.296498
0.429179,0.017761,0.106087,0.549667,0.100262,0.759984,0.009537,0.048451,0.000832,0.013697,0.000448,0.001600,0.001216,0.000384,1.290994
0.428283,0.017857,0.099846,0.575684,0.076741,0.755664,0.005472,0.048035,0.000832,0.013569,0.000448,0.001504,0.001120,0.000352,1.280337
0.429755,0.017697,0.108359,0.575493,0.092646,0.780722,0.005472,0.048067,0.000832,0.014016,0.000385,0.001600,0.001472,0.000608,1.308691
0.428859,0.017762,0.101606,0.552035,0.098567,0.756592,0.005856,0.048291,0.000832,0.014369,0.000384,0.001632,0.001089,0.000608,1.284690
0.429339,0.017761,0.103462,0.551779,0.100166,0.759216,0.005632,0.048451,0.000768,0.013824,0.000385,0.001632,0.001344,0.000672,1.286098
0.450940,0.017442,0.104582,0.550275,0.102215,0.760592,0.005536,0.049315,0.000609,0.013792,0.000448,0.001568,0.001120,0.000640,1.309587
0.429755,0.017473,0.106182,0.551363,0.089445,0.750511,0.005537,0.047747,0.000832,0.013889,0.000448,0.001664,0.001056,0.000608,1.277137
0.428411,0.017634,0.102630,0.552291,0.131017,0.789074,0.005504,0.048547,0.000800,0.013601,0.000448,0.001760,0.001377,0.000416,1.314708
0.427995,0.017665,0.102598,0.551363,0.099303,0.756720,0.006560,0.048355,0.000801,0.013760,0.000384,0.001473,0.001184,0.000384,1.282674
0.428188,0.017569,0.103559,0.551363,0.125768,0.783986,0.005504,0.048355,0.000640,0.013505,0.000448,0.001536,0.001216,0.000416,1.308884
0.427804,0.037602,0.106887,0.552323,0.106503,0.769553,0.005888,0.049476,0.000832,0.013473,0.000416,0.001472,0.001088,0.000384,1.315348
0.427835,0.018401,0.096486,0.545411,0.090278,0.735727,0.005760,0.049155,0.000576,0.013472,0.000416,0.001505,0.001056,0.000384,1.261488
0.428315,0.017409,0.106535,0.553059,0.099142,0.762416,0.005665,0.049315,0.000576,0.013537,0.000416,0.001600,0.001120,0.000416,1.288658
0.428379,0.018113,0.103367,0.551139,0.087622,0.745488,0.005536,0.049699,0.000801,0.013568,0.000448,0.001505,0.001120,0.000352,1.272689
0.428380,0.017441,0.103143,0.551139,0.130216,0.787890,0.005376,0.049156,0.000576,0.013633,0.000416,0.001472,0.001088,0.000384,1.313300
0.429435,0.017441,0.106278,0.564324,0.087462,0.761713,0.005600,0.048707,0.000640,0.013632,0.000384,0.001569,0.001344,0.000416,1.288114
0.428443,0.017633,0.104647,0.544418,0.081414,0.734639,0.005600,0.048259,0.000832,0.013889,0.000448,0.001600,0.001153,0.000384,1.260496
