Layer[0],IN[1],INFER[1-3],OUT[3],TEE[1-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.429596,0.116071,0.585702,0.123528,0.829526,0.049635,0.000672,0.014401,0.000416,0.001441,0.001184,0.000416,1.334231
0.429021,0.115943,0.585799,0.094982,0.800628,0.049699,0.000672,0.014177,0.000416,0.001568,0.001184,0.000416,1.304310
0.449437,0.114535,0.585159,0.122600,0.827158,0.050659,0.000608,0.014561,0.000416,0.001536,0.001152,0.000417,1.353657
0.430812,0.147945,0.587975,0.086181,0.826423,0.049539,0.000608,0.014017,0.000416,0.001568,0.001184,0.000384,1.331223
0.429468,0.113319,0.608584,0.089190,0.815573,0.049827,0.000864,0.014369,0.000480,0.001600,0.001056,0.000448,1.320599
0.430557,0.110727,0.589031,0.086533,0.790355,0.050212,0.000608,0.014849,0.000448,0.001568,0.001056,0.000448,1.296757
0.431324,0.146858,0.596615,0.092806,0.840727,0.050116,0.000864,0.014689,0.000576,0.001568,0.001088,0.000640,1.348728
0.472607,0.152394,0.620712,0.095367,0.872537,0.050531,0.000832,0.014753,0.000448,0.001728,0.001120,0.000609,1.422045
0.430556,0.120200,0.592007,0.093318,0.810165,0.049763,0.000608,0.014017,0.000416,0.001760,0.001472,0.000384,1.316086
0.431549,0.117192,0.610151,0.089093,0.821237,0.049667,0.000832,0.013697,0.000416,0.001568,0.001184,0.000416,1.327511
0.430076,0.112680,0.588230,0.123528,0.828918,0.049316,0.000512,0.014145,0.000384,0.001664,0.001600,0.000640,1.333911
0.428348,0.109703,0.595879,0.092038,0.801620,0.051524,0.000640,0.013921,0.000416,0.001536,0.001632,0.000416,1.306421
0.442749,0.119112,0.582822,0.127496,0.833750,0.049796,0.000608,0.013857,0.000352,0.001600,0.001056,0.000384,1.350840
0.429020,0.109351,0.585510,0.123688,0.822869,0.049476,0.000672,0.014177,0.000416,0.001568,0.001408,0.000352,1.326135
0.430076,0.109447,0.603047,0.086438,0.803381,0.053251,0.000608,0.013985,0.000416,0.001536,0.001056,0.000384,1.310614
0.429084,0.102791,0.617864,0.084486,0.810837,0.047971,0.000896,0.013825,0.000416,0.001600,0.000928,0.000384,1.312854
0.429404,0.109575,0.611080,0.089574,0.814357,0.051459,0.000864,0.013537,0.000448,0.001537,0.000896,0.000384,1.320087
0.449725,0.110088,0.586502,0.085830,0.786772,0.049219,0.000608,0.013857,0.000448,0.001472,0.001664,0.000832,1.310933
0.428540,0.113511,0.612328,0.128681,0.858840,0.054947,0.000832,0.013760,0.000416,0.001441,0.001024,0.000608,1.367738
0.428572,0.099207,0.602759,0.106695,0.812981,0.055172,0.000832,0.014177,0.000416,0.001408,0.000928,0.000384,1.320790
0.429436,0.100358,0.594151,0.083782,0.782259,0.057028,0.000544,0.013729,0.000448,0.001504,0.001056,0.000256,1.292084
0.428412,0.107431,0.592710,0.086342,0.790611,0.049123,0.000577,0.013696,0.000416,0.001568,0.001056,0.000416,1.292245
0.428220,0.153322,0.637097,0.085286,0.879641,0.049059,0.000640,0.013921,0.000448,0.001409,0.001408,0.000384,1.381338
0.429116,0.110663,0.585094,0.128361,0.827894,0.052515,0.000576,0.013729,0.000416,0.001504,0.000960,0.000384,1.332983
0.429660,0.109991,0.592679,0.115528,0.822070,0.055972,0.000608,0.013441,0.000416,0.001440,0.001632,0.000352,1.331287
0.429052,0.121224,0.607144,0.112903,0.845239,0.049828,0.000672,0.014209,0.000416,0.001536,0.001056,0.000416,1.348088
0.429948,0.109895,0.599655,0.087814,0.801621,0.055811,0.000576,0.013601,0.000448,0.001472,0.001025,0.000416,1.312118
0.429084,0.101447,0.610088,0.084837,0.800948,0.050756,0.000640,0.014241,0.000512,0.001536,0.001056,0.000416,1.305173
0.430204,0.110951,0.590183,0.087622,0.792852,0.048803,0.000704,0.014049,0.000416,0.001472,0.001088,0.000384,1.296340
