Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.430397,0.017665,0.209646,0.005313,0.048739,0.000832,0.014305,0.000384,0.001568,0.001185,0.000384,0.737523
0.431006,0.017601,0.208750,0.005377,0.048419,0.000864,0.014209,0.000384,0.001600,0.001152,0.000384,0.737011
0.430334,0.017953,0.230960,0.005217,0.048035,0.000640,0.013857,0.000416,0.001408,0.001120,0.000416,0.757973
0.428862,0.017505,0.209615,0.005120,0.048163,0.000768,0.014625,0.000384,0.001632,0.001184,0.000384,0.735795
0.431966,0.017698,0.209134,0.005153,0.048963,0.000544,0.013921,0.000448,0.001504,0.001056,0.000320,0.737971
0.430270,0.017666,0.209262,0.005024,0.048932,0.000768,0.014401,0.000416,0.001504,0.001088,0.000448,0.737139
0.430558,0.017665,0.225360,0.005248,0.049636,0.000832,0.015233,0.000320,0.001760,0.001024,0.000352,0.756404
0.430782,0.017762,0.209966,0.005153,0.048227,0.000800,0.014177,0.000352,0.001632,0.001120,0.000384,0.737619
0.429502,0.017537,0.209487,0.005056,0.049411,0.000833,0.014145,0.000608,0.001536,0.001120,0.000416,0.737075
0.430078,0.017602,0.208622,0.005504,0.048835,0.000832,0.014433,0.000640,0.001664,0.001152,0.000384,0.736851
0.430782,0.017665,0.230736,0.005249,0.047811,0.000832,0.014177,0.000448,0.001664,0.001216,0.000416,0.759316
0.432254,0.017602,0.209134,0.005601,0.049859,0.000576,0.014465,0.000608,0.001472,0.001152,0.000384,0.740756
0.429790,0.017409,0.208879,0.005088,0.048484,0.000832,0.014081,0.000384,0.001504,0.001184,0.000416,0.735027
0.429470,0.018049,0.208975,0.005216,0.048644,0.000832,0.013953,0.000416,0.001472,0.001504,0.000384,0.736307
0.430334,0.017665,0.235664,0.005185,0.047811,0.000800,0.013921,0.000416,0.001728,0.001281,0.000416,0.763349
0.429534,0.017601,0.208431,0.005120,0.048516,0.001024,0.013985,0.000384,0.001504,0.001152,0.000384,0.735123
0.429598,0.017793,0.210190,0.005056,0.048515,0.000800,0.013889,0.000576,0.001536,0.001120,0.000608,0.737491
