Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],IN[5],INFER[5-9],OUT[9],TEE[5-9],Layer[10],classifier
0.428633,0.017921,0.209389,0.004928,0.049443,0.105638,0.088774,0.077828,0.275440,0.000736,0.992410
0.430009,0.017953,0.209548,0.004864,0.048419,0.103526,0.089829,0.115175,0.312179,0.000704,1.029501
0.429081,0.017921,0.209452,0.004832,0.049443,0.105927,0.084485,0.073764,0.267824,0.000800,0.985722
0.449114,0.017730,0.209548,0.004896,0.049379,0.100294,0.083941,0.086821,0.274736,0.000865,1.012636
0.428057,0.017889,0.209452,0.004800,0.049539,0.104167,0.088869,0.084741,0.281937,0.000800,0.998971
0.428441,0.017697,0.208460,0.005121,0.049507,0.104038,0.088325,0.077861,0.273456,0.000768,0.988858
0.428217,0.017633,0.209229,0.004960,0.048643,0.110727,0.089029,0.080069,0.283601,0.000672,1.019900
0.428217,0.017665,0.208780,0.004864,0.048771,0.099782,0.087525,0.085317,0.276081,0.000704,0.990907
0.428730,0.017633,0.208812,0.004993,0.049347,0.106566,0.088613,0.080645,0.279248,0.000704,0.995483
0.428794,0.017505,0.209228,0.004897,0.067364,0.106886,0.088517,0.115847,0.314930,0.000736,1.050174
0.428825,0.017729,0.208909,0.004992,0.049155,0.104454,0.095334,0.118183,0.321427,0.000672,1.037565
0.428505,0.018017,0.209485,0.004960,0.049315,0.105958,0.088742,0.120103,0.318259,0.000800,1.035325
0.428794,0.017857,0.208908,0.005057,0.048803,0.125351,0.100710,0.090822,0.320563,0.000832,1.037310
0.428601,0.017665,0.208973,0.005184,0.048771,0.096198,0.080581,0.083653,0.264112,0.000736,0.980218
0.429178,0.017633,0.208844,0.004897,0.049922,0.104454,0.082725,0.082245,0.272592,0.000704,0.989883
0.429434,0.017633,0.209420,0.005089,0.049763,0.105094,0.087557,0.076517,0.273488,0.000896,0.992603
