Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],IN[7],INFER[7-7],OUT[7],TEE[7-7],Layer[8],Layer[9],Layer[10],classifier
0.428985,0.017889,0.208685,0.004896,0.047171,0.000576,0.013601,0.104134,0.066692,0.078660,0.253134,0.002593,0.001312,0.000416,0.986906
0.427993,0.017409,0.208716,0.004928,0.047043,0.000608,0.013505,0.100838,0.065636,0.076292,0.246318,0.002464,0.001376,0.000384,0.978426
0.450843,0.017793,0.208972,0.005089,0.046914,0.000608,0.013569,0.105574,0.065380,0.071013,0.245967,0.002208,0.000992,0.000416,1.001467
0.428249,0.017793,0.208844,0.004993,0.047394,0.000608,0.013504,0.101478,0.066244,0.072100,0.243215,0.002528,0.001056,0.000384,0.976057
0.432153,0.017537,0.208781,0.004896,0.048579,0.000768,0.013505,0.102662,0.065444,0.077092,0.249006,0.002496,0.001248,0.000481,0.987034
0.427865,0.017921,0.208812,0.005184,0.047843,0.000832,0.013761,0.122343,0.060356,0.069444,0.255695,0.002368,0.001056,0.000384,0.989049
0.428377,0.017921,0.208876,0.004928,0.047555,0.000640,0.013697,0.103846,0.065572,0.071364,0.244078,0.002113,0.001088,0.000416,0.976825
0.430489,0.018049,0.213036,0.005120,0.049155,0.001056,0.014305,0.154761,0.065220,0.100646,0.325459,0.002752,0.002976,0.000608,1.076031
0.433689,0.018433,0.212204,0.005088,0.051523,0.001088,0.014464,0.192363,0.068036,0.082757,0.348309,0.003072,0.003168,0.000672,1.102432
0.432505,0.017953,0.209804,0.005088,0.047971,0.000832,0.014113,0.105574,0.060676,0.074372,0.244494,0.003169,0.001984,0.000416,0.987162
0.430809,0.017697,0.209356,0.005344,0.047779,0.000832,0.014113,0.104422,0.066052,0.083749,0.257647,0.002592,0.001376,0.000416,0.996250
0.429561,0.017889,0.210060,0.005312,0.048195,0.000864,0.014145,0.102150,0.066148,0.096806,0.268976,0.002816,0.001184,0.000416,1.006523
0.429337,0.017953,0.209196,0.005281,0.048451,0.000832,0.014625,0.105702,0.065956,0.074404,0.249646,0.002944,0.001440,0.000673,0.988730
