Layer[0],IN[1],INFER[1-5],OUT[5],TEE[1-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.427740,0.112487,0.639018,0.117991,0.873240,0.014816,0.000449,0.001536,0.001248,0.000480,1.325174
0.428379,0.137897,0.638313,0.085670,0.865752,0.015745,0.000512,0.001568,0.001216,0.000416,1.318901
0.450494,0.143273,0.638282,0.083013,0.868920,0.016065,0.000576,0.001536,0.001056,0.000384,1.346328
0.428476,0.141545,0.649354,0.099239,0.894010,0.015681,0.000448,0.001504,0.001280,0.000448,1.346999
0.427900,0.111687,0.664651,0.095014,0.875512,0.020417,0.000512,0.001504,0.001024,0.000384,1.332918
0.427996,0.108583,0.636426,0.117447,0.866488,0.023170,0.000576,0.001504,0.001376,0.000448,1.327222
0.432444,0.107367,0.639145,0.083141,0.833975,0.020353,0.000448,0.001440,0.001152,0.000416,1.296404
0.428540,0.122728,0.637193,0.088422,0.852663,0.016673,0.000512,0.001536,0.001376,0.000448,1.307349
0.428092,0.111559,0.638538,0.074277,0.828566,0.015521,0.000480,0.001440,0.001056,0.000480,1.282259
0.427676,0.108071,0.637258,0.079333,0.828630,0.014753,0.000480,0.001440,0.001088,0.000512,1.279859
0.427900,0.109703,0.640650,0.080677,0.835190,0.017921,0.000480,0.001505,0.001120,0.000384,1.290164
0.428124,0.109095,0.637226,0.077221,0.827638,0.015585,0.000480,0.001440,0.001184,0.000448,1.280339
0.428092,0.111751,0.658571,0.074725,0.849751,0.014465,0.000512,0.001408,0.001024,0.000480,1.302773
