Layer[0],IN[1],INFER[1-4],OUT[4],TEE[1-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.431388,0.112167,0.638442,0.100711,0.855736,0.001376,0.016161,0.000384,0.001632,0.001088,0.000416,1.314485
0.431068,0.113063,0.665836,0.122696,0.905851,0.000992,0.015041,0.000672,0.001664,0.001280,0.000416,1.364281
0.450173,0.112968,0.633673,0.118664,0.869849,0.001248,0.021505,0.000416,0.001441,0.001024,0.000416,1.352664
0.428796,0.109703,0.672620,0.088230,0.874457,0.001408,0.014497,0.000448,0.001568,0.001376,0.000416,1.328470
0.429276,0.112103,0.691885,0.083910,0.892154,0.001152,0.017889,0.000352,0.001536,0.001121,0.000416,1.351224
0.428411,0.141481,0.641482,0.093382,0.880537,0.001440,0.015361,0.000384,0.001536,0.001024,0.000384,1.334967
0.429116,0.105031,0.634537,0.089126,0.832982,0.000896,0.015937,0.000832,0.001537,0.001056,0.000384,1.288724
0.446877,0.108871,0.637514,0.132456,0.882490,0.000896,0.015073,0.000320,0.001568,0.001184,0.000416,1.354680
0.428700,0.113192,0.639625,0.134728,0.891898,0.001249,0.016129,0.000576,0.001536,0.001184,0.000384,1.349208
0.428764,0.143754,0.667115,0.087174,0.903899,0.001664,0.016930,0.000672,0.001600,0.001088,0.000416,1.361337
0.428476,0.146121,0.647435,0.083589,0.881561,0.000992,0.015297,0.000352,0.001504,0.001121,0.000384,1.335991
0.428316,0.106278,0.633065,0.081029,0.824565,0.000768,0.015169,0.000352,0.001504,0.001120,0.000416,1.278324
0.446557,0.106311,0.638410,0.076965,0.825430,0.000832,0.015265,0.000384,0.001473,0.001056,0.000416,1.297717
0.428540,0.108359,0.637513,0.117896,0.867992,0.001344,0.015105,0.000384,0.001537,0.001088,0.000384,1.322198
0.428412,0.113160,0.632137,0.120936,0.870617,0.000800,0.015073,0.000608,0.001504,0.001056,0.000608,1.325911
0.428827,0.108327,0.664779,0.099335,0.876377,0.000960,0.015873,0.000352,0.001440,0.001024,0.000608,1.331222
0.428668,0.108519,0.636202,0.122952,0.871577,0.000800,0.015905,0.000352,0.001504,0.001056,0.000352,1.326454
0.428507,0.128072,0.656395,0.084997,0.873368,0.000897,0.015553,0.000576,0.001600,0.001120,0.000416,1.327830
0.428220,0.111719,0.637226,0.120360,0.873625,0.000800,0.015841,0.000352,0.001472,0.001280,0.000384,1.329142
0.429116,0.139401,0.638314,0.091846,0.873849,0.000992,0.033602,0.000736,0.001472,0.001120,0.000608,1.348055
0.428988,0.110695,0.631721,0.095590,0.842071,0.000864,0.014433,0.000384,0.001536,0.001248,0.000416,1.296244
0.429500,0.108711,0.651370,0.092262,0.857847,0.001025,0.015105,0.000416,0.001504,0.000992,0.000384,1.313334
0.428539,0.109287,0.656171,0.083493,0.853111,0.000800,0.016961,0.000448,0.001505,0.001184,0.000416,1.309462
0.428732,0.143881,0.648331,0.086469,0.884633,0.000896,0.014081,0.000352,0.001536,0.001024,0.000416,1.338231
0.428316,0.110663,0.633034,0.086053,0.834070,0.000800,0.014497,0.000608,0.001505,0.001088,0.000416,1.287700
0.427900,0.105319,0.631529,0.089925,0.830550,0.001153,0.014689,0.000416,0.001536,0.001152,0.000416,1.283732
0.428604,0.109543,0.635722,0.079685,0.828790,0.000800,0.022146,0.000352,0.001536,0.001120,0.000384,1.289908
0.428636,0.114087,0.650507,0.090342,0.859480,0.000896,0.016257,0.000352,0.001408,0.001280,0.000416,1.315189
0.428444,0.139241,0.637513,0.087493,0.868504,0.000896,0.016674,0.000352,0.001600,0.001120,0.000416,1.324182
0.429276,0.117736,0.637386,0.086757,0.846071,0.000832,0.014240,0.000416,0.001472,0.001152,0.000352,1.299381
0.447741,0.110599,0.645866,0.085254,0.845431,0.001120,0.017889,0.000640,0.001504,0.001216,0.000384,1.322710
0.430236,0.110087,0.635850,0.092870,0.842647,0.000768,0.014977,0.000384,0.001568,0.001152,0.000416,1.297556
