Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],IN[8],INFER[8-10],OUT[10],TEE[8-10],classifier
0.428473,0.017377,0.208812,0.004864,0.047427,0.000576,0.013377,0.000416,0.108966,0.069188,0.055332,0.236686,0.963928
0.428953,0.017505,0.209804,0.005376,0.047235,0.000608,0.013313,0.000416,0.093990,0.070244,0.057859,0.225165,0.954455
0.428601,0.017377,0.208076,0.004833,0.047394,0.000576,0.013345,0.000416,0.096614,0.070564,0.056739,0.227053,0.953816
0.451482,0.017825,0.209804,0.004865,0.047971,0.000608,0.013504,0.000416,0.110823,0.069252,0.055139,0.239054,0.994361
0.428537,0.017633,0.208524,0.004896,0.047587,0.000640,0.013441,0.000384,0.101094,0.078341,0.057091,0.239854,0.968312
0.430073,0.017441,0.208812,0.004897,0.047010,0.000608,0.013440,0.000416,0.103974,0.066083,0.055300,0.229070,0.958808
0.429689,0.017377,0.208652,0.005088,0.048739,0.000736,0.014241,0.000480,0.132231,0.067844,0.057028,0.260815,0.992730
0.432121,0.018305,0.210188,0.005185,0.049250,0.001121,0.014240,0.000576,0.171498,0.083044,0.060740,0.319603,1.062621
0.430009,0.017889,0.209932,0.005121,0.048547,0.000864,0.014272,0.000417,0.113542,0.071428,0.058468,0.246798,0.981049
0.429785,0.017761,0.208780,0.005408,0.048931,0.000896,0.013889,0.000608,0.128935,0.078213,0.061987,0.272751,1.006234
0.428920,0.017857,0.208716,0.005376,0.048291,0.000832,0.013793,0.000416,0.097509,0.066819,0.055492,0.223373,0.954999
0.428729,0.017729,0.208269,0.005376,0.048099,0.000896,0.013857,0.000416,0.112070,0.075461,0.058083,0.248654,0.978809
0.429241,0.017569,0.209036,0.005344,0.048163,0.000832,0.013985,0.000608,0.104678,0.073284,0.057764,0.238766,0.970264
0.431705,0.017633,0.210732,0.005120,0.048451,0.000832,0.013697,0.000416,0.111079,0.074468,0.057635,0.247150,0.984761
0.428696,0.017761,0.208876,0.005056,0.048131,0.000864,0.013953,0.000576,0.105446,0.064196,0.054563,0.228141,0.958743
0.428440,0.017537,0.209548,0.005184,0.048291,0.001024,0.013857,0.000608,0.103366,0.073540,0.057123,0.237230,0.968568
0.450010,0.017633,0.210028,0.005088,0.048003,0.000800,0.014017,0.000640,0.110663,0.071588,0.056803,0.242510,0.996761
0.429528,0.017729,0.208972,0.005184,0.048739,0.000864,0.013953,0.000640,0.103558,0.070820,0.056739,0.234285,0.967064
0.428184,0.017633,0.209420,0.004960,0.048259,0.001088,0.014049,0.000416,0.105318,0.072740,0.057348,0.238958,0.969464
0.429945,0.017857,0.227214,0.005312,0.047907,0.000832,0.014049,0.000384,0.107814,0.066500,0.055203,0.233005,0.985081
0.428857,0.017729,0.208844,0.004865,0.048067,0.000864,0.013856,0.000384,0.107142,0.071172,0.056547,0.238413,0.969144
0.429336,0.017473,0.209612,0.005280,0.048675,0.000864,0.013697,0.000384,0.106918,0.071844,0.056740,0.238766,0.970456
0.428345,0.017569,0.209676,0.005281,0.048099,0.000832,0.013568,0.000417,0.132135,0.075397,0.056419,0.267311,0.998490
0.429017,0.018209,0.209004,0.004896,0.047682,0.000864,0.013985,0.000384,0.107686,0.071044,0.057891,0.239982,0.971736
0.428217,0.017473,0.208780,0.004865,0.049122,0.000896,0.014144,0.000384,0.097990,0.071876,0.058884,0.232366,0.962488
0.428504,0.017633,0.209164,0.005376,0.048099,0.000832,0.013537,0.000384,0.096773,0.070629,0.056963,0.227597,0.957527
0.428377,0.017633,0.208396,0.005312,0.049667,0.000832,0.013665,0.000448,0.107110,0.069284,0.057476,0.237326,0.968888
0.429625,0.017601,0.208844,0.005089,0.048546,0.000833,0.013760,0.000384,0.103494,0.071909,0.057123,0.235790,0.966808
0.430809,0.017505,0.208716,0.005089,0.048163,0.000832,0.013504,0.000416,0.102053,0.070853,0.057635,0.233582,0.965240
0.449050,0.017825,0.208845,0.005248,0.048099,0.000864,0.013441,0.000416,0.105030,0.070372,0.057251,0.236013,0.987001
0.428377,0.017537,0.210060,0.005504,0.048003,0.000864,0.013665,0.000384,0.102246,0.069956,0.057636,0.233070,0.963672
0.428601,0.017857,0.208588,0.005217,0.049411,0.000832,0.013440,0.000449,0.104038,0.071428,0.057059,0.235693,0.966808
0.428985,0.018305,0.222285,0.005280,0.047811,0.000800,0.014017,0.000416,0.107398,0.071268,0.057124,0.239214,0.984569
0.428312,0.017633,0.208844,0.005504,0.047555,0.000864,0.013633,0.000448,0.096293,0.066372,0.057508,0.224493,0.953975
0.428409,0.017601,0.208620,0.005281,0.049603,0.000864,0.014368,0.000416,0.102469,0.070596,0.057699,0.234030,0.965432
0.428217,0.017569,0.208492,0.005216,0.048515,0.000832,0.013857,0.000416,0.100934,0.069700,0.057380,0.231374,0.960568
0.428505,0.017793,0.209996,0.005312,0.047970,0.000832,0.013761,0.000448,0.105926,0.069284,0.056707,0.234990,0.966776
0.428185,0.017601,0.209388,0.005057,0.048643,0.000864,0.013696,0.000673,0.100485,0.069604,0.057028,0.230189,0.960856
