Layer[0],Layer[1],Layer[2],IN[3],INFER[3-4],OUT[4],TEE[3-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.430138,0.017729,0.210221,0.106566,0.136745,0.095430,0.343957,0.000864,0.015297,0.000480,0.001504,0.001152,0.000416,1.030207
0.429147,0.018017,0.209517,0.101863,0.128680,0.081029,0.315636,0.000800,0.014241,0.000480,0.001504,0.001248,0.000384,0.998462
0.448412,0.018049,0.209005,0.100262,0.125256,0.117191,0.346997,0.000864,0.014049,0.000416,0.001536,0.001152,0.000416,1.047841
0.428123,0.018241,0.208845,0.098822,0.126568,0.091942,0.321140,0.000960,0.014049,0.000448,0.001600,0.001184,0.000352,1.001758
0.428315,0.017953,0.208525,0.102182,0.131944,0.077221,0.315699,0.000864,0.014881,0.000416,0.001536,0.001120,0.000384,0.996766
0.447579,0.017921,0.208077,0.098470,0.127944,0.080997,0.311443,0.000864,0.015201,0.000448,0.001536,0.001152,0.000352,1.011678
0.428154,0.017825,0.208269,0.103527,0.135848,0.106503,0.350166,0.000704,0.015489,0.000480,0.001536,0.001248,0.000416,1.032191
0.428859,0.018497,0.208237,0.106407,0.129608,0.076869,0.317236,0.000928,0.015713,0.000448,0.001568,0.001056,0.000384,0.999710
0.429114,0.017473,0.227406,0.103078,0.131240,0.095206,0.333460,0.000800,0.014048,0.000416,0.001537,0.001088,0.000384,1.033728
0.428251,0.017441,0.209037,0.103270,0.128136,0.097062,0.332628,0.000768,0.014113,0.000512,0.001697,0.001088,0.000352,1.012799
0.429243,0.017633,0.209357,0.109895,0.130472,0.075653,0.320980,0.000864,0.015457,0.000480,0.001536,0.001088,0.000416,1.004830
0.429306,0.017473,0.208973,0.103623,0.145801,0.083845,0.338069,0.000736,0.015105,0.000416,0.001632,0.001025,0.000448,1.020511
0.429338,0.017377,0.208685,0.098598,0.129928,0.079461,0.312116,0.000736,0.015713,0.000416,0.001696,0.000992,0.000416,0.994589
0.428954,0.017857,0.208300,0.103271,0.125576,0.118759,0.351798,0.000800,0.016161,0.000416,0.001600,0.001056,0.000417,1.033952
0.430042,0.017505,0.208140,0.101606,0.123239,0.078052,0.306899,0.000769,0.031425,0.000544,0.001600,0.000992,0.000384,1.005502
0.428058,0.017377,0.208269,0.101575,0.121767,0.085670,0.313300,0.000832,0.014273,0.000384,0.001632,0.001088,0.000416,0.993149
