Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-6],OUT[6],TEE[4-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.429370,0.017761,0.209101,0.005024,0.108679,0.135592,0.106790,0.354774,0.000768,0.002528,0.001280,0.000416,1.027902
0.450651,0.017505,0.209133,0.005024,0.105319,0.139304,0.106343,0.354934,0.000800,0.002560,0.001280,0.000640,1.049823
0.428570,0.017633,0.209517,0.005184,0.104935,0.150857,0.090373,0.350261,0.000833,0.003040,0.001376,0.000416,1.023902
0.429786,0.017569,0.209100,0.005089,0.105766,0.133992,0.090374,0.335284,0.000928,0.002624,0.001376,0.000672,1.011549
0.450428,0.017665,0.209228,0.005057,0.113607,0.143432,0.087430,0.348245,0.000768,0.002624,0.001344,0.000640,1.043423
0.429594,0.017601,0.209261,0.005216,0.108199,0.152105,0.094054,0.357974,0.000768,0.002496,0.001312,0.000416,1.031582
0.428666,0.017537,0.208492,0.005025,0.099910,0.132488,0.132456,0.368566,0.000800,0.003200,0.001376,0.000640,1.041023
0.453564,0.017569,0.209548,0.005057,0.108262,0.136809,0.089029,0.337812,0.000800,0.002592,0.001281,0.000416,1.035935
0.429210,0.017825,0.208013,0.005024,0.104166,0.137513,0.088869,0.334356,0.000800,0.005057,0.001056,0.000704,1.008669
0.430138,0.017505,0.208588,0.005281,0.106438,0.136360,0.083525,0.330772,0.000800,0.003968,0.001216,0.000608,1.006268
0.429082,0.017665,0.231342,0.005153,0.109862,0.152553,0.079300,0.347125,0.000960,0.005696,0.001344,0.000608,1.048031
0.428890,0.017729,0.207949,0.005152,0.106855,0.139048,0.126312,0.375959,0.000736,0.005728,0.001216,0.000640,1.050367
0.429818,0.017601,0.208429,0.005216,0.105478,0.138473,0.086629,0.336212,0.001120,0.003329,0.001152,0.000672,1.012029
0.429881,0.017761,0.208556,0.005121,0.120455,0.138792,0.082276,0.347093,0.000960,0.003456,0.001088,0.000416,1.021245
0.428570,0.017665,0.208013,0.005088,0.102918,0.135080,0.081765,0.323572,0.000896,0.003520,0.001088,0.000608,0.995484
0.428986,0.017601,0.208621,0.005120,0.104711,0.137416,0.133640,0.379607,0.000736,0.005665,0.001152,0.000640,1.055648
0.428538,0.017537,0.208908,0.004897,0.095494,0.149321,0.108518,0.376726,0.000800,0.002272,0.000960,0.000672,1.048287
0.428026,0.017601,0.209069,0.005024,0.098054,0.137033,0.125223,0.364086,0.000704,0.003553,0.001152,0.000384,1.036255
0.428569,0.017537,0.207916,0.005025,0.099846,0.136040,0.084197,0.323475,0.000896,0.005600,0.001248,0.000672,0.997468
0.428730,0.017569,0.209388,0.005153,0.106406,0.144777,0.083461,0.340020,0.000928,0.002209,0.000960,0.000384,1.012925
0.428506,0.017857,0.208109,0.005376,0.106183,0.140392,0.086054,0.338197,0.001056,0.004064,0.000992,0.000768,1.012029
0.428313,0.017601,0.210412,0.005025,0.106278,0.137704,0.080804,0.328851,0.000833,0.003200,0.001344,0.000512,1.003581
0.429114,0.017570,0.208108,0.005088,0.102695,0.137032,0.127240,0.370679,0.000992,0.002880,0.001152,0.000416,1.042975
0.429114,0.017569,0.209036,0.005057,0.103750,0.139336,0.088485,0.335060,0.000736,0.003040,0.001184,0.000608,1.007964
0.428697,0.017633,0.208524,0.005185,0.103366,0.134728,0.087141,0.328851,0.000801,0.002912,0.001312,0.000512,1.001212
0.428698,0.017601,0.208333,0.005056,0.103590,0.134537,0.086373,0.329044,0.000992,0.003008,0.000992,0.000384,1.001405
0.449531,0.017505,0.208428,0.005249,0.096901,0.148521,0.101446,0.352213,0.000896,0.002816,0.000992,0.000384,1.045663
