Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],IN[7],INFER[7-10],OUT[10],TEE[7-10],classifier
0.428889,0.017633,0.209516,0.004865,0.048034,0.000640,0.014081,0.108391,0.095013,0.059172,0.266544,0.997434
0.428985,0.017409,0.209004,0.005088,0.049475,0.000576,0.013569,0.107655,0.073700,0.060515,0.245903,0.977145
0.428729,0.017377,0.208748,0.005089,0.049283,0.000576,0.013600,0.097030,0.070340,0.072708,0.243407,0.972761
0.429145,0.017505,0.208844,0.005056,0.050147,0.000640,0.013569,0.104134,0.070884,0.059748,0.237902,0.969464
0.429145,0.017441,0.208588,0.005056,0.048739,0.000640,0.013857,0.107590,0.071909,0.057091,0.239630,0.969272
0.429081,0.017473,0.208524,0.005024,0.049283,0.000576,0.013537,0.107655,0.073540,0.060995,0.245871,0.976825
0.428505,0.017345,0.208780,0.005024,0.049923,0.000608,0.013921,0.106567,0.072772,0.057347,0.239790,0.970744
0.446266,0.017857,0.208492,0.005185,0.049699,0.000608,0.013696,0.111526,0.067492,0.055843,0.238029,0.986425
0.428921,0.017601,0.209036,0.005057,0.049058,0.000641,0.013504,0.107239,0.071620,0.061635,0.243983,0.974809
0.429241,0.017505,0.208620,0.004832,0.048931,0.000640,0.013793,0.105126,0.072580,0.061764,0.242862,0.972665
0.428601,0.017345,0.228622,0.005280,0.048995,0.000544,0.013857,0.104902,0.079909,0.058211,0.246350,0.997466
0.428569,0.017505,0.208940,0.004865,0.048451,0.000640,0.013728,0.104294,0.072548,0.057187,0.237517,0.966776
0.430393,0.017633,0.209516,0.004929,0.050659,0.000640,0.014241,0.102726,0.065763,0.055587,0.228013,0.963224
0.430713,0.017473,0.208780,0.005152,0.048067,0.000640,0.013793,0.107174,0.066180,0.083429,0.260527,0.993178
0.431833,0.017409,0.209132,0.005248,0.049475,0.000608,0.014049,0.106086,0.079236,0.062947,0.252014,0.986553
0.431801,0.017537,0.208716,0.005024,0.051459,0.000576,0.014017,0.102758,0.067172,0.058244,0.232174,0.969881
0.431226,0.017409,0.208492,0.005152,0.048995,0.000672,0.014081,0.102886,0.071972,0.060484,0.238606,0.971577
0.448123,0.017409,0.208716,0.005088,0.049635,0.000576,0.014081,0.106118,0.071428,0.060004,0.240782,0.990938
0.428153,0.017345,0.209260,0.005120,0.050563,0.000640,0.013601,0.103398,0.066692,0.058404,0.231854,0.963160
0.429721,0.017410,0.208428,0.005248,0.050307,0.000608,0.014049,0.106662,0.072484,0.062692,0.245006,0.977113
0.446458,0.017505,0.208364,0.004929,0.051011,0.000608,0.013696,0.103334,0.069700,0.055395,0.231917,0.981273
0.428856,0.017665,0.209900,0.005120,0.048611,0.000640,0.013537,0.103270,0.072068,0.060836,0.239342,0.970456
0.428281,0.017569,0.209900,0.005057,0.048386,0.000608,0.013569,0.104902,0.080229,0.057315,0.246095,0.975865
0.428025,0.017409,0.209036,0.005216,0.048035,0.000576,0.013633,0.125479,0.078213,0.057603,0.265071,0.994137
