Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],IN[6],INFER[6-8],OUT[8],TEE[6-8],Layer[9],Layer[10],classifier
0.428249,0.017409,0.208652,0.004928,0.047043,0.000544,0.124584,0.085765,0.084709,0.298354,0.001440,0.000480,1.013884
0.428378,0.017281,0.209676,0.004928,0.047043,0.000544,0.102214,0.082341,0.079685,0.268016,0.001248,0.000416,0.983770
0.428313,0.017345,0.208812,0.004865,0.047170,0.000992,0.098277,0.092134,0.075108,0.268687,0.001280,0.000385,0.984250
0.446618,0.017345,0.209453,0.004928,0.047011,0.000608,0.102438,0.079269,0.083237,0.268880,0.001408,0.000480,1.003899
0.429049,0.017441,0.209229,0.004896,0.046979,0.000960,0.103654,0.084325,0.085925,0.277648,0.001472,0.000416,0.994650
0.428377,0.017345,0.208685,0.004928,0.046819,0.000576,0.127399,0.097318,0.077861,0.305810,0.001600,0.000448,1.020956
0.428441,0.035746,0.208941,0.004896,0.046947,0.000544,0.110086,0.084197,0.079365,0.277136,0.001504,0.000480,1.011675
0.428442,0.017281,0.208972,0.004896,0.046947,0.000608,0.101862,0.084133,0.081189,0.270384,0.001440,0.000384,0.985754
0.428570,0.017313,0.210156,0.005024,0.046883,0.000608,0.100806,0.081925,0.100582,0.286577,0.001440,0.000384,1.003323
0.428665,0.017345,0.208301,0.004864,0.047043,0.000576,0.144168,0.084869,0.086918,0.319731,0.001632,0.000384,1.034973
0.428666,0.017473,0.208684,0.004864,0.047075,0.000608,0.101094,0.081541,0.090597,0.277040,0.001664,0.000512,0.993531
0.427865,0.017313,0.208877,0.004928,0.047011,0.000576,0.092837,0.088870,0.077380,0.262255,0.001600,0.000416,0.977562
0.429465,0.017409,0.209101,0.004992,0.047075,0.000576,0.127239,0.095910,0.100998,0.327699,0.001600,0.000448,1.044829
0.428793,0.017473,0.209100,0.004865,0.047170,0.000576,0.104967,0.084133,0.116327,0.308659,0.001440,0.000480,1.025500
0.428537,0.017377,0.208684,0.005025,0.046946,0.000576,0.124456,0.085445,0.090661,0.303858,0.001568,0.000448,1.019643
0.428217,0.017345,0.208652,0.005025,0.047234,0.000576,0.102695,0.090597,0.081253,0.277905,0.001472,0.000448,0.993434
0.429049,0.017537,0.208876,0.004768,0.047683,0.000576,0.106246,0.082789,0.090246,0.283153,0.001472,0.000512,1.000603
0.429337,0.017345,0.208749,0.004800,0.047043,0.000576,0.109382,0.083269,0.080421,0.276464,0.001504,0.000512,0.992826
0.428474,0.017345,0.209260,0.004896,0.046947,0.000576,0.102822,0.083461,0.086309,0.275824,0.001600,0.000512,0.991867
0.446362,0.017378,0.209132,0.004832,0.047043,0.000576,0.100614,0.079173,0.082148,0.265296,0.001536,0.000512,0.999099
0.428410,0.017281,0.208492,0.004832,0.046979,0.000544,0.102630,0.083749,0.086725,0.276624,0.001409,0.000512,0.992187
0.429401,0.017537,0.208620,0.004800,0.046883,0.000544,0.107334,0.091942,0.082181,0.285041,0.001600,0.000480,1.001467
0.428857,0.017377,0.223693,0.004897,0.047139,0.000576,0.101542,0.084069,0.080068,0.268751,0.001473,0.000480,1.000283
0.431290,0.017601,0.213805,0.004928,0.047395,0.000576,0.104422,0.083013,0.081861,0.272784,0.001440,0.000448,0.997211
0.429818,0.017345,0.209004,0.004864,0.047683,0.000576,0.125032,0.085701,0.079908,0.294001,0.001697,0.000448,1.012028
0.429369,0.017409,0.209228,0.004960,0.047363,0.000544,0.132424,0.080741,0.077348,0.294161,0.001536,0.000449,1.011580
0.429113,0.017441,0.208653,0.004896,0.047203,0.000576,0.112390,0.085029,0.087046,0.287569,0.001600,0.000448,1.003739
