Layer[0],Layer[1],IN[2],INFER[2-4],OUT[4],TEE[2-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.432988,0.017761,0.106215,0.615879,0.084869,0.810835,0.000704,0.016353,0.000416,0.001536,0.001313,0.000448,1.289106
0.428667,0.017474,0.105382,0.631112,0.082597,0.823476,0.000704,0.014273,0.000480,0.001472,0.001152,0.000352,1.293938
0.433276,0.017537,0.102694,0.606535,0.079493,0.792562,0.001056,0.016513,0.000480,0.001568,0.001088,0.000416,1.270800
0.430491,0.017505,0.103142,0.611110,0.077669,0.795346,0.000640,0.014369,0.000448,0.001504,0.001120,0.000352,1.267568
0.445692,0.017634,0.102502,0.609447,0.092134,0.807539,0.000960,0.016609,0.000832,0.001472,0.001056,0.000576,1.298482
0.432539,0.017537,0.108327,0.608743,0.084037,0.805107,0.000992,0.016193,0.000448,0.001537,0.001120,0.000416,1.282673
0.429147,0.017762,0.100070,0.609318,0.105062,0.818483,0.000992,0.014881,0.000640,0.001505,0.001408,0.000608,1.321492
0.434492,0.017601,0.102790,0.611399,0.089414,0.807539,0.001152,0.016289,0.000448,0.001472,0.000992,0.000384,1.286993
0.429243,0.017569,0.103559,0.611558,0.086022,0.805107,0.001184,0.016225,0.000448,0.001504,0.001056,0.000384,1.278800
0.432987,0.017538,0.102694,0.629320,0.086245,0.822292,0.000864,0.015105,0.000448,0.001504,0.001376,0.000384,1.298546
0.433628,0.017601,0.101414,0.612167,0.086309,0.803507,0.001184,0.015361,0.000416,0.001440,0.000992,0.000384,1.280913
0.432444,0.017633,0.097894,0.607590,0.094566,0.803667,0.000960,0.014689,0.000416,0.001792,0.001344,0.000480,1.279345
0.450173,0.017761,0.104519,0.610214,0.085286,0.803891,0.000768,0.014849,0.000608,0.001536,0.001280,0.000416,1.297778
0.432923,0.017601,0.099431,0.614791,0.087717,0.805971,0.000704,0.014753,0.000416,0.001536,0.001281,0.000608,1.281809
0.432604,0.017601,0.103782,0.632103,0.079205,0.819988,0.000800,0.016193,0.000416,0.001536,0.001600,0.000384,1.297842
0.428187,0.017537,0.104486,0.619015,0.118695,0.846485,0.000992,0.016353,0.000448,0.001504,0.001056,0.000384,1.319475
0.430075,0.017921,0.099142,0.603654,0.079845,0.786290,0.001120,0.016641,0.000416,0.001440,0.001248,0.000352,1.262095
0.450941,0.017633,0.102310,0.609063,0.118663,0.833685,0.000672,0.016705,0.000448,0.001536,0.001152,0.000576,1.329524
0.428347,0.017793,0.104679,0.602598,0.083749,0.794834,0.001121,0.016449,0.000416,0.001504,0.001024,0.000416,1.268368
0.433052,0.017761,0.101190,0.611015,0.134024,0.851702,0.001024,0.032738,0.000768,0.001632,0.001440,0.000416,1.348213
0.427739,0.017633,0.102599,0.611110,0.086246,0.803603,0.001216,0.015233,0.000832,0.001440,0.001024,0.000384,1.275440
0.427579,0.017761,0.106407,0.610919,0.084613,0.805875,0.001088,0.017570,0.000416,0.001536,0.001056,0.000416,1.279761
0.432411,0.017697,0.109895,0.629671,0.085317,0.829140,0.001024,0.015777,0.000416,0.001472,0.001152,0.000384,1.306099
0.433211,0.017793,0.102439,0.611878,0.119175,0.837365,0.000864,0.016577,0.000384,0.001440,0.001408,0.000416,1.316083
0.433051,0.017825,0.104135,0.608422,0.081285,0.799827,0.000960,0.016193,0.000416,0.001472,0.001376,0.000416,1.279472
0.450557,0.017889,0.117288,0.611174,0.086598,0.818708,0.000832,0.014785,0.000416,0.001440,0.001504,0.000352,1.313075
0.429372,0.017601,0.108295,0.610406,0.119976,0.843125,0.000704,0.015585,0.000448,0.001408,0.001600,0.000512,1.316916
0.432668,0.017633,0.103622,0.631847,0.077156,0.816659,0.000992,0.016225,0.000640,0.001696,0.001344,0.000384,1.294642
0.428059,0.017761,0.101702,0.609671,0.106983,0.822324,0.000864,0.016513,0.000416,0.001568,0.001088,0.000448,1.295313
0.428539,0.017505,0.100359,0.614023,0.076932,0.794995,0.000960,0.016897,0.000480,0.001568,0.001056,0.000416,1.268848
0.449884,0.017633,0.103943,0.608070,0.083302,0.798707,0.000704,0.015233,0.000384,0.001440,0.001568,0.000416,1.292145
0.432508,0.017601,0.105191,0.609862,0.119560,0.838645,0.000736,0.015105,0.000448,0.001536,0.001408,0.000352,1.314579
0.428891,0.017825,0.104039,0.604262,0.125384,0.838389,0.001216,0.016321,0.000448,0.001472,0.001024,0.000385,1.313011
0.433435,0.017601,0.103015,0.609862,0.116392,0.833429,0.001056,0.015713,0.000416,0.001472,0.001664,0.000416,1.311282
0.428283,0.017601,0.105158,0.609575,0.078341,0.797266,0.001184,0.016193,0.000384,0.001408,0.001056,0.000609,1.270641
0.428795,0.017761,0.106983,0.645289,0.090342,0.846998,0.001248,0.015713,0.000864,0.001504,0.001600,0.000384,1.321875
