Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],IN[6],INFER[6-6],OUT[6],TEE[6-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.428858,0.017857,0.208876,0.004897,0.046914,0.000736,0.103943,0.082788,0.076228,0.266416,0.000576,0.001920,0.001248,0.000352,0.986042
0.428410,0.017825,0.209036,0.004928,0.046851,0.000736,0.108903,0.082213,0.085893,0.280305,0.000768,0.002048,0.001344,0.000448,1.000091
0.446234,0.017793,0.208397,0.004928,0.046883,0.000736,0.099782,0.081637,0.076004,0.261071,0.000672,0.001952,0.001089,0.000448,0.998139
0.433114,0.017857,0.208460,0.005217,0.047106,0.000768,0.103463,0.085221,0.079556,0.272176,0.000833,0.002560,0.001152,0.000416,0.998619
0.429529,0.017729,0.208620,0.005377,0.046883,0.000736,0.098725,0.075492,0.087909,0.265743,0.000704,0.001793,0.001120,0.000416,0.986842
0.449915,0.017633,0.211053,0.005216,0.046883,0.000768,0.105318,0.080901,0.074116,0.264783,0.001024,0.002784,0.001184,0.000416,1.010268
0.732043,0.017665,0.361109,0.005312,0.081381,0.000544,0.187243,0.111751,0.134984,0.437210,0.000800,0.002688,0.001280,0.000448,1.647713
0.430521,0.017633,0.209709,0.005120,0.047427,0.000768,0.108518,0.084709,0.074660,0.271504,0.000704,0.001952,0.001120,0.000416,0.995002
0.431129,0.017633,0.211693,0.004896,0.047011,0.000736,0.099942,0.082309,0.080101,0.265968,0.000672,0.002176,0.001184,0.000416,0.991578
0.429562,0.017537,0.209388,0.005088,0.046819,0.000736,0.102342,0.083141,0.072517,0.261520,0.000704,0.001920,0.001184,0.000352,0.981434
0.430425,0.017633,0.208748,0.005313,0.046883,0.000768,0.105030,0.082117,0.076356,0.267215,0.000768,0.002145,0.001280,0.000352,0.988891
0.447034,0.017665,0.208812,0.004928,0.047107,0.000800,0.102598,0.076676,0.077125,0.259855,0.000768,0.002208,0.001088,0.000352,0.998202
0.428313,0.017601,0.208589,0.005248,0.047107,0.000544,0.103142,0.081253,0.078756,0.266992,0.000640,0.002400,0.001248,0.000480,0.987162
