Layer[0],Layer[1],Layer[2],IN[3],INFER[3-3],OUT[3],TEE[3-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.428410,0.017729,0.208589,0.105190,0.067172,0.076645,0.252655,0.049475,0.000864,0.013633,0.000416,0.001472,0.001184,0.000352,0.982141
0.428507,0.018337,0.209773,0.113895,0.072229,0.081989,0.271633,0.050787,0.000896,0.013729,0.000384,0.001600,0.001216,0.000449,1.005279
0.428187,0.019137,0.208909,0.127592,0.072613,0.077156,0.281201,0.049059,0.000864,0.013728,0.000416,0.001600,0.001024,0.000416,1.012127
0.428378,0.017825,0.209101,0.108743,0.069829,0.074372,0.256624,0.048451,0.000928,0.014305,0.000416,0.001536,0.001281,0.000416,0.987037
0.428602,0.018049,0.209261,0.107142,0.073093,0.077285,0.261488,0.048803,0.000832,0.014145,0.000576,0.001536,0.001152,0.000416,0.992093
0.428282,0.017857,0.209037,0.103559,0.070500,0.074341,0.252240,0.066020,0.000832,0.014625,0.000448,0.001664,0.001248,0.000384,1.000349
0.428347,0.017633,0.209229,0.110887,0.072836,0.076517,0.264112,0.049379,0.000864,0.014209,0.000384,0.001568,0.001281,0.000416,0.994430
0.429723,0.017665,0.209741,0.101543,0.080101,0.076644,0.261808,0.048259,0.000865,0.014240,0.000416,0.001632,0.001120,0.000384,0.993054
0.428762,0.018338,0.209997,0.107238,0.073829,0.078885,0.263568,0.048195,0.000832,0.014049,0.000480,0.001696,0.001184,0.000384,0.994717
0.430362,0.017665,0.208524,0.109799,0.068837,0.080357,0.262865,0.048995,0.000832,0.014529,0.000384,0.001568,0.001056,0.000384,0.994493
0.428474,0.017698,0.209229,0.103654,0.072901,0.079653,0.259664,0.048451,0.000896,0.013921,0.000384,0.001504,0.001152,0.000384,0.989437
0.428474,0.017601,0.208685,0.105798,0.073093,0.082853,0.265040,0.048803,0.000832,0.014049,0.000416,0.001504,0.001248,0.000384,0.994557
0.449500,0.017761,0.208845,0.108519,0.074725,0.073476,0.260336,0.049731,0.000832,0.013697,0.000416,0.001472,0.001217,0.000352,1.011999
0.428731,0.017601,0.209229,0.114247,0.073893,0.083845,0.275985,0.048643,0.000640,0.014241,0.000352,0.001536,0.001312,0.000416,1.008062
