Layer[0],Layer[1],Layer[2],IN[3],INFER[3-5],OUT[5],TEE[3-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.428218,0.017633,0.208301,0.101702,0.129032,0.080389,0.314803,0.015201,0.000480,0.001568,0.001153,0.000352,0.993853
0.428282,0.017665,0.208493,0.125000,0.148489,0.085061,0.362582,0.015105,0.000544,0.001569,0.001088,0.000416,1.041792
0.428539,0.017697,0.208429,0.099718,0.122119,0.076485,0.302258,0.015137,0.000480,0.001504,0.001153,0.000480,0.981853
0.429115,0.017665,0.208557,0.104038,0.134953,0.086053,0.328756,0.014881,0.000544,0.001568,0.001152,0.000416,1.008831
0.432538,0.018721,0.213517,0.138729,0.134056,0.127272,0.405337,0.016449,0.000704,0.001856,0.002144,0.000704,1.102532
0.431099,0.018369,0.210189,0.102566,0.143433,0.081701,0.331668,0.016161,0.000704,0.001504,0.001504,0.000416,1.018399
0.429274,0.017697,0.209997,0.106247,0.125256,0.078660,0.314324,0.015104,0.000672,0.001696,0.001280,0.000608,0.997309
0.428122,0.017633,0.208877,0.106119,0.129160,0.084069,0.323444,0.015681,0.000544,0.001536,0.000992,0.000385,1.003390
0.430010,0.017793,0.209069,0.105959,0.130728,0.091206,0.332437,0.015393,0.000512,0.001600,0.001472,0.000416,1.015518
0.429242,0.017858,0.209004,0.107879,0.139433,0.088965,0.340629,0.016001,0.000672,0.001601,0.001248,0.000608,1.023327
0.428698,0.017633,0.209933,0.103719,0.128296,0.079589,0.315028,0.016033,0.000512,0.001632,0.001152,0.000384,0.997181
0.429179,0.017889,0.209581,0.109863,0.142440,0.120104,0.376791,0.016193,0.000448,0.001568,0.001152,0.000384,1.059553
