IN[0],INFER[0-3],OUT[3],TEE[0-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.104743,1.544489,0.086790,1.742614,0.050276,0.000864,0.014529,0.000416,0.001824,0.001504,0.000640,1.817051
0.106247,1.567595,0.083558,1.764376,0.050147,0.000832,0.014177,0.000385,0.001632,0.001120,0.000576,1.837981
0.112296,1.546857,0.076870,1.742807,0.050307,0.001056,0.013889,0.000384,0.001536,0.001344,0.000384,1.816188
0.103911,1.589900,0.086374,1.787481,0.050052,0.000736,0.013569,0.000384,0.001600,0.001312,0.000416,1.860670
0.141706,1.544169,0.076549,1.769145,0.050243,0.000865,0.013792,0.000384,0.001792,0.001184,0.000576,1.843038
0.121000,1.584716,0.090822,1.803611,0.049955,0.000832,0.014017,0.000320,0.001472,0.001344,0.000384,1.876959
0.137161,1.570539,0.088262,1.802875,0.050147,0.000864,0.014721,0.000416,0.001793,0.001216,0.000704,1.877664
0.103015,1.579692,0.088422,1.777945,0.050916,0.000672,0.014305,0.000352,0.001440,0.001632,0.000416,1.852478
0.098855,1.543017,0.086726,1.734614,0.050275,0.000800,0.013793,0.000352,0.001504,0.001088,0.000384,1.807515
0.107463,1.567371,0.084326,1.765880,0.050691,0.000928,0.014145,0.000416,0.001568,0.001440,0.000864,1.841085
0.132746,1.546697,0.085478,1.772505,0.049796,0.000832,0.014433,0.000416,0.001504,0.001280,0.000608,1.846174
0.108391,1.547402,0.079397,1.741398,0.050532,0.000864,0.014561,0.000384,0.001824,0.001216,0.000640,1.815835
0.095527,1.540585,0.088454,1.731798,0.050883,0.000800,0.013824,0.000385,0.001792,0.001120,0.000576,1.806043
0.105127,1.540489,0.087174,1.737878,0.051428,0.000800,0.013889,0.000384,0.001536,0.001024,0.000384,1.811419
0.100135,1.543785,0.148458,1.798714,0.053252,0.000832,0.014593,0.000384,0.001792,0.001280,0.000608,1.876320
0.099623,1.542057,0.082085,1.729430,0.054787,0.000800,0.014593,0.000384,0.001856,0.001248,0.000608,1.807995
0.091526,1.559722,0.081158,1.738326,0.057156,0.000800,0.014049,0.000416,0.001568,0.001152,0.000416,1.817980
0.105480,1.546761,0.090470,1.748695,0.050883,0.000768,0.013889,0.000416,0.001408,0.001504,0.000416,1.822204
0.103175,1.560778,0.085158,1.756471,0.050340,0.000832,0.013857,0.000416,0.001472,0.001152,0.000608,1.830013
0.134761,1.539625,0.084005,1.764185,0.049955,0.000800,0.014465,0.000416,0.001504,0.001056,0.000608,1.837182
0.099367,1.563274,0.119336,1.789113,0.049699,0.000832,0.013633,0.000384,0.001472,0.001184,0.000672,1.861470
0.106439,1.544873,0.088038,1.747126,0.050627,0.000832,0.013985,0.000416,0.001792,0.001248,0.000448,1.821660
0.096775,1.556426,0.095143,1.755384,0.050403,0.000832,0.014401,0.000416,0.001856,0.001089,0.000608,1.829021
0.143242,1.546441,0.085637,1.781946,0.051203,0.000800,0.014017,0.000416,0.001504,0.001056,0.000609,1.856543
