IN[0],INFER[0-1],OUT[1],TEE[0-1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.103431,1.059241,0.085190,1.254646,0.209967,0.005728,0.048356,0.000576,0.013953,0.000352,0.001536,0.001280,0.000448,1.542890
0.106695,1.053705,0.076357,1.242261,0.227216,0.005504,0.048323,0.000544,0.014017,0.000384,0.001537,0.001248,0.000448,1.546474
0.128489,1.059913,0.077413,1.272343,0.209647,0.009568,0.048836,0.000576,0.013601,0.000416,0.001504,0.001216,0.000416,1.562827
0.107687,1.067498,0.087654,1.269207,0.210991,0.005440,0.049219,0.000576,0.013665,0.000384,0.001473,0.001312,0.000384,1.558059
0.111080,1.066665,0.089414,1.273527,0.210895,0.005824,0.048292,0.000576,0.014177,0.000544,0.001632,0.001312,0.000416,1.562027
0.133001,1.062025,0.075973,1.276984,0.210318,0.009312,0.048836,0.000544,0.014241,0.000384,0.001600,0.001312,0.000416,1.569196
0.111752,1.075338,0.078118,1.273400,0.210190,0.005505,0.048291,0.000576,0.014049,0.000384,0.001600,0.001248,0.000416,1.560395
0.132777,1.063721,0.086118,1.288696,0.210702,0.005728,0.048580,0.000576,0.013921,0.000352,0.001600,0.001184,0.000416,1.576524
0.103559,1.074506,0.083366,1.267831,0.210222,0.009217,0.048387,0.000608,0.014433,0.000352,0.001537,0.001152,0.000448,1.559467
0.129705,1.059977,0.075717,1.271448,0.211054,0.005569,0.047875,0.000576,0.013921,0.000352,0.001440,0.001184,0.000352,1.558955
0.101607,1.081866,0.075558,1.265783,0.210574,0.005409,0.049379,0.000544,0.013569,0.000416,0.001504,0.001024,0.000384,1.553354
0.098055,1.058536,0.081573,1.243637,0.210031,0.005600,0.047971,0.000608,0.013569,0.000384,0.001536,0.001024,0.000384,1.529353
0.124457,1.059497,0.074725,1.264343,0.232080,0.005344,0.047748,0.000544,0.013441,0.000384,0.001536,0.001088,0.000384,1.572300
0.108840,1.055305,0.077701,1.247414,0.210991,0.005632,0.048291,0.000608,0.013601,0.000352,0.001473,0.001120,0.000416,1.534634
0.103975,1.059592,0.075942,1.245846,0.210126,0.005537,0.048163,0.000576,0.013537,0.000384,0.001440,0.001024,0.000448,1.531817
0.112647,1.053672,0.075301,1.246997,0.209711,0.009120,0.048708,0.000608,0.013601,0.000384,0.001568,0.001088,0.000480,1.537353
0.102855,1.065897,0.078085,1.253846,0.210062,0.005569,0.048419,0.000576,0.013473,0.000352,0.001536,0.000960,0.000416,1.540362
0.116008,1.096811,0.076869,1.295289,0.209710,0.005568,0.048836,0.000576,0.013473,0.000384,0.001408,0.001120,0.000384,1.581452
0.125928,1.055144,0.079782,1.266071,0.210318,0.005537,0.047651,0.000576,0.013409,0.000352,0.001472,0.001088,0.000416,1.551466
0.102247,1.076266,0.075845,1.260278,0.210254,0.005536,0.047844,0.000576,0.013537,0.000416,0.001408,0.000992,0.000416,1.546506
0.099302,1.078282,0.077989,1.261942,0.209615,0.009632,0.049252,0.000544,0.013633,0.000384,0.001408,0.001152,0.000384,1.552682
0.105736,1.059144,0.077605,1.248086,0.228368,0.005312,0.048515,0.000576,0.013537,0.000416,0.001440,0.001024,0.000384,1.552971
