Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],IN[6],INFER[6-9],OUT[9],TEE[6-9],Layer[10],classifier
0.428377,0.017441,0.209644,0.005025,0.047106,0.000576,0.111110,0.083493,0.074052,0.271920,0.000641,0.986906
0.429849,0.017569,0.228589,0.005025,0.046882,0.000608,0.107751,0.082853,0.078980,0.272752,0.000705,1.007996
0.428153,0.017409,0.209164,0.004897,0.047458,0.000576,0.100454,0.086085,0.072933,0.262672,0.000608,0.977337
0.427705,0.018177,0.209580,0.005024,0.047010,0.000608,0.091654,0.083909,0.069412,0.248367,0.000576,0.962520
0.428154,0.017409,0.209740,0.004896,0.047235,0.000608,0.103942,0.087013,0.096326,0.291281,0.000800,1.006619
0.428025,0.017441,0.209484,0.004865,0.047042,0.000608,0.099397,0.085029,0.075685,0.263567,0.000832,0.977177
0.428570,0.017633,0.209292,0.005216,0.047235,0.000608,0.109063,0.081733,0.079268,0.273296,0.000608,0.988282
0.428025,0.017377,0.210508,0.004896,0.047330,0.000608,0.101574,0.084613,0.083525,0.272912,0.000640,0.988057
0.444506,0.017633,0.208941,0.005024,0.048707,0.000608,0.101094,0.081541,0.070788,0.256975,0.000704,0.989274
0.428505,0.017345,0.209261,0.004832,0.048675,0.000544,0.104102,0.086885,0.089349,0.283632,0.000672,0.999739
0.428217,0.017601,0.209100,0.005024,0.049667,0.000544,0.101126,0.086277,0.070724,0.261360,0.000672,0.978586
