Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],IN[5],INFER[5-5],OUT[5],TEE[5-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.428217,0.017890,0.209100,0.005184,0.048931,0.101286,0.058884,0.083077,0.246799,0.015137,0.000960,0.001504,0.001120,0.000352,0.982586
0.428346,0.017889,0.208621,0.005312,0.048099,0.093669,0.060899,0.083557,0.241358,0.015009,0.000480,0.001536,0.001088,0.000416,0.975675
0.429081,0.017729,0.209548,0.005665,0.048258,0.101479,0.064707,0.075204,0.245391,0.015425,0.000512,0.001472,0.001248,0.000416,0.982426
0.427993,0.017889,0.208781,0.005440,0.048611,0.103046,0.061540,0.086213,0.254351,0.015201,0.000736,0.001504,0.001152,0.000641,0.989851
0.428058,0.017729,0.209133,0.005248,0.048291,0.102438,0.061060,0.110054,0.276752,0.015425,0.000704,0.001473,0.001152,0.000416,1.012157
0.428698,0.017633,0.208844,0.005409,0.048643,0.114118,0.059779,0.083397,0.261711,0.017185,0.000736,0.001440,0.001121,0.000416,1.000764
0.428154,0.017889,0.209612,0.005345,0.048131,0.108422,0.069764,0.088006,0.269808,0.015329,0.000704,0.001536,0.001152,0.000384,1.005884
0.428505,0.017633,0.209293,0.005280,0.048675,0.102758,0.057956,0.119143,0.284401,0.014945,0.000704,0.001472,0.001120,0.000384,1.020893
0.443803,0.017697,0.209100,0.005185,0.048963,0.105798,0.061860,0.078052,0.249999,0.015809,0.000672,0.001472,0.001056,0.000352,1.002972
0.427673,0.017729,0.209613,0.005184,0.048995,0.130504,0.067108,0.084549,0.285457,0.015009,0.000800,0.001472,0.001184,0.000384,1.020892
0.430906,0.017697,0.209741,0.005408,0.048931,0.099014,0.067812,0.078757,0.250319,0.015521,0.000736,0.001504,0.001056,0.000640,0.990747
0.446811,0.017697,0.210093,0.005184,0.048675,0.104230,0.059331,0.072900,0.240591,0.015008,0.000513,0.001632,0.001088,0.000416,0.995644
0.428601,0.017633,0.208909,0.005376,0.048451,0.103494,0.065284,0.089702,0.262096,0.014689,0.000704,0.001504,0.001216,0.000384,0.997339
0.428569,0.018465,0.208908,0.005505,0.048226,0.108679,0.066020,0.086917,0.265104,0.015361,0.000704,0.001632,0.001120,0.000417,1.002652
0.429018,0.017729,0.231214,0.005344,0.048963,0.100390,0.061316,0.079589,0.245775,0.015073,0.000896,0.001792,0.001088,0.000416,1.005884
0.431353,0.017697,0.212588,0.005345,0.048259,0.109190,0.061668,0.082885,0.258063,0.015681,0.000736,0.001536,0.001056,0.000416,1.000955
0.430425,0.017793,0.209388,0.005121,0.049058,0.104582,0.064004,0.076068,0.248239,0.016001,0.000736,0.001536,0.001185,0.000416,0.987355
0.434842,0.017729,0.209260,0.005280,0.048643,0.103783,0.084485,0.082885,0.275121,0.014689,0.000704,0.001728,0.001120,0.000416,1.017149
0.429882,0.017633,0.209836,0.005345,0.048259,0.099046,0.061603,0.087334,0.252527,0.016065,0.000736,0.001536,0.001152,0.000352,0.991579
0.428250,0.017729,0.210285,0.005184,0.048227,0.103110,0.059620,0.075140,0.241326,0.017633,0.000736,0.001472,0.001120,0.000416,0.979867
0.428858,0.017985,0.209516,0.005281,0.048835,0.103174,0.067556,0.090725,0.264911,0.015873,0.000736,0.001568,0.001152,0.000416,1.002364
0.429146,0.017825,0.209613,0.005152,0.048483,0.103910,0.066308,0.073829,0.247727,0.015329,0.000704,0.001568,0.001184,0.000448,0.984891
