Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-9],OUT[9],TEE[4-9],Layer[10],classifier
0.428858,0.017313,0.208300,0.004800,0.094949,0.139305,0.085573,0.323923,0.000704,0.990107
0.428666,0.017409,0.208365,0.004896,0.102054,0.138761,0.083845,0.327988,0.000544,0.992892
0.448187,0.017633,0.208748,0.004801,0.124071,0.139081,0.090085,0.356437,0.000576,1.041502
0.430266,0.017377,0.209037,0.004992,0.095622,0.134376,0.072740,0.306099,0.000640,0.973627
0.428153,0.017505,0.208652,0.005088,0.095974,0.136968,0.077317,0.313651,0.000608,0.978874
0.445499,0.017505,0.208525,0.005056,0.094054,0.133160,0.080453,0.310995,0.000608,0.993436
0.428281,0.017313,0.209388,0.005441,0.111430,0.139113,0.080612,0.334260,0.000768,1.002204
0.428954,0.017377,0.208973,0.004832,0.108423,0.141128,0.082085,0.335444,0.000704,1.003388
0.428953,0.017441,0.229773,0.005089,0.107462,0.137385,0.079332,0.327699,0.000704,1.015581
0.430489,0.017505,0.209292,0.005024,0.109574,0.142633,0.086725,0.342613,0.000768,1.013277
0.428826,0.017441,0.208908,0.005345,0.102534,0.138088,0.083109,0.328275,0.000961,0.996796
0.428410,0.017281,0.208812,0.005185,0.125639,0.146569,0.077061,0.355221,0.000736,1.021245
0.428761,0.017345,0.208492,0.005120,0.102662,0.136968,0.080613,0.324403,0.000768,0.991579
0.428602,0.017473,0.208428,0.004993,0.101766,0.134728,0.080549,0.320179,0.000704,0.985755
0.429658,0.017601,0.208461,0.005120,0.105126,0.141673,0.113127,0.363702,0.000672,1.030814
0.428889,0.017409,0.208621,0.005408,0.104711,0.140520,0.080229,0.329172,0.000672,0.995835
0.430425,0.017473,0.208332,0.005088,0.094950,0.134856,0.079013,0.312403,0.000672,0.979642
