Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],IN[6],INFER[6-10],OUT[10],TEE[6-10],classifier
0.430905,0.017985,0.226989,0.005280,0.048611,0.000640,0.107078,0.088678,0.056163,0.255119,0.992122
0.430521,0.017345,0.208844,0.004896,0.047939,0.000544,0.104774,0.087493,0.057988,0.253391,0.968761
0.430170,0.017473,0.208396,0.004864,0.047235,0.001024,0.108326,0.093061,0.058499,0.262991,0.977818
0.428921,0.017633,0.208812,0.005152,0.047267,0.000768,0.133384,0.088581,0.091269,0.316594,1.031612
0.428729,0.017345,0.208941,0.005440,0.047427,0.000736,0.099238,0.086437,0.057699,0.246414,0.960216
0.428697,0.017345,0.209260,0.005344,0.047171,0.000608,0.103206,0.086501,0.058116,0.251055,0.965464
0.429593,0.017441,0.209900,0.004928,0.047075,0.000608,0.109510,0.084484,0.056963,0.254159,0.970873
0.446266,0.017633,0.210508,0.004992,0.046979,0.000672,0.096806,0.079428,0.054851,0.234734,0.967321
0.428825,0.017345,0.210125,0.004896,0.046979,0.000736,0.130343,0.089861,0.057059,0.280304,0.995130
0.428025,0.017377,0.220717,0.005376,0.046883,0.000640,0.092486,0.080996,0.055619,0.232430,0.957432
0.448218,0.017794,0.208812,0.005088,0.046979,0.000576,0.104966,0.083077,0.055587,0.246830,0.979897
0.428185,0.017345,0.209676,0.004928,0.047139,0.000576,0.125927,0.082116,0.055300,0.266608,0.979834
0.428281,0.017633,0.208748,0.005024,0.047075,0.000512,0.096806,0.087045,0.058084,0.245135,0.957880
0.428569,0.017441,0.209100,0.005185,0.065220,0.000800,0.104134,0.081029,0.055299,0.243374,0.975929
0.430777,0.017377,0.208812,0.005088,0.047011,0.000832,0.108838,0.084901,0.057604,0.254447,0.969721
0.427961,0.017378,0.209292,0.004928,0.046851,0.000992,0.099686,0.087141,0.058147,0.248174,0.960953
0.429529,0.017697,0.209901,0.004992,0.048675,0.000800,0.105414,0.083493,0.056291,0.248590,0.967640
