Layer[0],Layer[1],Layer[2],IN[3],INFER[3-7],OUT[7],TEE[3-7],Layer[8],Layer[9],Layer[10],classifier
0.427834,0.017761,0.221582,0.112551,0.145865,0.080773,0.342837,0.003232,0.001024,0.000384,1.020094
0.428058,0.017825,0.209101,0.097510,0.133512,0.082821,0.317587,0.003297,0.001056,0.000384,0.982300
0.427514,0.017441,0.208717,0.106982,0.145320,0.079748,0.337589,0.002688,0.001088,0.000416,1.001885
0.427163,0.017505,0.209677,0.085189,0.162058,0.087109,0.338260,0.003329,0.001056,0.000416,1.002654
0.427579,0.018081,0.209901,0.087365,0.134792,0.074949,0.300562,0.003040,0.001280,0.000320,0.965339
0.429786,0.017729,0.209325,0.088421,0.137065,0.075076,0.304690,0.002977,0.000960,0.000384,0.970587
0.428826,0.017793,0.208908,0.084070,0.132072,0.079493,0.299667,0.003232,0.001120,0.000576,0.965339
0.443995,0.017857,0.209164,0.093221,0.137897,0.072964,0.307954,0.002273,0.001056,0.000448,0.988029
0.428250,0.017601,0.208908,0.092134,0.137608,0.076484,0.310131,0.002304,0.001089,0.000384,0.973756
0.430650,0.018113,0.209517,0.098438,0.139017,0.110791,0.352310,0.003168,0.001024,0.000352,1.020830
0.444923,0.018081,0.209517,0.096198,0.135209,0.103782,0.339477,0.003232,0.001088,0.000352,1.021759
