Layer[0],IN[1],INFER[1-2],OUT[2],TEE[1-2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.430429,0.114695,0.587303,0.103591,0.810069,0.005728,0.047939,0.001088,0.013920,0.000448,0.001568,0.001472,0.000512,1.320055
0.430556,0.112455,0.579110,0.082917,0.778995,0.005601,0.048579,0.000832,0.014881,0.000416,0.001632,0.001504,0.000608,1.291156
0.429597,0.143625,0.602408,0.079909,0.830518,0.005569,0.048259,0.000800,0.014273,0.000608,0.001600,0.001504,0.000608,1.340024
0.432444,0.126248,0.581254,0.106023,0.818485,0.011201,0.047939,0.000640,0.013985,0.000416,0.001536,0.001313,0.000672,1.336664
0.430364,0.116392,0.581510,0.089126,0.791476,0.005760,0.047907,0.000801,0.014336,0.000384,0.001696,0.001184,0.000608,1.301845
0.448637,0.148426,0.581126,0.093062,0.827478,0.009632,0.047875,0.000832,0.014721,0.000352,0.001697,0.001216,0.000640,1.360857
0.428668,0.110567,0.579782,0.085894,0.780211,0.005505,0.048643,0.000832,0.014529,0.000416,0.001536,0.001248,0.000416,1.288724
0.430012,0.116008,0.600647,0.091334,0.813142,0.005920,0.048259,0.000832,0.014145,0.000384,0.001601,0.001152,0.000416,1.323287
0.433436,0.112008,0.584966,0.083750,0.785588,0.010049,0.048227,0.000832,0.014529,0.000416,0.001600,0.001472,0.000512,1.303573
0.430012,0.114984,0.580006,0.082661,0.782579,0.013633,0.047875,0.000833,0.013760,0.000416,0.001664,0.001248,0.000416,1.299989
0.448862,0.114344,0.576965,0.100166,0.795732,0.005857,0.047907,0.000800,0.014401,0.000352,0.001600,0.001504,0.000608,1.325047
0.430909,0.110567,0.578726,0.083718,0.778291,0.005856,0.048451,0.000833,0.014080,0.000544,0.001600,0.001152,0.000608,1.290005
0.432924,0.114568,0.599559,0.087494,0.806549,0.008801,0.048291,0.000800,0.013953,0.000384,0.001824,0.001280,0.000448,1.323318
