Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],IN[5],INFER[5-6],OUT[6],TEE[5-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.428249,0.017441,0.208300,0.004864,0.047363,0.104422,0.088902,0.088389,0.285297,0.000704,0.002240,0.001536,0.000416,1.004124
0.446810,0.017921,0.210828,0.004961,0.048579,0.110278,0.082053,0.075717,0.272560,0.000672,0.002304,0.001312,0.000448,1.014492
0.429369,0.017826,0.208748,0.004896,0.047907,0.101894,0.083621,0.075621,0.264816,0.000736,0.002144,0.001536,0.000416,0.985850
0.439066,0.017441,0.209613,0.004832,0.047779,0.106022,0.080805,0.074469,0.265136,0.000672,0.002816,0.001568,0.000384,0.997115
0.452667,0.017377,0.208652,0.004897,0.048546,0.111590,0.082469,0.076549,0.274288,0.000736,0.002304,0.001504,0.000416,1.018844
0.428890,0.017505,0.209260,0.004929,0.048194,0.099877,0.083397,0.078948,0.265647,0.000992,0.002465,0.001536,0.000352,0.987035
0.428473,0.017473,0.208557,0.004992,0.048419,0.105862,0.082309,0.074661,0.266384,0.000928,0.002144,0.001248,0.000384,0.986970
0.428985,0.017313,0.209293,0.004928,0.062724,0.121223,0.082789,0.080549,0.288433,0.000704,0.003200,0.001185,0.000384,1.023453
0.427897,0.017378,0.208300,0.004896,0.048515,0.136392,0.081093,0.073957,0.295698,0.001024,0.002208,0.001600,0.000384,1.015516
0.428602,0.017377,0.208204,0.004929,0.048707,0.086021,0.079333,0.073956,0.242894,0.000768,0.002016,0.000896,0.000352,0.961817
0.427673,0.017537,0.208109,0.004864,0.047555,0.092838,0.074372,0.068708,0.239502,0.000736,0.001920,0.001088,0.000352,0.955545
0.429337,0.017634,0.208364,0.004960,0.047779,0.132072,0.084901,0.073445,0.294098,0.000672,0.002112,0.001440,0.000416,1.014876
0.427962,0.017473,0.208460,0.004865,0.048386,0.095654,0.074597,0.073092,0.246831,0.000864,0.002560,0.001120,0.000320,0.965658
0.428954,0.017313,0.208236,0.004928,0.047779,0.088518,0.073188,0.069764,0.235310,0.000992,0.002144,0.001088,0.000352,0.954617
0.442682,0.017601,0.208172,0.004832,0.047395,0.100486,0.079557,0.070244,0.253839,0.000768,0.002049,0.000960,0.000384,0.985115
0.427897,0.017409,0.208013,0.004992,0.047363,0.097030,0.081733,0.076484,0.258511,0.000929,0.002080,0.001056,0.000352,0.974970
0.427929,0.017345,0.208013,0.004864,0.047171,0.102758,0.088549,0.074373,0.268880,0.000992,0.002176,0.000896,0.000320,0.984698
0.427737,0.017377,0.228782,0.005216,0.047267,0.118311,0.076613,0.069188,0.267600,0.000672,0.001888,0.001184,0.000384,1.005084
0.428569,0.017505,0.207981,0.004864,0.047139,0.108518,0.082596,0.077573,0.272368,0.000736,0.002080,0.001280,0.000416,0.991867
0.428250,0.017473,0.208300,0.004897,0.047010,0.098309,0.081861,0.083205,0.266895,0.000672,0.002017,0.001152,0.000448,0.984603
0.428537,0.017409,0.208397,0.004832,0.046883,0.080997,0.071556,0.088229,0.244174,0.000704,0.002593,0.001088,0.000352,0.961177
0.428378,0.017601,0.208397,0.004864,0.046787,0.098918,0.081989,0.085701,0.269776,0.000672,0.002080,0.001408,0.000512,0.988315
0.429178,0.017569,0.208012,0.004960,0.046819,0.085957,0.077957,0.071236,0.238670,0.000673,0.001888,0.000992,0.000352,0.955513
0.427929,0.017281,0.208141,0.004864,0.046979,0.107462,0.077381,0.070340,0.259023,0.000800,0.001920,0.000992,0.000385,0.974042
0.440122,0.017537,0.208236,0.004928,0.046819,0.106855,0.080644,0.070501,0.261680,0.000608,0.002080,0.001024,0.000448,0.990043
0.428922,0.017409,0.207948,0.004928,0.047043,0.095045,0.080005,0.070212,0.248590,0.000608,0.001888,0.001152,0.000352,0.965082
0.430842,0.017185,0.207853,0.004928,0.046915,0.101574,0.080741,0.076228,0.261903,0.000768,0.002048,0.001025,0.000352,0.979611
0.429337,0.017249,0.225550,0.005184,0.047075,0.084357,0.080517,0.070468,0.239054,0.000608,0.002080,0.001056,0.000352,0.973561
0.428634,0.017505,0.208204,0.005057,0.046978,0.096102,0.074021,0.069828,0.243567,0.000704,0.001952,0.000960,0.000384,0.961049
0.428858,0.017473,0.208076,0.005152,0.047011,0.101254,0.079013,0.073445,0.257456,0.000928,0.002336,0.001152,0.000352,0.976314
0.431321,0.017409,0.208332,0.004960,0.047651,0.107783,0.100358,0.084421,0.296914,0.000704,0.002272,0.001280,0.000384,1.018428
