Layer[0],IN[1],INFER[1-1],OUT[1],TEE[1-1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.429180,0.114280,0.091366,0.096998,0.307028,0.209550,0.005440,0.048131,0.000864,0.013921,0.000384,0.001472,0.001472,0.000416,1.025155
0.430173,0.144522,0.103590,0.101126,0.353335,0.209742,0.005600,0.048419,0.000896,0.013825,0.000384,0.001760,0.001216,0.000352,1.072999
0.447614,0.113607,0.093351,0.097478,0.308276,0.209966,0.005472,0.048484,0.000832,0.013601,0.000352,0.001536,0.000928,0.000608,1.045093
0.428829,0.105415,0.086982,0.126568,0.323413,0.209390,0.005312,0.048356,0.000832,0.013505,0.000352,0.001472,0.001216,0.000384,1.040549
0.428829,0.107463,0.088390,0.086310,0.286195,0.213582,0.005632,0.048643,0.000832,0.013889,0.000352,0.001825,0.001376,0.000384,1.008803
0.446270,0.106887,0.085574,0.088198,0.284723,0.209613,0.005281,0.048355,0.000832,0.013793,0.000352,0.001632,0.001376,0.000384,1.019971
0.428476,0.109703,0.091046,0.100935,0.306357,0.210190,0.005600,0.049699,0.000768,0.013729,0.000416,0.001504,0.001089,0.000608,1.025924
0.430364,0.105383,0.086310,0.092518,0.287731,0.209678,0.005568,0.048196,0.000800,0.013569,0.000352,0.001408,0.001056,0.000608,1.006082
0.429469,0.156842,0.093958,0.087877,0.342422,0.209614,0.009505,0.048419,0.000896,0.013505,0.000416,0.001568,0.001024,0.000416,1.064102
0.429596,0.107175,0.092390,0.107879,0.311668,0.210061,0.005121,0.048131,0.000832,0.013729,0.000416,0.001440,0.001088,0.000672,1.029475
0.431420,0.108040,0.092838,0.098470,0.304981,0.209869,0.005569,0.048259,0.000832,0.013889,0.000416,0.001568,0.001120,0.000416,1.026339
0.432925,0.131881,0.157674,0.089606,0.383737,0.210414,0.005665,0.048739,0.000832,0.013537,0.000576,0.001536,0.001120,0.000352,1.106729
0.430876,0.108519,0.115239,0.084165,0.311796,0.211022,0.005632,0.048547,0.000832,0.013793,0.000352,0.001664,0.001088,0.000608,1.033284
0.429372,0.105831,0.087782,0.084870,0.282995,0.210254,0.005408,0.048195,0.000832,0.013761,0.000352,0.001633,0.001120,0.000384,1.001954
0.428860,0.109767,0.092806,0.108455,0.315412,0.209998,0.005409,0.048259,0.000864,0.013601,0.000576,0.001568,0.001024,0.000352,1.033412
0.429565,0.105543,0.091750,0.092870,0.293971,0.209902,0.009505,0.048195,0.000832,0.013921,0.000576,0.001568,0.001280,0.000384,1.016995
0.432381,0.142025,0.107751,0.101095,0.356119,0.211150,0.005377,0.048547,0.000864,0.013601,0.000352,0.001504,0.001120,0.000640,1.079431
