Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],IN[5],INFER[5-8],OUT[8],TEE[5-8],Layer[9],Layer[10],classifier
0.429273,0.017953,0.208812,0.005248,0.048099,0.103814,0.086725,0.081253,0.275441,0.001600,0.000448,0.992219
0.430009,0.017793,0.209004,0.005088,0.048387,0.109031,0.086949,0.079269,0.278897,0.001696,0.000704,0.997307
0.429881,0.018241,0.209005,0.005536,0.048643,0.122247,0.082565,0.071812,0.280625,0.001408,0.000448,0.999835
0.430585,0.017953,0.208397,0.005184,0.047875,0.102502,0.088005,0.088550,0.282833,0.001504,0.000448,1.000956
0.430649,0.017825,0.209197,0.005120,0.047235,0.107430,0.083525,0.080453,0.275152,0.001440,0.000480,0.993786
0.429753,0.017729,0.209133,0.005312,0.047555,0.105414,0.087525,0.075620,0.273072,0.001472,0.000416,0.991034
0.429401,0.017377,0.208492,0.005312,0.048483,0.102054,0.084293,0.075845,0.266480,0.001568,0.000416,0.983738
0.429146,0.017825,0.208748,0.005248,0.047619,0.103975,0.085573,0.089445,0.283665,0.001536,0.000480,1.002139
0.429753,0.017601,0.209676,0.005344,0.047587,0.104902,0.081061,0.079269,0.269264,0.001824,0.000512,0.988570
0.446875,0.017697,0.209196,0.005345,0.048674,0.105222,0.083973,0.080421,0.273521,0.001696,0.000416,1.010012
0.428441,0.017697,0.209005,0.005344,0.048259,0.098982,0.081061,0.073476,0.258255,0.001664,0.000480,0.975321
0.429081,0.017889,0.208812,0.005312,0.048227,0.105606,0.087078,0.076900,0.273520,0.001344,0.000672,0.991675
0.429241,0.034883,0.208844,0.005536,0.048387,0.105190,0.080420,0.071397,0.260976,0.001600,0.000384,0.996667
0.429913,0.017857,0.208332,0.005472,0.047779,0.100358,0.079429,0.071876,0.255631,0.001409,0.000416,0.973306
0.430041,0.017601,0.209005,0.005376,0.049091,0.104902,0.086341,0.079333,0.274256,0.001376,0.000416,0.993658
