Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],IN[5],INFER[5-10],OUT[10],TEE[5-10],classifier
0.427897,0.017633,0.209132,0.005345,0.047042,0.119975,0.097445,0.062756,0.283537,0.995322
0.427898,0.017633,0.209868,0.005057,0.047202,0.099461,0.088358,0.057987,0.249455,0.962073
0.428409,0.017697,0.209261,0.005088,0.047491,0.099366,0.087717,0.059395,0.250190,0.963865
0.429017,0.017793,0.208461,0.004896,0.047043,0.098694,0.094949,0.058116,0.255247,0.967545
0.428281,0.017633,0.209292,0.004896,0.046915,0.111399,0.092069,0.056708,0.263792,0.976474
0.427737,0.017761,0.209293,0.005120,0.047043,0.102502,0.087845,0.057828,0.251503,0.963577
0.428794,0.017601,0.208748,0.005312,0.046947,0.101350,0.089062,0.060035,0.253967,0.966329
0.446011,0.017761,0.209612,0.005152,0.047107,0.100262,0.088165,0.060739,0.252655,0.983450
0.428185,0.017825,0.209644,0.004961,0.047107,0.095973,0.081669,0.056484,0.237966,0.951288
0.428153,0.018081,0.209261,0.004896,0.047043,0.090373,0.080229,0.056708,0.231310,0.944088
0.429114,0.018113,0.209068,0.004897,0.064611,0.107590,0.087141,0.059844,0.257967,0.989755
0.428729,0.017729,0.209228,0.005184,0.047523,0.102054,0.083877,0.055364,0.245071,0.959097
0.427962,0.017537,0.209484,0.005312,0.047619,0.105799,0.087109,0.058435,0.255247,0.968793
0.428826,0.017633,0.209068,0.005249,0.049059,0.095109,0.093190,0.056067,0.247918,0.963865
0.429401,0.017793,0.208909,0.005056,0.047299,0.100742,0.085221,0.056931,0.246990,0.961176
0.429337,0.017857,0.209452,0.004864,0.048547,0.099014,0.085797,0.059940,0.248239,0.963545
