Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],IN[10],INFER[10-10],OUT[10],TEE[10-10],classifier
0.448824,0.017761,0.210348,0.005312,0.048482,0.000544,0.014593,0.000384,0.001472,0.001088,0.110437,0.060739,0.000064,0.175145,0.932754
0.428983,0.017569,0.209003,0.005377,0.047970,0.000768,0.014209,0.000384,0.001472,0.001184,0.104166,0.066500,0.000096,0.173514,0.907121
0.428663,0.017473,0.209163,0.005537,0.048162,0.000832,0.014049,0.000352,0.001536,0.001152,0.107302,0.063748,0.000064,0.174538,0.909073
0.428695,0.017409,0.228748,0.005601,0.048098,0.000736,0.014625,0.000384,0.001536,0.001056,0.094565,0.059940,0.000032,0.157577,0.912049
0.430551,0.017761,0.208939,0.005120,0.049891,0.000832,0.014049,0.000352,0.001504,0.001216,0.108774,0.073668,0.000064,0.186026,0.924081
0.429047,0.017601,0.208971,0.005312,0.049411,0.000768,0.013985,0.000384,0.001440,0.001024,0.099941,0.061059,0.000064,0.164361,0.899472
0.429527,0.017793,0.209003,0.004832,0.048227,0.000800,0.013921,0.000352,0.001472,0.001312,0.106118,0.070212,0.000064,0.179498,0.914385
0.428823,0.017537,0.209099,0.005056,0.048035,0.000800,0.014401,0.000384,0.001504,0.001504,0.106566,0.065635,0.000032,0.175369,0.909777
0.428439,0.017665,0.208555,0.005056,0.048322,0.000800,0.013825,0.000352,0.001504,0.001024,0.108518,0.065796,0.000064,0.177802,0.911057
0.428759,0.017665,0.208715,0.004832,0.048259,0.000800,0.014208,0.000384,0.001568,0.001088,0.103685,0.064292,0.000096,0.171145,0.903921
0.452888,0.017377,0.209355,0.005089,0.049154,0.000576,0.013729,0.000352,0.001472,0.001152,0.107750,0.065636,0.000096,0.176330,0.935122
0.429047,0.017729,0.209963,0.004897,0.048962,0.000832,0.014721,0.000384,0.001728,0.001216,0.104838,0.066084,0.000064,0.174058,0.910321
0.428631,0.017633,0.209163,0.004992,0.048643,0.000608,0.014241,0.000352,0.001536,0.001152,0.108710,0.065507,0.000096,0.177833,0.912336
0.429015,0.017633,0.209612,0.005120,0.048994,0.000832,0.014336,0.000384,0.001568,0.001344,0.104805,0.086661,0.000160,0.195562,0.931538
0.429303,0.017601,0.209515,0.005504,0.047811,0.000832,0.014273,0.000352,0.001568,0.001216,0.107750,0.072612,0.000064,0.183786,0.920177
0.429975,0.017729,0.209419,0.005504,0.048611,0.000800,0.013665,0.000384,0.001568,0.001184,0.106278,0.064899,0.000064,0.174153,0.909744
0.433015,0.017761,0.213483,0.004960,0.048835,0.000832,0.013857,0.000320,0.001632,0.001536,0.118726,0.073283,0.000064,0.195883,0.941011
0.447864,0.019265,0.211692,0.004928,0.048099,0.000576,0.013696,0.000416,0.001600,0.001248,0.109637,0.061859,0.000064,0.174985,0.933010
0.429847,0.017537,0.210380,0.005344,0.048003,0.000832,0.013888,0.000352,0.001536,0.001313,0.107493,0.067076,0.000064,0.177737,0.914449
0.429687,0.017729,0.209483,0.004896,0.048675,0.000800,0.014241,0.000352,0.001536,0.001088,0.107814,0.065763,0.000064,0.176681,0.912401
0.429367,0.017569,0.230284,0.005376,0.048739,0.000800,0.014017,0.000384,0.001536,0.001152,0.108806,0.059651,0.000096,0.171721,0.928914
0.428471,0.017921,0.209547,0.004897,0.048194,0.000768,0.014113,0.000352,0.001568,0.000992,0.107398,0.075780,0.000064,0.186378,0.920497
0.429079,0.017601,0.209387,0.004928,0.047843,0.000800,0.013825,0.000384,0.001536,0.001024,0.105478,0.064099,0.000096,0.172937,0.907184
0.434071,0.017633,0.211243,0.005152,0.049603,0.001024,0.014273,0.000640,0.001824,0.002976,0.172810,0.095397,0.000320,0.273647,1.024055
0.438616,0.018145,0.216876,0.005568,0.049603,0.001056,0.014305,0.000352,0.001888,0.003008,0.165353,0.074820,0.000064,0.243693,1.006422
