INFER[0-0],INFER[0-10],INFER[0-1],INFER[0-2],INFER[0-3],INFER[0-4],INFER[0-5],INFER[0-6],INFER[0-7],INFER[0-8],INFER[0-9],INFER[1-10],INFER[1-1],INFER[1-2],INFER[1-3],INFER[1-4],INFER[1-5],INFER[1-6],INFER[1-7],INFER[1-8],INFER[1-9],INFER[10-10],INFER[2-10],INFER[2-2],INFER[2-3],INFER[2-4],INFER[2-5],INFER[2-6],INFER[2-7],INFER[2-8],INFER[2-9],INFER[3-10],INFER[3-3],INFER[3-4],INFER[3-5],INFER[3-6],INFER[3-7],INFER[3-8],INFER[3-9],INFER[4-10],INFER[4-4],INFER[4-5],INFER[4-6],INFER[4-7],INFER[4-8],INFER[4-9],INFER[5-10],INFER[5-5],INFER[5-6],INFER[5-7],INFER[5-8],INFER[5-9],INFER[6-10],INFER[6-6],INFER[6-7],INFER[6-8],INFER[6-9],INFER[7-10],INFER[7-7],INFER[7-8],INFER[7-9],INFER[8-10],INFER[8-8],INFER[8-9],INFER[9-10],INFER[9-9],IN[0],IN[10],IN[1],IN[2],IN[3],IN[4],IN[5],IN[6],IN[7],IN[8],IN[9],Layer[0],Layer[10],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],OUT[0],OUT[10],OUT[1],OUT[2],OUT[3],OUT[4],OUT[5],OUT[6],OUT[7],OUT[8],OUT[9],TEE[0-0],TEE[0-10],TEE[0-1],TEE[0-2],TEE[0-3],TEE[0-4],TEE[0-5],TEE[0-6],TEE[0-7],TEE[0-8],TEE[0-9],TEE[1-10],TEE[1-1],TEE[1-2],TEE[1-3],TEE[1-4],TEE[1-5],TEE[1-6],TEE[1-7],TEE[1-8],TEE[1-9],TEE[10-10],TEE[2-10],TEE[2-2],TEE[2-3],TEE[2-4],TEE[2-5],TEE[2-6],TEE[2-7],TEE[2-8],TEE[2-9],TEE[3-10],TEE[3-3],TEE[3-4],TEE[3-5],TEE[3-6],TEE[3-7],TEE[3-8],TEE[3-9],TEE[4-10],TEE[4-4],TEE[4-5],TEE[4-6],TEE[4-7],TEE[4-8],TEE[4-9],TEE[5-10],TEE[5-5],TEE[5-6],TEE[5-7],TEE[5-8],TEE[5-9],TEE[6-10],TEE[6-6],TEE[6-7],TEE[6-8],TEE[6-9],TEE[7-10],TEE[7-7],TEE[7-8],TEE[7-9],TEE[8-10],TEE[8-8],TEE[8-9],TEE[9-10],TEE[9-9],classifier,source
1.03988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10416800000000001,,,,,,,,,,,,0.000352,0.017697,0.210671,0.004832,0.048835,0.000608,0.013536000000000001,0.000384,0.001536,0.001024,0.084486,,,,,,,,,,,1.234326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5389549999999999,output_pp0-0_1016_1204
1.047848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.132458,,,,,,,,,,,,0.000384,0.021378,0.20955,0.005344,0.048258999999999996,0.0008,0.033507,0.00044800000000000005,0.0016,0.001504,0.08711,,,,,,,,,,,1.273304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.602191,output_pp0-0_1016_1204
1.041352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.101543,,,,,,,,,,,,0.000352,0.017633000000000003,0.21086300000000002,0.005215999999999999,0.048451,0.0008,0.013569,0.00041600000000000003,0.001441,0.001184,0.083526,,,,,,,,,,,1.232214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.537355,output_pp0-0_1016_1204
1.0423120000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.103495,,,,,,,,,,,,0.00047999999999999996,0.017377,0.20932699999999999,0.005408,0.0481,0.0008320000000000001,0.013472999999999999,0.00041600000000000003,0.00144,0.001312,0.089126,,,,,,,,,,,1.241206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.544363,output_pp0-0_1016_1204
1.05444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.100775,,,,,,,,,,,,0.000384,0.017697,0.20980700000000002,0.005215999999999999,0.049188,0.0008960000000000001,0.013472999999999999,0.00044800000000000005,0.001504,0.0008640000000000001,0.105255,,,,,,,,,,,1.266424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.570797,output_pp0-0_1016_1204
1.0492569999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.117256,,,,,,,,,,,,0.00041600000000000003,0.017856999999999998,0.21454299999999998,0.005152,0.048996,0.0008,0.013888999999999999,0.00041600000000000003,0.001504,0.001536,0.12212100000000001,,,,,,,,,,,1.2953540000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.606127,output_pp0-0_1016_1204
1.063593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.109575,,,,,,,,,,,,0.00044800000000000005,0.02029,0.21188600000000002,0.005249,0.047907,0.0008320000000000001,0.014209000000000001,0.00041600000000000003,0.001536,0.0017289999999999999,0.098151,,,,,,,,,,,1.278168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.588302,output_pp0-0_1016_1204
1.045065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.131625,,,,,,,,,,,,0.00041600000000000003,0.022241,0.210671,0.005376,0.048292,0.0008,0.014049,0.00044800000000000005,0.001568,0.001248,0.08669400000000001,,,,,,,,,,,1.269752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.580429,output_pp0-0_1016_1204
1.070634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11968800000000002,,,,,,,,,,,,0.00044800000000000005,0.017856999999999998,0.21054299999999998,0.005024,0.048258999999999996,0.000833,0.013633000000000001,0.00041600000000000003,0.001568,0.0016,0.089894,,,,,,,,,,,1.288409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.593934,output_pp0-0_1016_1204
1.0418319999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.102087,,,,,,,,,,,,0.000352,0.017633000000000003,0.209999,0.005408,0.048035,0.000833,0.014016999999999998,0.00041600000000000003,0.001568,0.001568,0.097479,,,,,,,,,,,1.247958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.553195,output_pp0-0_1016_1204
