size,input(us),output(us)
1176,70.502000809,61.765001297
1176,90.184000015,62.788999557
1176,70.406000137,62.597000122
1176,94.280000687,63.653999329
1176,71.269998550,61.764999390
1176,91.942998886,65.413999557
1176,69.637998581,62.405000687
1176,83.718999863,64.294000626
1176,70.534000397,62.437000275
1176,85.542999268,64.069000244
1176,100.360000610,63.942001343
1176,113.418001175,68.997999191
1176,84.936000824,66.500999451
1176,116.714000702,67.270000458
1176,113.608999252,64.230001450
1176,81.031000137,63.717000961
1176,96.680999756,65.476999283
1176,78.183000565,62.565000534
1176,116.714000702,68.356998444
1176,78.343000412,62.468999863
1176,92.487001419,66.885999680
1176,72.102001190,62.373001099
1176,104.008998871,81.319000244
1176,72.326000214,62.629999161
1176,73.606000900,63.078001022
1176,98.535999298,64.805000305
1176,72.805999756,62.020999908
1176,93.704000473,68.998001099
1176,75.111000061,61.700998306
1176,89.223999023,64.261001587
1176,72.166000366,62.340999603
1176,111.208999634,66.662000656
1176,78.950998306,61.797000885
1176,145.228000641,78.694000244
1176,73.734001160,63.493000031
1176,97.545000076,67.140998840
1176,76.069999695,62.981000900
1176,91.015998840,61.380998611
1176,78.982999802,63.333000183
1176,116.394001007,78.502000809
1176,73.735000610,86.822999954
1176,83.686998367,62.630001068
1176,113.896999359,67.078001022
1176,71.814001083,63.429000854
1176,91.880001068,63.461000443
1176,73.575000763,61.797000885
1176,102.632999420,62.788999557
1176,71.975000381,64.965000153
1176,95.048000336,78.215000153
1176,77.734001160,61.958000183
1176,122.954999924,77.637998581
1176,72.838001251,62.693000793
1176,94.696001053,64.901000977
1176,77.350000381,61.893999100
1176,106.504999161,68.613998413
1176,146.092000961,122.857999802
1176,88.295000076,63.045000076
1176,114.793998718,81.958000183
1176,81.671001434,62.725000381
294,88.967998505,63.524999619
294,80.839000702,59.076999664
294,98.089000702,75.078001022
294,75.527000427,62.309000015
294,100.168001175,66.949998856
294,75.173999786,60.069000244
294,104.840000153,75.942998886
294,76.774000168,59.749000549
294,97.224000931,63.364999771
294,76.549999237,60.517000198
294,84.488000870,68.485000610
294,74.791000366,58.628999710
294,101.415998459,67.718000412
294,75.525999069,60.357999802
294,102.249000549,69.222000122
294,75.365999222,59.652999878
294,107.177000046,79.430000305
294,75.013999939,59.525001526
294,96.904001236,76.135000229
294,75.750999451,59.876998901
294,108.232999802,66.340999603
294,92.039999008,60.900999069
294,95.079999924,66.309000015
294,78.886999130,62.340999603
294,102.824998856,75.526000977
294,79.750999451,59.525001526
294,80.870998383,60.677000046
294,76.742000580,86.503999710
294,75.909999847,59.620998383
294,94.823999405,61.861999512
294,75.654998779,60.357000351
294,135.531000137,71.365999222
294,72.710998535,59.909000397
294,97.063999176,60.357000351
294,73.927000046,60.485000610
294,145.612001419,61.861000061
294,72.454000473,59.333000183
294,92.583999634,60.069000244
294,74.791000366,63.621000290
294,96.327999115,65.861000061
294,74.086000443,60.965000153
294,97.959999084,63.973999023
294,78.183000565,63.940999985
294,75.302999496,75.590000153
294,75.462001801,60.292999268
294,80.934999466,66.086000443
294,94.983999252,63.140998840
294,88.807001114,69.573999405
294,77.862998962,59.812999725
294,112.072999954,64.774000168
294,78.247001648,60.357000351
294,84.902999878,62.245000839
294,75.814001083,59.301000595
294,101.128000259,62.756999969
294,77.319000244,59.588998795
294,99.784000397,60.740999222
294,75.493999481,59.716999054
294,106.056999207,62.084999084
294,77.989999771,60.742000580
294,103.368999481,63.749000549
294,77.958000183,61.829999924
294,94.663999557,66.790000916
294,76.582000732,59.589000702
294,87.174999237,62.725000381
294,74.022998810,62.597000122
294,83.847000122,69.157999039
294,74.565999985,60.581001282
294,82.951000214,65.253999710
294,74.663000107,61.349000931
294,95.399999619,73.958000183
294,75.750000000,61.510000229
294,99.464000702,66.534000397
294,76.774000168,60.357000351
294,84.998998642,63.333000183
294,76.902000427,61.317001343
294,82.438999176,67.205999374
294,76.166000366,61.508998871
294,88.967000961,66.694000244
294,78.503000259,60.901000977
294,127.050998688,88.390998840
294,76.838001251,60.260999680
294,108.584999084,82.694999695
294,75.718000412,61.701000214
294,88.871999741,72.902000427
294,77.510000229,60.677000046
294,100.039999008,64.293998718
294,76.582000732,60.517000198
294,85.479000092,68.774000168
294,77.863000870,61.125000000
294,96.232999802,62.820999146
