Layer[0],Layer[1],Layer[2],IN[3],INFER[3-6],OUT[6],TEE[3-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.395019,0.017633,0.191910,0.134116,0.105443,0.063618,0.306569,0.000704,0.002400,0.001248,0.000416,0.922779
0.395275,0.017633,0.192582,0.134628,0.101667,0.062081,0.301544,0.000704,0.002241,0.001120,0.000608,0.918395
0.395115,0.017729,0.192166,0.134116,0.101891,0.063169,0.302664,0.000736,0.002208,0.001056,0.000384,0.918683
0.396108,0.017761,0.192741,0.133284,0.101859,0.064738,0.303145,0.000960,0.002464,0.001184,0.000640,0.921467
0.395019,0.017601,0.192134,0.126371,0.100867,0.062434,0.292616,0.000704,0.002240,0.001153,0.000384,0.908635
0.411724,0.017665,0.191782,0.135044,0.107683,0.064034,0.310089,0.000736,0.002112,0.001184,0.000608,0.942940
0.395435,0.017697,0.191877,0.134051,0.107043,0.064226,0.308489,0.000672,0.002176,0.001120,0.000384,0.924347
0.395308,0.017697,0.191941,0.135588,0.104547,0.062945,0.306058,0.000672,0.002176,0.001088,0.000416,0.921340
0.394988,0.017664,0.192422,0.129956,0.124068,0.099747,0.357067,0.001056,0.002432,0.001280,0.000448,0.974237
0.395660,0.017729,0.192229,0.133924,0.116228,0.062722,0.316042,0.000672,0.002112,0.001248,0.000576,0.932860
0.394924,0.017761,0.191781,0.121700,0.102467,0.063170,0.290473,0.000672,0.002304,0.001152,0.000608,0.906267
0.395563,0.017537,0.192518,0.129123,0.100995,0.059970,0.293544,0.000704,0.002208,0.001184,0.000608,0.910523
0.411532,0.017665,0.192454,0.123363,0.102979,0.060354,0.289896,0.000960,0.002368,0.001248,0.000608,0.923387
0.394924,0.017568,0.191942,0.130724,0.101379,0.063298,0.298761,0.000672,0.002240,0.001088,0.000608,0.914587
0.395052,0.017729,0.192197,0.128932,0.099971,0.061826,0.294025,0.000736,0.002368,0.001184,0.000352,0.910683
0.395563,0.017856,0.208134,0.130884,0.112068,0.062369,0.308585,0.000736,0.002369,0.001216,0.000384,0.942172
0.395500,0.017761,0.191749,0.121668,0.098979,0.059746,0.283529,0.000704,0.002112,0.001248,0.000576,0.899611
0.396235,0.017665,0.192166,0.132515,0.105604,0.063682,0.305097,0.000704,0.002272,0.001056,0.000352,0.922171
0.394860,0.018017,0.191909,0.134372,0.105027,0.062306,0.304777,0.000704,0.002144,0.001184,0.000608,0.920379
0.394412,0.017665,0.192261,0.139685,0.103587,0.061890,0.308362,0.000704,0.002208,0.001184,0.000384,0.924060
0.394700,0.017633,0.192005,0.131332,0.099779,0.061762,0.295913,0.000704,0.002208,0.001088,0.000352,0.911515
0.395019,0.017600,0.192038,0.132452,0.109411,0.062626,0.307689,0.000672,0.002016,0.001088,0.000576,0.923163
0.416301,0.017632,0.191622,0.130980,0.118435,0.063586,0.316073,0.000704,0.002336,0.001152,0.000641,0.952637
0.394955,0.017633,0.192070,0.135876,0.102083,0.061442,0.302665,0.000704,0.002240,0.001088,0.000384,0.918107
0.395531,0.017825,0.191878,0.143300,0.116451,0.065410,0.328361,0.000992,0.002336,0.001280,0.000416,0.945659
0.396652,0.017537,0.191845,0.155525,0.119812,0.063681,0.342442,0.000737,0.002144,0.001184,0.000416,0.959613
0.396044,0.017697,0.191813,0.138085,0.102115,0.060929,0.304393,0.000768,0.002241,0.001184,0.000384,0.921052
0.395020,0.017568,0.191846,0.131844,0.103523,0.060802,0.299273,0.000704,0.002272,0.001184,0.000352,0.914363
0.396364,0.017857,0.192165,0.118883,0.101219,0.060898,0.284457,0.000704,0.002336,0.001216,0.000640,0.902811
0.410348,0.017824,0.192262,0.127012,0.109923,0.062242,0.302665,0.000672,0.002208,0.001152,0.000384,0.934140
0.395244,0.017441,0.192229,0.132900,0.102691,0.066466,0.305321,0.000672,0.002304,0.001152,0.000640,0.921115
0.394699,0.017664,0.192038,0.132644,0.105731,0.063490,0.305129,0.000672,0.002272,0.001152,0.000352,0.920507
0.394540,0.017376,0.210791,0.136580,0.119875,0.066370,0.326249,0.000704,0.004864,0.001120,0.000352,0.962205
0.394955,0.017697,0.192230,0.132964,0.100451,0.062561,0.299080,0.001088,0.005185,0.001024,0.000416,0.918395
0.394796,0.017472,0.191590,0.135940,0.104771,0.062818,0.306441,0.000736,0.002016,0.000896,0.000384,0.920251
0.395148,0.017601,0.191781,0.126980,0.099715,0.061762,0.291849,0.000736,0.002016,0.000992,0.000608,0.907547
0.394635,0.017473,0.192326,0.130627,0.101667,0.063170,0.298376,0.000704,0.001920,0.000993,0.000384,0.912539
