Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-6],OUT[6],TEE[4-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.415459,0.017216,0.202850,0.004768,0.113697,0.101248,0.064033,0.281986,0.000672,0.002016,0.000992,0.000416,0.932935
0.415651,0.017216,0.202625,0.004736,0.111553,0.100097,0.063680,0.278242,0.000704,0.002112,0.000960,0.000384,0.928390
0.415427,0.017184,0.202114,0.004832,0.116065,0.099392,0.081633,0.300194,0.000640,0.001856,0.000928,0.000384,0.949543
0.415715,0.017152,0.202017,0.004832,0.113729,0.102049,0.063456,0.282274,0.000608,0.002080,0.000960,0.000352,0.931846
0.415779,0.017216,0.202498,0.004832,0.117825,0.100864,0.064129,0.285986,0.000672,0.002336,0.000992,0.000352,0.937319
0.415683,0.017376,0.202657,0.004800,0.116033,0.099457,0.064800,0.283298,0.000608,0.002176,0.000992,0.000384,0.933542
0.432323,0.017504,0.202178,0.004768,0.112704,0.095169,0.062689,0.273634,0.000608,0.002208,0.000928,0.000320,0.939943
0.414371,0.017184,0.203906,0.004768,0.120673,0.102625,0.068320,0.294594,0.000768,0.002176,0.000960,0.000352,0.944935
0.414595,0.017376,0.202433,0.004769,0.115424,0.102209,0.067521,0.287810,0.000736,0.001952,0.000896,0.000288,0.937063
0.415779,0.017345,0.204065,0.004800,0.140289,0.096865,0.067712,0.308386,0.000672,0.002368,0.001056,0.000416,0.961063
0.415619,0.017472,0.202690,0.004768,0.105857,0.099456,0.065153,0.273538,0.000640,0.002176,0.000992,0.000416,0.924583
0.415299,0.017440,0.202209,0.004800,0.113601,0.102785,0.070144,0.289698,0.001056,0.002240,0.000960,0.000384,0.940102
0.415203,0.017344,0.202114,0.004800,0.106880,0.097889,0.064513,0.272386,0.000672,0.002080,0.000928,0.000416,0.921607
0.419555,0.017409,0.201985,0.004832,0.110945,0.092256,0.062208,0.268642,0.000704,0.003008,0.001056,0.000384,0.923815
0.415011,0.017184,0.203713,0.004769,0.112960,0.101057,0.065505,0.282914,0.000704,0.002336,0.001120,0.000480,0.935207
0.415907,0.017249,0.202561,0.004768,0.117217,0.103233,0.065152,0.288610,0.000640,0.002240,0.001056,0.000352,0.939111
0.414851,0.017216,0.220098,0.004992,0.115104,0.101281,0.064321,0.283714,0.000672,0.002208,0.000928,0.000352,0.951207
0.415139,0.017185,0.202977,0.004832,0.124705,0.099201,0.062368,0.289218,0.000704,0.002208,0.000960,0.000416,0.940071
0.414819,0.017600,0.202753,0.004832,0.116352,0.094561,0.063232,0.277313,0.000640,0.002209,0.001056,0.000352,0.927527
0.417027,0.017344,0.202242,0.004768,0.109825,0.095616,0.082945,0.292610,0.000960,0.002912,0.001280,0.000480,0.946951
0.416355,0.017344,0.202337,0.004769,0.113728,0.101601,0.065569,0.283970,0.000640,0.002272,0.001088,0.000384,0.935655
0.414819,0.017441,0.202433,0.004768,0.112513,0.101281,0.064128,0.281250,0.000768,0.002336,0.000992,0.000352,0.931207
0.416067,0.017120,0.202049,0.004768,0.114721,0.097601,0.063488,0.279298,0.000672,0.002176,0.001056,0.000352,0.930119
0.429091,0.017537,0.202593,0.004736,0.119233,0.105889,0.065344,0.293762,0.000704,0.002080,0.001088,0.000384,0.957959
0.414979,0.017472,0.202434,0.004832,0.113664,0.105953,0.065441,0.288418,0.000704,0.002112,0.001120,0.000352,0.938663
0.415203,0.017184,0.204033,0.004864,0.111809,0.104065,0.066496,0.285762,0.000736,0.002176,0.001088,0.000384,0.937318
0.415427,0.017280,0.220802,0.004992,0.140769,0.098657,0.063616,0.306946,0.000704,0.002048,0.001120,0.000352,0.976903
0.416195,0.017184,0.202114,0.004832,0.113056,0.103745,0.065857,0.285826,0.000672,0.002944,0.001152,0.000384,0.937031
0.414979,0.017281,0.202177,0.004800,0.112161,0.105121,0.065856,0.286178,0.000672,0.002080,0.000928,0.000384,0.935655
0.416547,0.017312,0.203073,0.004800,0.113153,0.107937,0.067553,0.291811,0.000704,0.002368,0.001088,0.000384,0.944839
0.415555,0.017280,0.202402,0.004800,0.114625,0.105697,0.067424,0.290754,0.000672,0.002048,0.001120,0.000416,0.940967
0.416163,0.017312,0.202657,0.004801,0.121312,0.103873,0.067617,0.295746,0.000768,0.002176,0.001152,0.000416,0.947175
0.416163,0.017313,0.203585,0.004800,0.114977,0.104129,0.066592,0.288770,0.000704,0.002272,0.001056,0.000384,0.941767
0.428675,0.017376,0.203586,0.004800,0.110144,0.098593,0.065889,0.277794,0.000768,0.002176,0.001056,0.000384,0.943047
0.415363,0.017248,0.202338,0.004768,0.113217,0.097312,0.064673,0.278178,0.000640,0.002368,0.001056,0.000352,0.929159
0.415235,0.017408,0.202433,0.004864,0.116193,0.103745,0.064352,0.287522,0.000800,0.002912,0.001088,0.000384,0.939270
0.415491,0.017440,0.202882,0.004832,0.108801,0.107616,0.071393,0.291138,0.000832,0.002816,0.001088,0.000384,0.942759
0.415395,0.017152,0.202849,0.004800,0.114849,0.105313,0.065728,0.289122,0.000768,0.002208,0.001120,0.000384,0.940455
0.415139,0.017568,0.202370,0.004768,0.114273,0.098112,0.063713,0.279074,0.000608,0.001984,0.000960,0.000384,0.929063
0.415747,0.017312,0.202689,0.004832,0.113345,0.102465,0.064416,0.283842,0.000704,0.002304,0.001056,0.000384,0.935910
0.428067,0.017281,0.203873,0.004864,0.116897,0.104097,0.066400,0.290658,0.000768,0.002336,0.001312,0.000448,0.955751
0.415747,0.017184,0.202465,0.004801,0.114880,0.105793,0.064865,0.288834,0.000640,0.002208,0.001120,0.000704,0.939879
0.414787,0.017217,0.202465,0.004864,0.111841,0.105473,0.063072,0.283490,0.000704,0.002336,0.000992,0.000448,0.932775
0.415683,0.017280,0.219970,0.005056,0.119968,0.105824,0.067585,0.296738,0.000768,0.002176,0.001088,0.000480,0.967463
0.416419,0.017312,0.202337,0.004800,0.115137,0.103937,0.064960,0.287330,0.000608,0.002464,0.001184,0.000352,0.938918
0.416195,0.017248,0.203234,0.004832,0.121569,0.104225,0.071136,0.300674,0.000672,0.002208,0.001152,0.000352,0.953319
0.415459,0.017472,0.202722,0.004864,0.117121,0.107424,0.086017,0.313698,0.000960,0.002720,0.001152,0.000384,0.965415
0.416195,0.017248,0.202401,0.004800,0.118945,0.105025,0.067361,0.294915,0.000704,0.002304,0.001248,0.000384,0.947207
0.415010,0.017248,0.202625,0.004832,0.119329,0.103905,0.067744,0.294242,0.000768,0.002560,0.001248,0.000384,0.945222
0.416323,0.017248,0.202530,0.004800,0.116225,0.103040,0.069025,0.292290,0.000800,0.002464,0.001248,0.000352,0.945639
0.434211,0.017536,0.203042,0.004864,0.118112,0.099009,0.068833,0.289442,0.000704,0.002464,0.001280,0.000384,0.960583
0.416035,0.017280,0.202401,0.004864,0.118497,0.101345,0.067776,0.291106,0.000704,0.002432,0.001248,0.000384,0.943238
0.415779,0.017344,0.202178,0.004832,0.120225,0.097857,0.064704,0.286114,0.000864,0.002432,0.001152,0.000416,0.938247
0.416099,0.017632,0.222818,0.004992,0.118049,0.099648,0.066721,0.289698,0.000832,0.002432,0.001216,0.000352,0.963079
0.415651,0.017376,0.202785,0.004800,0.116641,0.104353,0.070624,0.294786,0.000736,0.002464,0.001344,0.000384,0.947238
0.415619,0.017473,0.202497,0.004800,0.107265,0.097408,0.063968,0.272546,0.000704,0.002368,0.001344,0.000384,0.924231
0.415459,0.017184,0.202497,0.004768,0.115297,0.115361,0.070017,0.304835,0.000768,0.002336,0.001184,0.000384,0.955975
