Layer[0],IN[1],INFER[1-3],OUT[3],TEE[1-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.395980,0.165829,0.573169,0.118596,0.861338,0.052385,0.000608,0.013601,0.000384,0.001568,0.001216,0.000576,1.334216
0.396364,0.156229,0.538704,0.068962,0.767863,0.051458,0.000640,0.013696,0.000384,0.001536,0.001152,0.000608,1.239973
0.395979,0.171173,0.539472,0.066722,0.781496,0.052001,0.000640,0.013633,0.000416,0.001568,0.001152,0.000416,1.256133
0.397228,0.151684,0.552081,0.065410,0.773079,0.051265,0.000576,0.013985,0.000384,0.001536,0.001280,0.000384,1.247429
0.397356,0.169221,0.537904,0.066722,0.777911,0.049250,0.000672,0.013600,0.000416,0.001568,0.001184,0.000416,1.249701
0.396204,0.169317,0.557392,0.078307,0.809208,0.049441,0.000608,0.013537,0.000416,0.001568,0.001120,0.000416,1.279462
0.395788,0.171909,0.541201,0.068066,0.785336,0.049473,0.000640,0.013505,0.000352,0.001568,0.001184,0.000416,1.256198
0.397004,0.166565,0.537936,0.065986,0.774615,0.050498,0.000992,0.013888,0.000416,0.001536,0.001504,0.000416,1.248069
0.424908,0.197093,0.538512,0.067138,0.806743,0.049090,0.000640,0.013504,0.000384,0.001568,0.001344,0.000448,1.306311
0.396588,0.150756,0.536176,0.064994,0.755446,0.050402,0.000672,0.013536,0.000352,0.001536,0.001184,0.000448,1.227076
0.395468,0.167749,0.538000,0.069346,0.778903,0.050369,0.000640,0.013601,0.000320,0.001504,0.001216,0.000416,1.249733
0.396396,0.154148,0.538640,0.066530,0.763606,0.049090,0.000608,0.013600,0.000352,0.001504,0.001216,0.000416,1.233700
0.396331,0.164165,0.540656,0.066690,0.775575,0.051074,0.000672,0.013664,0.000416,0.001504,0.001089,0.000384,1.248773
0.395020,0.153732,0.557360,0.078626,0.794071,0.050466,0.000640,0.013632,0.000384,0.001569,0.001216,0.000448,1.264454
0.396620,0.168997,0.540944,0.069346,0.783031,0.049601,0.000672,0.013505,0.000384,0.001536,0.001216,0.000416,1.255077
0.395723,0.166693,0.536816,0.065474,0.772695,0.049026,0.000672,0.013568,0.000384,0.001472,0.001152,0.000608,1.241860
0.415532,0.172581,0.540432,0.069090,0.785975,0.050274,0.000608,0.013632,0.000352,0.001536,0.001217,0.000672,1.278054
0.395276,0.166725,0.538256,0.066786,0.775863,0.049345,0.000704,0.013601,0.000416,0.001568,0.001280,0.000416,1.245701
0.395564,0.190470,0.538448,0.066050,0.798968,0.071618,0.000704,0.013664,0.000448,0.001472,0.001217,0.000448,1.291975
0.395820,0.164453,0.539056,0.066498,0.773687,0.048577,0.000640,0.013665,0.000416,0.001568,0.001216,0.000416,1.242629
0.394988,0.163685,0.539024,0.066722,0.773271,0.048961,0.000640,0.013537,0.000384,0.001536,0.001120,0.000608,1.241797
0.395596,0.167493,0.557457,0.100323,0.829241,0.048289,0.000608,0.013569,0.000384,0.001536,0.001152,0.000640,1.298279
0.394860,0.152868,0.536911,0.064674,0.758358,0.048994,0.000704,0.013536,0.000384,0.001568,0.001184,0.000416,1.227556
0.395916,0.170405,0.539216,0.067650,0.781207,0.049442,0.000640,0.013536,0.000384,0.001568,0.001280,0.000416,1.251941
0.414188,0.169605,0.536848,0.069506,0.779927,0.050370,0.000672,0.013632,0.000416,0.001568,0.001184,0.000448,1.270405
0.395723,0.164357,0.551441,0.065986,0.785560,0.048705,0.000640,0.013569,0.000416,0.001472,0.001152,0.000448,1.255141
