Layer[0],Layer[1],IN[2],INFER[2-2],OUT[2],TEE[2-2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.395916,0.017825,0.142212,0.516239,0.067874,0.730037,0.005377,0.048481,0.001056,0.013696,0.000416,0.001537,0.001248,0.000352,1.224133
0.395500,0.017569,0.143236,0.530352,0.090338,0.767702,0.005409,0.051009,0.000864,0.013505,0.000384,0.001536,0.001120,0.000608,1.263110
0.395147,0.017217,0.135332,0.513263,0.069058,0.721333,0.005312,0.048962,0.000928,0.013504,0.000384,0.001504,0.001248,0.000352,1.214052
0.395724,0.017472,0.138436,0.526256,0.070018,0.738806,0.005440,0.049250,0.001056,0.013536,0.000352,0.001600,0.001152,0.000384,1.232548
0.431245,0.017473,0.141156,0.512559,0.069826,0.727381,0.005312,0.048418,0.000832,0.013536,0.000384,0.001536,0.001120,0.000576,1.256357
0.395724,0.017729,0.136964,0.513839,0.069538,0.723989,0.005312,0.048258,0.000864,0.013472,0.000352,0.001504,0.001248,0.000384,1.216612
0.395820,0.017760,0.136548,0.526096,0.068898,0.735286,0.005344,0.048642,0.000896,0.014016,0.000352,0.001536,0.001152,0.000416,1.228516
0.396844,0.017664,0.139941,0.513487,0.070146,0.727990,0.005312,0.048226,0.000832,0.013664,0.000384,0.001536,0.001152,0.000640,1.222916
0.395372,0.017441,0.138020,0.513967,0.069250,0.724757,0.005280,0.048738,0.001056,0.013568,0.000384,0.001504,0.001120,0.000384,1.217380
0.396204,0.017504,0.138853,0.531119,0.087555,0.762071,0.005312,0.048546,0.000864,0.013536,0.000352,0.001536,0.001088,0.000352,1.255109
0.395180,0.017825,0.142020,0.528207,0.079331,0.753110,0.011552,0.048514,0.000864,0.013632,0.000384,0.001472,0.001280,0.000416,1.253093
0.394860,0.017697,0.139044,0.512559,0.069570,0.724789,0.005536,0.048578,0.001056,0.014112,0.000384,0.001504,0.001120,0.000416,1.217924
0.394828,0.017728,0.148709,0.512367,0.068578,0.733814,0.005376,0.049378,0.000800,0.013568,0.000416,0.001536,0.001184,0.000384,1.228132
0.395660,0.017633,0.139108,0.513103,0.070306,0.726165,0.005504,0.049026,0.000992,0.013664,0.000448,0.001536,0.001184,0.000608,1.220772
0.398412,0.017920,0.139876,0.514576,0.070210,0.728502,0.005472,0.047969,0.001056,0.013505,0.000416,0.001504,0.001120,0.000384,1.224516
0.396619,0.017664,0.140804,0.512943,0.071363,0.728790,0.007712,0.048641,0.001088,0.013569,0.000352,0.001536,0.001248,0.000384,1.225572
0.395308,0.017568,0.141541,0.514415,0.069890,0.729590,0.005408,0.048674,0.000832,0.013536,0.000384,0.001472,0.001120,0.000480,1.222596
0.394892,0.017729,0.139652,0.532880,0.086754,0.763926,0.005632,0.048162,0.000864,0.013472,0.000384,0.001504,0.001152,0.000608,1.256965
0.395084,0.017664,0.124484,0.523119,0.068738,0.720022,0.005376,0.048257,0.000800,0.013505,0.000384,0.001504,0.001248,0.000352,1.212164
0.394924,0.017536,0.115012,0.509871,0.067906,0.696597,0.005888,0.048289,0.000832,0.013440,0.000416,0.001504,0.001120,0.000384,1.189123
0.395148,0.017632,0.172102,0.539376,0.068514,0.785208,0.008128,0.048129,0.000864,0.013505,0.000416,0.001504,0.001216,0.000576,1.281222
0.395755,0.017888,0.140388,0.515152,0.070018,0.729270,0.005472,0.048193,0.001056,0.013537,0.000384,0.001536,0.001024,0.000704,1.223044
0.394731,0.017729,0.140836,0.510447,0.067522,0.722517,0.005409,0.049505,0.001088,0.013696,0.000448,0.001536,0.001184,0.000320,1.216228
0.411468,0.017696,0.140644,0.526927,0.076002,0.747286,0.005601,0.048513,0.001024,0.013632,0.000448,0.001792,0.001184,0.000448,1.257766
0.394987,0.017729,0.137796,0.512943,0.069762,0.724469,0.005377,0.048897,0.001024,0.013504,0.000416,0.001505,0.001120,0.000608,1.217604
0.394347,0.017601,0.125315,0.513103,0.102819,0.745654,0.005536,0.048769,0.000865,0.013568,0.000384,0.001568,0.001088,0.000416,1.237733
0.394860,0.017760,0.138244,0.513104,0.068930,0.724022,0.005344,0.051233,0.001056,0.013569,0.000384,0.001536,0.001216,0.000608,1.219524
0.394859,0.017600,0.140228,0.527376,0.074210,0.745750,0.005440,0.048290,0.001024,0.013600,0.000384,0.001408,0.001184,0.000448,1.238372
0.395084,0.017568,0.136516,0.559377,0.081346,0.781623,0.005633,0.048673,0.000832,0.013536,0.000352,0.001505,0.001184,0.000384,1.274310
0.394892,0.017472,0.142501,0.526383,0.067682,0.740118,0.005376,0.051650,0.001056,0.013504,0.000448,0.001472,0.001152,0.000577,1.235621
0.395020,0.017312,0.138725,0.511055,0.068034,0.721654,0.005440,0.048321,0.000832,0.013473,0.000416,0.001504,0.001152,0.000384,1.213732
0.414380,0.017729,0.139524,0.513455,0.068770,0.725397,0.005440,0.048098,0.000832,0.013504,0.000384,0.001504,0.001184,0.000416,1.237156
0.395852,0.017664,0.147429,0.514159,0.069250,0.734550,0.005632,0.049890,0.001024,0.013568,0.000416,0.001504,0.001216,0.000320,1.229572
0.397068,0.017505,0.139652,0.524304,0.069058,0.736982,0.005632,0.066370,0.000864,0.013600,0.000416,0.001536,0.001248,0.000416,1.251878
0.395564,0.017473,0.145284,0.525168,0.076354,0.750294,0.005504,0.048002,0.001088,0.013824,0.000416,0.001696,0.001216,0.000448,1.243621
0.396396,0.017504,0.145189,0.512463,0.072482,0.733910,0.005568,0.049250,0.000832,0.013536,0.000384,0.001600,0.001248,0.000448,1.228644
0.394924,0.017921,0.138180,0.546320,0.071714,0.760342,0.005568,0.048834,0.000896,0.013856,0.000448,0.001536,0.001152,0.000672,1.254661
0.395436,0.017504,0.141221,0.513423,0.071458,0.730038,0.007520,0.048866,0.000864,0.013536,0.000416,0.001504,0.001152,0.000608,1.225604
0.395212,0.017537,0.135044,0.513103,0.069442,0.721141,0.005504,0.048609,0.001057,0.013440,0.000352,0.001536,0.001088,0.000416,1.213828
0.411372,0.017536,0.142853,0.522255,0.070562,0.739542,0.005601,0.048193,0.001024,0.013472,0.000384,0.001536,0.001120,0.000384,1.248453
0.394892,0.017536,0.137444,0.522448,0.071426,0.734806,0.005600,0.049666,0.000832,0.013504,0.000416,0.001408,0.001216,0.000480,1.228068
0.394860,0.017888,0.137124,0.513648,0.068610,0.723222,0.005664,0.047809,0.000832,0.013537,0.000384,0.001536,0.001216,0.000448,1.215396
0.394604,0.017568,0.136964,0.512559,0.068962,0.722262,0.005440,0.049153,0.001120,0.013568,0.000448,0.001568,0.001216,0.000416,1.215428
0.396332,0.017536,0.137668,0.513040,0.071138,0.725782,0.005376,0.049121,0.001024,0.013473,0.000416,0.001568,0.001216,0.000672,1.221380
0.394764,0.017696,0.139108,0.545040,0.083362,0.771255,0.009312,0.048802,0.001024,0.013568,0.000384,0.001600,0.001248,0.000448,1.267973
0.395596,0.017665,0.134692,0.526319,0.069698,0.734325,0.005728,0.048257,0.000832,0.013696,0.000384,0.001408,0.001153,0.000448,1.227461
0.395532,0.017537,0.133668,0.511919,0.068354,0.717653,0.005408,0.048609,0.000832,0.013537,0.000384,0.001536,0.001248,0.000640,1.210500
0.411980,0.017601,0.138404,0.524335,0.076035,0.742518,0.005856,0.048545,0.001088,0.013633,0.000416,0.001440,0.001216,0.000640,1.253445
0.397388,0.017440,0.124740,0.510767,0.070882,0.709845,0.005856,0.048257,0.000832,0.013408,0.000384,0.001504,0.001121,0.000672,1.204996
0.395116,0.017665,0.137796,0.513039,0.072130,0.726549,0.005376,0.051490,0.000832,0.013440,0.000352,0.001473,0.001184,0.000480,1.221637
0.395915,0.017536,0.140964,0.515600,0.069474,0.730038,0.005216,0.052705,0.001024,0.014145,0.000384,0.001504,0.001760,0.000384,1.230308
0.395628,0.017953,0.136420,0.512591,0.067810,0.720661,0.005440,0.048834,0.000832,0.013536,0.000384,0.001472,0.001216,0.000480,1.214372
0.396076,0.017665,0.135620,0.531664,0.087522,0.759094,0.005440,0.048354,0.001056,0.013568,0.000384,0.001472,0.001312,0.000672,1.253990
0.395724,0.017665,0.139972,0.513935,0.070498,0.728405,0.005408,0.048802,0.001056,0.013568,0.000384,0.001440,0.001216,0.000385,1.222309
0.396075,0.017760,0.138340,0.511471,0.068834,0.722549,0.005505,0.048673,0.001056,0.013665,0.000384,0.001504,0.001248,0.000384,1.217316
0.395499,0.018465,0.136676,0.513007,0.068962,0.722197,0.005408,0.048066,0.000800,0.013792,0.000384,0.001504,0.001152,0.000672,1.238788
0.394539,0.017473,0.133604,0.513391,0.068546,0.719541,0.005536,0.048386,0.000864,0.013568,0.000384,0.001504,0.001248,0.000352,1.211492
0.395820,0.017313,0.137124,0.513999,0.069890,0.724981,0.005504,0.049666,0.000864,0.013664,0.000416,0.001536,0.001216,0.000672,1.219716
0.394635,0.017377,0.137380,0.510607,0.070018,0.721525,0.005312,0.048162,0.000864,0.013632,0.000416,0.001536,0.001120,0.000352,1.212708
0.409197,0.017568,0.132676,0.522352,0.072578,0.731414,0.005344,0.048801,0.001056,0.013473,0.000384,0.001504,0.001312,0.000640,1.239589
