Layer[0],Layer[1],IN[2],INFER[2-6],OUT[6],TEE[2-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.397451,0.017889,0.128964,0.587217,0.077122,0.797143,0.000736,0.002816,0.001280,0.000416,1.224932
0.396172,0.017696,0.122148,0.596242,0.066562,0.788280,0.000736,0.004768,0.001120,0.000512,1.233221
0.395883,0.017729,0.138852,0.584049,0.066370,0.792823,0.000736,0.002977,0.001152,0.000448,1.218244
0.396492,0.017728,0.137188,0.595122,0.067906,0.803800,0.000800,0.004672,0.001408,0.000256,1.231780
0.397772,0.017793,0.137508,0.609810,0.074658,0.825848,0.000736,0.002976,0.001216,0.000384,1.252549
0.399020,0.018016,0.136868,0.585810,0.066530,0.792536,0.001056,0.003200,0.001248,0.000320,1.221156
0.396332,0.017856,0.136805,0.582737,0.068866,0.792088,0.000704,0.003072,0.001376,0.000416,1.218500
0.418860,0.017696,0.139716,0.597330,0.068098,0.808376,0.000704,0.003008,0.001376,0.000384,1.256549
0.395916,0.018176,0.135812,0.584337,0.065345,0.788823,0.000768,0.003072,0.001536,0.000384,1.214788
0.399148,0.017440,0.135620,0.581106,0.071330,0.791320,0.000992,0.002656,0.001088,0.000384,1.219268
0.398284,0.020961,0.127876,0.588529,0.072578,0.792951,0.001088,0.002656,0.001216,0.000384,1.224324
0.396620,0.017793,0.117667,0.586578,0.073986,0.782039,0.001056,0.002976,0.001088,0.000480,1.208004
0.397643,0.017537,0.120899,0.597265,0.088611,0.810936,0.000864,0.002944,0.001248,0.000352,1.239013
0.396012,0.017568,0.122340,0.584913,0.065666,0.776599,0.000736,0.002848,0.001056,0.000352,1.200228
0.397004,0.017568,0.119780,0.585201,0.064546,0.773655,0.001024,0.003008,0.001376,0.000352,1.200227
0.396972,0.017568,0.120548,0.614962,0.080610,0.820281,0.000896,0.002944,0.001216,0.000352,1.246789
0.396332,0.017761,0.130755,0.585042,0.065218,0.784759,0.000832,0.002688,0.000992,0.000384,1.209668
0.396267,0.017729,0.135428,0.583921,0.068034,0.791351,0.000992,0.002497,0.001184,0.000416,1.216612
0.410668,0.017537,0.114947,0.587378,0.067042,0.773015,0.001056,0.003200,0.001120,0.000384,1.212996
0.395852,0.017409,0.137860,0.596817,0.063874,0.802007,0.001024,0.004481,0.000960,0.000352,1.227845
0.396267,0.017409,0.148036,0.586354,0.069506,0.807576,0.000800,0.002752,0.001344,0.000480,1.233092
0.396140,0.017408,0.120996,0.596241,0.072738,0.793880,0.000704,0.003040,0.001056,0.000512,1.218532
0.395851,0.017601,0.130628,0.584625,0.066178,0.785655,0.001024,0.003232,0.001088,0.000512,1.212291
0.395980,0.017376,0.120484,0.614898,0.085923,0.825689,0.000768,0.002624,0.001088,0.000320,1.249381
0.397676,0.017377,0.114339,0.584529,0.065281,0.768022,0.001024,0.003104,0.000992,0.000352,1.193700
0.395115,0.017601,0.127396,0.583601,0.066786,0.781303,0.000800,0.004128,0.001184,0.000352,1.207043
0.396044,0.017536,0.123780,0.600722,0.108835,0.837209,0.000864,0.003136,0.001120,0.000416,1.262501
0.395852,0.017376,0.133572,0.594578,0.066754,0.798584,0.000640,0.002464,0.000992,0.000384,1.222052
0.396171,0.017761,0.132420,0.599250,0.064257,0.799224,0.000768,0.002432,0.001120,0.000384,1.223780
0.412333,0.017728,0.136516,0.600370,0.067938,0.809112,0.000736,0.002592,0.001216,0.000384,1.252005
0.395467,0.017505,0.135748,0.599026,0.066498,0.804760,0.000704,0.002528,0.001056,0.000448,1.228772
0.396651,0.017313,0.127140,0.593777,0.065986,0.790711,0.000672,0.002400,0.001056,0.000384,1.214660
0.395723,0.017281,0.121508,0.595473,0.071042,0.791319,0.000992,0.003585,0.001120,0.000448,1.217444
0.395468,0.017280,0.129636,0.584882,0.065218,0.783288,0.000992,0.003072,0.001056,0.000384,1.207236
0.395340,0.017377,0.130723,0.610579,0.072066,0.818744,0.000832,0.003136,0.001248,0.000352,1.244261
0.395692,0.017408,0.130980,0.583569,0.063650,0.781495,0.000736,0.003104,0.001280,0.000416,1.205475
0.395276,0.017921,0.120803,0.581714,0.063713,0.769910,0.000768,0.003104,0.001280,0.000416,1.195396
0.395563,0.017536,0.129092,0.601330,0.080450,0.814936,0.000672,0.002816,0.001152,0.000448,1.239556
0.396076,0.017440,0.120004,0.584017,0.068994,0.776759,0.000704,0.003009,0.001184,0.000352,1.201796
0.397227,0.017761,0.132036,0.586769,0.065826,0.788695,0.000704,0.002720,0.001120,0.000384,1.215299
0.430828,0.017761,0.161605,0.598642,0.072322,0.835993,0.000992,0.002784,0.001280,0.000384,1.296166
0.396556,0.017440,0.117636,0.583345,0.062658,0.766807,0.000832,0.005088,0.001120,0.000384,1.194083
0.396236,0.017441,0.134980,0.583697,0.084066,0.806295,0.001088,0.002817,0.001088,0.000384,1.231781
0.395435,0.018049,0.135492,0.583409,0.065986,0.788151,0.001024,0.002912,0.001280,0.000384,1.213091
0.395820,0.018017,0.134564,0.582929,0.065218,0.786007,0.000768,0.002656,0.001184,0.000352,1.210564
0.395980,0.017376,0.156357,0.625810,0.081506,0.867770,0.000672,0.005056,0.001056,0.000384,1.294534
0.395564,0.017344,0.125060,0.591153,0.064962,0.784599,0.000736,0.002880,0.001280,0.000385,1.208516
0.395180,0.017377,0.133156,0.582545,0.070210,0.789271,0.000704,0.005024,0.001216,0.000384,1.215172
0.427148,0.018337,0.176197,0.606738,0.079299,0.867578,0.001152,0.003904,0.002432,0.000544,1.330471
0.399180,0.018080,0.156933,0.589905,0.071651,0.822937,0.001184,0.003168,0.002816,0.000576,1.256997
0.396555,0.017824,0.137284,0.604402,0.084547,0.830745,0.000800,0.002752,0.001696,0.000416,1.257253
0.396428,0.017665,0.131108,0.585265,0.064930,0.784695,0.000736,0.002880,0.001504,0.000352,1.210052
0.396172,0.017857,0.137668,0.585041,0.066210,0.792727,0.000832,0.004608,0.001152,0.000352,1.219844
0.395660,0.017600,0.135908,0.612754,0.078850,0.830809,0.000832,0.002816,0.001344,0.000384,1.255141
0.395468,0.017760,0.119715,0.582929,0.064450,0.770550,0.000768,0.003072,0.001216,0.000449,1.194980
0.395852,0.017761,0.133124,0.584753,0.065954,0.787063,0.000832,0.003200,0.001120,0.000320,1.212132
0.415660,0.017793,0.118820,0.592177,0.073026,0.787639,0.001024,0.003424,0.001120,0.000417,1.232677
0.395692,0.017793,0.131139,0.593810,0.064962,0.793143,0.000768,0.004800,0.001088,0.000352,1.219268
0.396716,0.017569,0.133508,0.595249,0.066754,0.798935,0.000736,0.003008,0.001248,0.000384,1.224645
0.396556,0.017504,0.134308,0.593298,0.067234,0.798968,0.000800,0.002720,0.001536,0.000480,1.225508
0.395532,0.017857,0.123363,0.582257,0.069155,0.777879,0.000736,0.002432,0.001344,0.000352,1.202628
0.396748,0.017696,0.121508,0.600530,0.111235,0.836729,0.000736,0.002784,0.001344,0.000320,1.262501
0.395788,0.017664,0.138276,0.593970,0.066082,0.801880,0.000640,0.004736,0.001216,0.000416,1.228580
0.395820,0.017825,0.138564,0.585873,0.072578,0.800439,0.000736,0.004992,0.001312,0.000448,1.227557
0.396107,0.018337,0.157157,0.607058,0.066914,0.834681,0.001024,0.002816,0.001152,0.000352,1.259877
0.395307,0.017985,0.140836,0.584978,0.065441,0.795320,0.000768,0.003200,0.001248,0.000352,1.220196
0.395467,0.017793,0.118371,0.593234,0.063138,0.778071,0.000768,0.004736,0.001120,0.000416,1.203971
0.414060,0.017825,0.122755,0.590705,0.065442,0.782263,0.001024,0.005152,0.001184,0.000416,1.228452
0.395627,0.017857,0.127364,0.579121,0.063202,0.773015,0.000736,0.005120,0.001344,0.000384,1.199875
0.396076,0.018112,0.123460,0.582609,0.087459,0.797560,0.000736,0.002688,0.001280,0.000416,1.223140
0.396780,0.017728,0.131428,0.582545,0.066401,0.783736,0.000768,0.005024,0.001280,0.000448,1.211524
0.398476,0.018177,0.178469,0.597298,0.077378,0.858329,0.001152,0.004608,0.002784,0.000576,1.294054
0.397260,0.020929,0.170405,0.611602,0.081090,0.868537,0.001280,0.003937,0.002816,0.000544,1.304711
