IN[0],INFER[0-1],OUT[1],TEE[0-1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.150437,1.016574,0.072418,1.246149,0.193286,0.005184,0.048450,0.000608,0.013920,0.000384,0.001472,0.001376,0.000416,1.515949
0.147012,1.036191,0.075810,1.264933,0.193733,0.005568,0.047554,0.000640,0.013504,0.000320,0.001408,0.001600,0.000416,1.534510
0.145156,1.016095,0.066274,1.233157,0.193093,0.005153,0.048385,0.000608,0.013536,0.000320,0.001472,0.001376,0.000384,1.502445
0.133604,1.034047,0.085411,1.260390,0.196806,0.005088,0.048033,0.000608,0.013505,0.000320,0.001440,0.001120,0.000384,1.533358
0.150597,1.017086,0.068002,1.242405,0.193318,0.005088,0.047554,0.000608,0.013568,0.000352,0.001536,0.001120,0.000448,1.510701
0.148325,1.035007,0.087075,1.276647,0.193285,0.005057,0.048257,0.000608,0.013600,0.000352,0.001505,0.001152,0.000352,1.546063
0.144644,1.017566,0.071106,1.239045,0.193125,0.005121,0.047937,0.000576,0.013569,0.000352,0.001472,0.001152,0.000416,1.507597
0.152581,1.016414,0.068418,1.244421,0.193542,0.005568,0.048258,0.000608,0.013600,0.000384,0.001472,0.001216,0.000352,1.514349
0.148996,1.016894,0.070722,1.243173,0.193158,0.005600,0.048322,0.000576,0.014432,0.000384,0.001408,0.001216,0.000384,1.513581
0.139556,1.017950,0.070402,1.235332,0.193350,0.005568,0.048546,0.000576,0.013824,0.000352,0.001472,0.001504,0.000352,1.506413
0.133124,1.031423,0.080578,1.252485,0.197382,0.005568,0.048450,0.000576,0.013760,0.000640,0.001504,0.001408,0.000417,1.528142
0.135236,1.015006,0.067746,1.224516,0.196134,0.005664,0.048322,0.000608,0.013536,0.000384,0.001440,0.001184,0.000416,1.497068
0.150052,1.034111,0.087331,1.278374,0.193478,0.005312,0.048193,0.000640,0.013537,0.000320,0.001472,0.001664,0.000384,1.548270
0.150021,1.017406,0.068258,1.242629,0.193574,0.009505,0.049089,0.000672,0.013664,0.000352,0.001441,0.001216,0.000416,1.517390
0.149188,1.030783,0.069442,1.255045,0.195910,0.005152,0.048226,0.000608,0.013728,0.000352,0.001408,0.001248,0.000416,1.526925
0.133188,1.017150,0.071234,1.228260,0.192934,0.005088,0.048930,0.000608,0.013728,0.000352,0.001408,0.001152,0.000416,1.497580
0.154532,1.017855,0.072034,1.251045,0.193062,0.005184,0.047905,0.000641,0.013728,0.000352,0.001504,0.001216,0.000384,1.519757
0.145572,1.015711,0.066018,1.232709,0.193189,0.005184,0.047745,0.000672,0.013632,0.000384,0.001472,0.001153,0.000448,1.501325
0.150308,1.019615,0.071874,1.248261,0.193574,0.005632,0.049282,0.000608,0.013600,0.000352,0.001376,0.001408,0.000416,1.519853
0.138020,1.035007,0.080418,1.261285,0.193734,0.005184,0.048482,0.000576,0.013536,0.000672,0.001408,0.001632,0.000384,1.532558
0.149156,1.017407,0.076098,1.249413,0.192998,0.005152,0.048258,0.000608,0.013600,0.000384,0.001440,0.001152,0.000416,1.518413
0.133092,1.033023,0.071266,1.243493,0.194917,0.005601,0.049057,0.000544,0.013440,0.000576,0.001441,0.001120,0.000384,1.515310
0.156229,1.016606,0.069986,1.249253,0.193030,0.005536,0.048642,0.000576,0.013632,0.000384,0.001472,0.001120,0.000384,1.519469
0.144228,1.033183,0.073506,1.258021,0.197990,0.005504,0.047938,0.000608,0.013984,0.000608,0.001408,0.001152,0.000416,1.532686
0.148132,1.019423,0.070626,1.244485,0.192838,0.005376,0.047905,0.000576,0.013889,0.000384,0.001472,0.001152,0.000352,1.513453
0.133924,1.016958,0.069154,1.226084,0.193030,0.005120,0.047746,0.000672,0.013696,0.000352,0.001472,0.001184,0.000416,1.494572
0.131812,1.015422,0.071234,1.225028,0.195014,0.005088,0.048290,0.000608,0.013568,0.000384,0.001440,0.001632,0.000416,1.496333
0.155557,1.018430,0.072770,1.254021,0.192742,0.005088,0.048674,0.000704,0.014048,0.000352,0.001408,0.001728,0.000384,1.524237
0.155108,1.034143,0.078851,1.275142,0.194406,0.005184,0.048481,0.000608,0.013665,0.000352,0.001440,0.001216,0.000384,1.546158
0.153349,1.017342,0.071171,1.249254,0.193253,0.005313,0.047873,0.000672,0.013696,0.000320,0.001408,0.001665,0.000448,1.518734
0.151621,1.033567,0.081090,1.273382,0.193702,0.009536,0.048098,0.000640,0.014176,0.000640,0.001472,0.001376,0.000384,1.548142
0.150116,1.017695,0.072962,1.247813,0.194150,0.005632,0.049089,0.000640,0.013568,0.000352,0.001472,0.001376,0.000416,1.519405
0.152165,1.034367,0.078626,1.271942,0.193286,0.005536,0.049026,0.000576,0.014016,0.000352,0.001472,0.001088,0.000416,1.542702
0.227783,1.028670,0.076835,1.346985,0.199942,0.005792,0.049153,0.001088,0.014849,0.000576,0.002048,0.003520,0.000832,1.631441
0.159397,1.024063,0.073154,1.264326,0.218918,0.005664,0.048545,0.000832,0.014305,0.000352,0.001664,0.002464,0.000608,1.564271
0.178757,1.020319,0.068738,1.275302,0.195590,0.005344,0.048737,0.000832,0.014241,0.000672,0.001440,0.001792,0.000704,1.550030
0.158373,1.017918,0.068418,1.251141,0.194950,0.005120,0.048898,0.000864,0.014848,0.000640,0.001472,0.001824,0.000608,1.525294
0.154725,1.018334,0.066914,1.245989,0.194918,0.005120,0.048194,0.000832,0.014176,0.000352,0.001504,0.001217,0.000416,1.517742
