Layer[0],Layer[1],Layer[2],TEE[3-7],Layer[8],Layer[9],Layer[10],classifier
0.421041,0.017569,0.203176,0.258922,0.002336,0.000960,0.000320,0.912676
0.417872,0.017793,0.202984,0.259274,0.002592,0.001216,0.000416,0.911171
0.417104,0.017633,0.202824,0.249482,0.002304,0.001216,0.000384,0.897827
0.417072,0.017729,0.202984,0.255242,0.002592,0.001024,0.000320,0.904004
0.421073,0.017248,0.219176,0.256362,0.002432,0.001024,0.000352,0.925316
0.418288,0.017665,0.203400,0.243306,0.002400,0.001056,0.000352,0.893667
0.422609,0.017697,0.203144,0.254506,0.002400,0.001024,0.000352,0.909668
0.417168,0.017696,0.202632,0.250666,0.002464,0.000992,0.000448,0.898979
0.417424,0.017537,0.204520,0.246986,0.002176,0.001152,0.000384,0.897379
0.424144,0.017664,0.203240,0.261195,0.002432,0.000992,0.000384,0.917060
0.415568,0.017473,0.203464,0.267819,0.002464,0.001184,0.000416,0.915780
0.417937,0.017761,0.222408,0.250826,0.002784,0.001185,0.000608,0.922981
0.417680,0.017600,0.203944,0.270283,0.002688,0.000864,0.000352,0.919460
0.416784,0.017441,0.202920,0.260074,0.002208,0.000992,0.000352,0.907235
0.417233,0.017697,0.202824,0.258026,0.002528,0.000928,0.000416,0.907780
0.417041,0.017472,0.203112,0.264395,0.002304,0.001024,0.000608,0.914372
0.419440,0.017696,0.202536,0.257546,0.002624,0.001088,0.000416,0.908516
0.417424,0.017377,0.202664,0.265162,0.002241,0.001056,0.000608,0.913668
0.435089,0.017856,0.203432,0.257546,0.002272,0.001185,0.000576,0.926373
0.416240,0.017697,0.203304,0.262858,0.002176,0.001024,0.000416,0.910179
0.416913,0.017824,0.203783,0.264362,0.002304,0.001184,0.000352,0.914692
0.416496,0.017665,0.203080,0.301676,0.002784,0.001344,0.000384,0.951781
0.417104,0.017856,0.203464,0.251146,0.002496,0.001216,0.000608,0.901411
0.417137,0.020833,0.202568,0.269418,0.002720,0.001184,0.000352,0.921317
0.416976,0.017601,0.202696,0.263050,0.002336,0.001056,0.000352,0.910147
0.435953,0.017441,0.203080,0.267594,0.002272,0.001024,0.000384,0.934020
0.416753,0.017632,0.202856,0.259051,0.002368,0.001056,0.000352,0.906660
0.417585,0.017504,0.202472,0.262379,0.002336,0.001024,0.000352,0.909828
0.421809,0.018240,0.218025,0.259818,0.002272,0.001120,0.000384,0.928868
0.416944,0.017313,0.203176,0.245577,0.002272,0.001120,0.000385,0.893571
