Layer[0],Layer[1],Layer[2],Layer[3],TEE[4-7],Layer[8],Layer[9],Layer[10],classifier
0.420496,0.017729,0.202312,0.004864,0.264299,0.002848,0.001088,0.000608,0.922340
0.416912,0.017792,0.203464,0.005185,0.240105,0.002400,0.001216,0.000384,0.895971
0.420273,0.017665,0.202792,0.005056,0.254346,0.002304,0.001024,0.000416,0.911428
0.415217,0.017793,0.202695,0.005088,0.246889,0.002241,0.000992,0.000352,0.898116
0.434033,0.017729,0.202664,0.005280,0.281067,0.002336,0.000992,0.000672,0.952389
0.415920,0.017633,0.202600,0.005056,0.244202,0.002208,0.000960,0.000384,0.897347
0.421616,0.017601,0.202408,0.005088,0.256394,0.002368,0.000992,0.000384,0.914467
0.416657,0.017696,0.202120,0.005121,0.269098,0.002272,0.001056,0.000352,0.921924
0.421296,0.017473,0.202280,0.005280,0.252362,0.002368,0.000992,0.000352,0.909347
0.417392,0.017729,0.202856,0.005056,0.251626,0.002496,0.001216,0.000576,0.907299
0.419889,0.017888,0.202120,0.005184,0.245513,0.002176,0.000960,0.000320,0.901219
0.436050,0.017920,0.205320,0.005313,0.247721,0.002401,0.001184,0.000576,0.925573
0.417808,0.017793,0.202344,0.005024,0.248298,0.002432,0.001248,0.000672,0.902979
0.421648,0.017920,0.202760,0.005216,0.259627,0.002368,0.001056,0.000576,0.918756
0.421009,0.017600,0.219305,0.005152,0.258890,0.002432,0.000992,0.000352,0.933669
0.417649,0.017824,0.202440,0.005057,0.253386,0.002432,0.001024,0.000416,0.908196
0.417201,0.017472,0.202440,0.005057,0.246377,0.002592,0.001280,0.000576,0.900579
0.416240,0.017857,0.202568,0.005216,0.256106,0.002272,0.000992,0.000384,0.908739
0.422225,0.017569,0.202152,0.005248,0.260074,0.002368,0.001216,0.000608,0.919204
0.417680,0.017792,0.202056,0.005216,0.255306,0.002305,0.001248,0.000608,0.909412
0.416945,0.017440,0.202024,0.005313,0.251721,0.002176,0.001248,0.000576,0.904708
0.417072,0.017760,0.221897,0.005152,0.247626,0.002272,0.001184,0.000384,0.921572
0.416656,0.017761,0.203240,0.005248,0.243050,0.002240,0.000960,0.000384,0.896963
0.416401,0.017632,0.202184,0.004768,0.253610,0.002369,0.000960,0.000832,0.905764
0.416657,0.017472,0.202376,0.004833,0.230633,0.002336,0.001024,0.000608,0.882787
0.416977,0.017664,0.203592,0.004897,0.259530,0.002496,0.000960,0.000576,0.914468
0.417233,0.017536,0.202055,0.005345,0.241417,0.002304,0.000896,0.000352,0.894083
0.416016,0.017665,0.202280,0.005088,0.257226,0.002336,0.000960,0.000416,0.909539
0.416368,0.017633,0.219528,0.005217,0.234953,0.002400,0.001280,0.000608,0.905731
0.422065,0.017633,0.202696,0.004832,0.252330,0.002240,0.000928,0.000544,0.909924
0.414992,0.017505,0.202024,0.005152,0.244874,0.002240,0.001216,0.000384,0.895779
0.418288,0.017569,0.203528,0.005152,0.255594,0.002432,0.001120,0.000608,0.913028
0.416977,0.017536,0.202920,0.005281,0.239593,0.002368,0.000960,0.000608,0.893987
0.417233,0.017537,0.202280,0.005280,0.237417,0.002304,0.000960,0.000608,0.891523
0.416432,0.017696,0.202408,0.005312,0.245066,0.002368,0.000992,0.000384,0.898691
0.417136,0.017569,0.214984,0.005185,0.236169,0.002240,0.001280,0.000384,0.902595
0.417456,0.017505,0.202856,0.004864,0.246378,0.002496,0.001024,0.000608,0.901059
0.415920,0.017729,0.202760,0.004832,0.241289,0.002209,0.000992,0.000384,0.893315
0.416592,0.017569,0.201832,0.005056,0.246762,0.002144,0.000960,0.000608,0.898659
0.421712,0.017665,0.202504,0.005056,0.258858,0.002144,0.000992,0.000416,0.916707
0.416560,0.017569,0.202312,0.005312,0.256714,0.002336,0.000992,0.000416,0.908899
0.415153,0.017696,0.202920,0.005089,0.260170,0.002528,0.001088,0.000416,0.912996
0.416657,0.017889,0.218216,0.005120,0.261163,0.002592,0.000992,0.000352,0.930661
0.421233,0.017568,0.202632,0.005345,0.247305,0.002529,0.001216,0.000576,0.906372
0.416912,0.017728,0.202440,0.005216,0.242570,0.002272,0.001152,0.000544,0.896195
0.421456,0.017761,0.202216,0.005120,0.249162,0.002592,0.001184,0.000576,0.908483
0.416656,0.017761,0.202408,0.005312,0.247466,0.002560,0.001024,0.000608,0.901219
0.416752,0.017665,0.202568,0.005088,0.242250,0.002240,0.000960,0.000608,0.895459
0.423057,0.017825,0.202280,0.005248,0.263050,0.002464,0.001152,0.000608,0.921893
0.437105,0.017889,0.203144,0.005344,0.263563,0.002176,0.001088,0.000608,0.938373
0.421009,0.017665,0.202952,0.005344,0.257226,0.002368,0.001248,0.000576,0.916100
0.416145,0.017760,0.202536,0.005089,0.258890,0.003040,0.001184,0.000384,0.913572
0.416720,0.017889,0.202536,0.005120,0.279595,0.002560,0.001152,0.000385,0.934245
0.421841,0.017728,0.202888,0.005249,0.259978,0.002624,0.000960,0.000384,0.919268
0.416784,0.017697,0.202088,0.005280,0.259018,0.002177,0.001056,0.000576,0.912420
0.421521,0.017537,0.202535,0.005249,0.252074,0.002656,0.000992,0.000608,0.910852
0.440050,0.017760,0.202184,0.005249,0.253225,0.002177,0.001344,0.000352,0.930245
0.421137,0.017568,0.202632,0.005249,0.255914,0.002528,0.001216,0.000384,0.914436
0.422352,0.017664,0.202824,0.005248,0.255242,0.002272,0.001056,0.000384,0.914852
0.417233,0.017665,0.202279,0.005441,0.268234,0.002368,0.001280,0.000608,0.922692
0.416176,0.017761,0.202344,0.005056,0.245993,0.002560,0.001056,0.000608,0.898915
0.419025,0.017665,0.203688,0.005344,0.255626,0.002688,0.001184,0.000416,0.914724
0.417488,0.017697,0.202856,0.005344,0.256234,0.002368,0.001056,0.000416,0.911011
0.441009,0.017793,0.203496,0.005056,0.264427,0.002464,0.001056,0.000576,0.943621
0.417072,0.017793,0.202792,0.005056,0.245834,0.002368,0.001056,0.000576,0.899683
0.416720,0.017665,0.202664,0.005248,0.246506,0.002656,0.001056,0.000384,0.900515
