IN[0],INFER[0-7],OUT[7],TEE[0-7],Layer[8],Layer[9],Layer[10],classifier
0.143108,1.583247,0.070626,1.803093,0.003616,0.001216,0.000416,1.810485
0.150148,1.565935,0.068738,1.791989,0.002784,0.001024,0.000352,1.798453
0.137188,1.586095,0.078530,1.809493,0.003393,0.001216,0.000384,1.818198
0.150757,1.570158,0.066818,1.795221,0.002688,0.001152,0.000352,1.801910
0.148901,1.584911,0.075330,1.816086,0.003232,0.001248,0.000416,1.823222
0.148612,1.566063,0.067138,1.787189,0.002656,0.001056,0.000416,1.793525
0.177349,1.585615,0.072066,1.842134,0.003328,0.001216,0.000384,1.849463
0.147684,1.564911,0.065570,1.783989,0.003200,0.001120,0.000384,1.790965
0.151589,1.585071,0.073250,1.817046,0.003136,0.001248,0.000416,1.824342
0.139684,1.565199,0.068514,1.780085,0.003264,0.001280,0.000384,1.787381
0.133412,1.594735,0.069474,1.804661,0.005568,0.001216,0.000416,1.814486
0.132132,1.566639,0.070306,1.776565,0.004960,0.001216,0.000384,1.785429
0.148101,1.583471,0.075138,1.814166,0.003360,0.001216,0.000512,1.823094
0.108387,1.567534,0.065410,1.748084,0.003168,0.001216,0.000448,1.755412
0.149765,1.586767,0.075970,1.819990,0.003297,0.001280,0.000448,1.828727
0.131076,1.572783,0.067074,1.777813,0.002624,0.001088,0.000416,1.784117
0.129572,1.596208,0.079074,1.812054,0.005664,0.001152,0.000416,1.822902
0.134276,1.572142,0.066146,1.780629,0.002656,0.001216,0.000384,1.787221
0.173157,1.601552,0.072130,1.853815,0.003328,0.001120,0.000448,1.861047
0.151013,1.567310,0.068450,1.794165,0.003872,0.001088,0.000416,1.802710
0.150245,1.566830,0.067522,1.792565,0.003136,0.001216,0.000416,1.800022
0.149061,1.577103,0.070498,1.803990,0.005600,0.001184,0.000416,1.813526
0.148517,1.566350,0.067202,1.788917,0.003200,0.001024,0.000384,1.795989
0.149444,1.573646,0.110916,1.841463,0.003296,0.001120,0.000448,1.849143
0.148900,1.565039,0.066562,1.786773,0.003168,0.001152,0.000384,1.794101
0.143557,1.598127,0.095299,1.843831,0.004544,0.001120,0.000480,1.852887
0.142788,1.565327,0.063458,1.777205,0.002720,0.000992,0.000448,1.783509
0.170181,1.585615,0.121796,1.884728,0.004352,0.001088,0.000544,1.892888
0.148228,1.565967,0.066210,1.787509,0.002592,0.001024,0.000384,1.793749
0.154373,1.596015,0.071779,1.829591,0.003360,0.001056,0.000416,1.837591
0.141412,1.574415,0.068002,1.790965,0.002688,0.001088,0.000384,1.797365
0.138532,1.612207,0.083010,1.840471,0.003392,0.001408,0.000448,1.848055
0.149733,1.567439,0.070178,1.794294,0.002944,0.001344,0.000416,1.801462
0.151045,1.583663,0.079714,1.822390,0.003169,0.001280,0.000384,1.831351
0.149956,1.564815,0.067586,1.789557,0.002752,0.001088,0.000384,1.796053
0.176422,1.582095,0.069378,1.834839,0.003296,0.001184,0.000448,1.842487
0.146661,1.572782,0.066786,1.792949,0.002625,0.001088,0.000480,1.799318
0.152836,1.591407,0.077730,1.829878,0.002880,0.001088,0.000384,1.836438
0.150308,1.579439,0.066530,1.803189,0.002880,0.001120,0.000384,1.809973
0.115555,1.595567,0.081890,1.799894,0.003136,0.001120,0.000384,1.807446
0.132804,1.565998,0.067426,1.773716,0.003361,0.001120,0.000416,1.781077
0.152741,1.610064,0.107555,1.876536,0.003520,0.001216,0.000480,1.885208
0.151364,1.580015,0.067266,1.805717,0.002720,0.001120,0.000384,1.812117
0.135588,1.585423,0.068834,1.797461,0.005536,0.001088,0.000448,1.806901
0.147109,1.567438,0.067138,1.788373,0.002624,0.001024,0.000384,1.794581
0.141444,1.582063,0.068962,1.799541,0.003328,0.001120,0.000384,1.806869
0.147717,1.565166,0.066914,1.786230,0.005696,0.001024,0.000416,1.795702
0.148196,1.582703,0.072674,1.809366,0.003552,0.001184,0.000384,1.816758
0.150661,1.570479,0.068482,1.797558,0.002624,0.000992,0.000416,1.803926
0.162469,1.572399,0.069986,1.812150,0.002624,0.001056,0.000416,1.818358
0.148100,1.566383,0.066434,1.788245,0.002816,0.001120,0.000416,1.794773
0.145125,1.573071,0.065314,1.790038,0.002720,0.001088,0.000320,1.796342
0.143012,1.564399,0.064514,1.777909,0.002624,0.000960,0.000416,1.784053
0.152805,1.581199,0.067586,1.808406,0.003520,0.001280,0.000384,1.816054
0.122851,1.564623,0.063906,1.757716,0.002752,0.001024,0.000416,1.764148
0.152773,1.569743,0.069026,1.799190,0.002944,0.001248,0.000480,1.806454
0.134116,1.569135,0.086243,1.796182,0.003680,0.001152,0.000416,1.804118
0.153669,1.568622,0.068002,1.797942,0.002752,0.001024,0.000480,1.804598
0.151620,1.585647,0.085635,1.830198,0.003552,0.001504,0.000416,1.839062
0.148261,1.570351,0.068770,1.793974,0.002752,0.001120,0.000384,1.800438
0.142628,1.582383,0.069378,1.801270,0.003648,0.001376,0.000416,1.809302
0.143684,1.565935,0.064866,1.781461,0.003648,0.001184,0.000480,1.789333
0.150597,1.585071,0.071554,1.814230,0.003008,0.001473,0.000480,1.822039
0.150116,1.567759,0.068098,1.793173,0.002880,0.001120,0.000416,1.800053
0.150756,1.586191,0.071234,1.815413,0.004480,0.001792,0.000480,1.824694
0.144228,1.568719,0.067650,1.787125,0.002720,0.001152,0.000416,1.793909
0.148613,1.580751,0.084130,1.821366,0.003649,0.001248,0.000480,1.830295
0.150148,1.566223,0.066306,1.789301,0.003424,0.001088,0.000448,1.796565
0.134468,1.592431,0.072354,1.806134,0.005632,0.001376,0.000448,1.816086
0.145156,1.567343,0.065090,1.785717,0.003616,0.001152,0.000448,1.793589
0.148932,1.580527,0.067746,1.804149,0.003776,0.001280,0.000384,1.812150
0.145028,1.564815,0.064226,1.780661,0.003456,0.001120,0.000416,1.788149
0.149604,1.582991,0.070755,1.810966,0.003456,0.001152,0.000416,1.818486
0.147140,1.565967,0.065922,1.786677,0.002528,0.001248,0.000416,1.793077
0.151364,1.585903,0.074531,1.820182,0.003104,0.001152,0.000384,1.827766
0.137540,1.563279,0.065282,1.773525,0.002656,0.001088,0.000416,1.780021
0.174661,1.578991,0.076738,1.836982,0.003297,0.001152,0.000352,1.844087
0.148804,1.566639,0.066274,1.789045,0.002720,0.000992,0.000384,1.795445
0.148005,1.585103,0.076290,1.815990,0.003552,0.001280,0.000480,1.823894
0.149860,1.577423,0.067714,1.802805,0.002496,0.001088,0.000384,1.808981
0.133828,1.579919,0.074147,1.794870,0.003456,0.001312,0.000448,1.802486
0.122563,1.581295,0.065666,1.775957,0.003552,0.001440,0.000416,1.783733
0.147525,1.600399,0.087619,1.843255,0.003488,0.001600,0.000384,1.851959
0.147525,1.565038,0.066818,1.786805,0.003712,0.001152,0.000384,1.794454
