TEE[0-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
1.693676,0.049987,0.000640,0.014337,0.000416,0.001601,0.001152,0.000352,1.770769
1.710573,0.052611,0.000736,0.014369,0.000608,0.001600,0.001120,0.000384,1.790482
1.671018,0.049667,0.000672,0.014465,0.000480,0.001792,0.001216,0.000384,1.747407
1.722926,0.049795,0.000705,0.014240,0.000641,0.001568,0.001216,0.000416,1.799667
1.687531,0.049347,0.000672,0.014017,0.000384,0.001568,0.001120,0.000384,1.762608
1.705037,0.049219,0.000672,0.013761,0.000576,0.001536,0.001120,0.000384,1.780210
1.711373,0.049732,0.000672,0.014689,0.000384,0.001568,0.001120,0.000384,1.787314
1.753327,0.050148,0.000704,0.014177,0.000384,0.001536,0.000960,0.000384,1.829652
1.691979,0.049924,0.000704,0.013985,0.000640,0.001600,0.001120,0.000416,1.767888
1.717069,0.049475,0.000640,0.013697,0.000352,0.001376,0.001088,0.000384,1.791761
1.717613,0.049539,0.000768,0.013792,0.000609,0.001440,0.001152,0.000352,1.793362
1.707244,0.049891,0.000737,0.013952,0.000416,0.001568,0.001024,0.000352,1.782673
1.712077,0.050019,0.000640,0.013921,0.000608,0.001568,0.001024,0.000384,1.787922
1.766352,0.050499,0.000608,0.013665,0.000352,0.001440,0.001216,0.000384,1.843253
1.690827,0.052323,0.000704,0.013921,0.000640,0.001632,0.001088,0.000384,1.769296
1.693291,0.049379,0.000704,0.013920,0.000545,0.001600,0.001056,0.000384,1.768368
1.731662,0.050115,0.000672,0.013921,0.000640,0.001600,0.001089,0.000352,1.807763
1.717901,0.049475,0.000736,0.014241,0.000608,0.001472,0.001184,0.000384,1.794130
1.704780,0.050211,0.000736,0.013921,0.000640,0.001601,0.001120,0.000416,1.780369
1.712525,0.049348,0.000768,0.013697,0.000640,0.001472,0.001120,0.000416,1.787570
1.682827,0.049571,0.000800,0.014113,0.000544,0.001600,0.001152,0.000384,1.758415
1.734702,0.051108,0.000704,0.013761,0.000544,0.001472,0.001120,0.000384,1.811379
1.693355,0.050307,0.000640,0.013857,0.000608,0.001408,0.001152,0.000384,1.769456
1.744334,0.049827,0.000672,0.013601,0.000608,0.001472,0.001056,0.000352,1.819667
1.685387,0.050212,0.000736,0.014145,0.000448,0.001440,0.001216,0.000352,1.761392
1.741678,0.049411,0.000641,0.013664,0.000704,0.001504,0.001120,0.000352,1.816659
1.669898,0.050115,0.000768,0.013729,0.000544,0.001472,0.001088,0.000384,1.745358
1.733806,0.049699,0.000704,0.013665,0.000544,0.001440,0.001056,0.000384,1.809523
1.710028,0.049795,0.000736,0.013953,0.000640,0.001728,0.001120,0.000384,1.786033
1.704396,0.049507,0.000704,0.014080,0.000641,0.001504,0.001088,0.000352,1.779921
1.688587,0.049252,0.000704,0.013920,0.000576,0.001536,0.001216,0.000352,1.763632
1.709772,0.049635,0.000640,0.014081,0.000608,0.001472,0.001120,0.000352,1.785265
1.742863,0.049155,0.000704,0.013825,0.000672,0.001440,0.001280,0.000384,1.818099
1.681323,0.050723,0.000672,0.014177,0.000608,0.001472,0.001152,0.000416,1.758448
1.714829,0.049763,0.000864,0.013889,0.000544,0.001632,0.001152,0.000384,1.790514
1.694251,0.050499,0.000672,0.014176,0.000609,0.001568,0.001248,0.000352,1.771120
1.768752,0.051267,0.000832,0.014209,0.000576,0.001600,0.001920,0.000640,1.849013
1.692619,0.050276,0.000992,0.014369,0.000576,0.001600,0.001568,0.000384,1.771760
1.744143,0.050307,0.000897,0.015008,0.000640,0.001696,0.001280,0.000384,1.822356
