IN[0],INFER[0-0],OUT[0],TEE[0-0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.243272,1.009726,0.087811,1.351177,0.019168,0.195398,0.005056,0.049730,0.001088,0.014592,0.000352,0.001984,0.003489,0.000832,1.649266
0.247815,1.013982,0.098819,1.373161,0.019169,0.222470,0.005216,0.050082,0.001056,0.014240,0.000384,0.002016,0.003232,0.000640,1.698963
0.229831,1.044511,0.096770,1.382825,0.024417,0.198854,0.005216,0.049602,0.001056,0.014368,0.000384,0.002112,0.003201,0.000544,1.689459
0.237735,1.028191,0.123459,1.397001,0.019649,0.196838,0.005056,0.049282,0.001088,0.014560,0.000352,0.002016,0.003232,0.000608,1.696210
0.206406,1.008926,0.085571,1.310183,0.018752,0.198630,0.005056,0.050082,0.001088,0.014272,0.000416,0.001953,0.003136,0.000576,1.610192
0.214791,1.028799,0.107267,1.361641,0.018816,0.196550,0.005185,0.049601,0.001088,0.014593,0.000384,0.002016,0.003584,0.000544,1.660050
0.202150,1.008222,0.086819,1.306215,0.018304,0.196710,0.005120,0.049890,0.001088,0.014336,0.000352,0.001984,0.003649,0.000640,1.604176
0.193734,1.005246,0.107299,1.313895,0.024321,0.195590,0.005248,0.048994,0.001088,0.014624,0.000384,0.001728,0.003296,0.000576,1.615952
0.185478,1.007294,0.086179,1.288615,0.020224,0.196389,0.005057,0.049665,0.001088,0.014593,0.000352,0.001952,0.003200,0.000832,1.588432
0.218311,1.012222,0.103171,1.346025,0.024480,0.229383,0.005408,0.050178,0.001120,0.014624,0.000384,0.002112,0.003489,0.000640,1.685555
0.236583,1.009310,0.094307,1.351433,0.020512,0.196518,0.005056,0.049218,0.001152,0.014400,0.000320,0.002016,0.003777,0.000544,1.651250
0.229318,1.023454,0.105763,1.369897,0.023584,0.196166,0.005120,0.049890,0.001024,0.014304,0.000384,0.001984,0.003328,0.000577,1.672722
0.221191,1.007198,0.088387,1.327496,0.020641,0.196262,0.005024,0.049985,0.001056,0.014273,0.000576,0.002016,0.003520,0.000640,1.627665
0.216487,1.003390,0.105251,1.335560,0.021441,0.198950,0.005024,0.049281,0.001056,0.014305,0.000576,0.002048,0.003104,0.000576,1.638257
0.230631,1.007806,0.088099,1.335560,0.021536,0.196966,0.005057,0.050177,0.001088,0.014273,0.000320,0.002016,0.003584,0.000832,1.637969
0.223559,1.009822,0.116164,1.360457,0.020864,0.198918,0.005184,0.049986,0.001344,0.014304,0.000352,0.001664,0.003297,0.000864,1.663474
0.222855,1.012446,0.102179,1.347721,0.020448,0.198342,0.005152,0.050274,0.001120,0.014752,0.000352,0.002017,0.003168,0.000640,1.651122
0.233831,1.012926,0.113603,1.370217,0.021377,0.196422,0.005056,0.050146,0.001056,0.014272,0.000352,0.002080,0.003232,0.000896,1.671890
0.215462,1.004926,0.087683,1.319015,0.019905,0.199206,0.005024,0.049889,0.001152,0.014657,0.000384,0.002016,0.003552,0.000576,1.621904
0.219142,1.009247,0.111683,1.351048,0.022113,0.197350,0.005056,0.049537,0.001088,0.014561,0.000384,0.001792,0.003200,0.000608,1.653329
0.217446,1.013695,0.103523,1.346952,0.019393,0.196838,0.005056,0.049761,0.001088,0.014305,0.000352,0.001696,0.003584,0.000576,1.646481
0.221511,1.010142,0.151749,1.396042,0.022913,0.197894,0.005152,0.050177,0.001152,0.014305,0.000384,0.002048,0.003936,0.000576,1.701427
0.217222,1.007518,0.096643,1.332040,0.018688,0.196518,0.005152,0.049826,0.001056,0.014304,0.000384,0.002048,0.003169,0.000608,1.630065
0.232199,1.030399,0.095459,1.369065,0.021920,0.197286,0.005088,0.049890,0.001088,0.014336,0.000384,0.001985,0.003232,0.000576,1.671122
0.226375,1.010462,0.089379,1.336424,0.020576,0.196102,0.005248,0.049506,0.001056,0.014336,0.000544,0.001664,0.003265,0.000576,1.635697
0.216423,1.020895,0.101667,1.349001,0.019168,0.195846,0.005120,0.049762,0.001088,0.014624,0.000352,0.002016,0.003489,0.000576,1.647250
0.214822,1.008606,0.087779,1.320039,0.018881,0.196934,0.005088,0.050081,0.001056,0.014337,0.000352,0.002048,0.003552,0.000640,1.619344
0.229671,1.035839,0.113955,1.389866,0.021441,0.196614,0.005056,0.049825,0.001088,0.014273,0.000320,0.001984,0.003648,0.000576,1.692499
0.215302,1.007359,0.091394,1.323047,0.018561,0.196838,0.005120,0.049825,0.001120,0.014368,0.000352,0.002048,0.003232,0.000576,1.621648
0.230086,1.027902,0.110692,1.380137,0.022241,0.196357,0.005057,0.050177,0.001024,0.014337,0.000352,0.001952,0.003200,0.000576,1.682130
0.225991,1.008702,0.089058,1.333256,0.019137,0.197318,0.005120,0.050177,0.001120,0.014561,0.000352,0.001984,0.002976,0.000576,1.632369
0.218150,1.055712,0.100579,1.385097,0.018433,0.197349,0.005057,0.049953,0.001120,0.014401,0.000608,0.002048,0.003520,0.000544,1.684562
0.225190,1.018143,0.099747,1.355784,0.019169,0.195846,0.005056,0.049217,0.001024,0.014337,0.000384,0.002016,0.003552,0.000576,1.653586
0.227334,1.044767,0.133988,1.422410,0.021889,0.199686,0.005088,0.050241,0.001184,0.014593,0.000608,0.001728,0.003808,0.000832,1.728756
0.214823,1.015454,0.097059,1.338824,0.018369,0.197414,0.005408,0.049121,0.001056,0.014657,0.000576,0.002080,0.003424,0.000608,1.637649
0.233479,1.041024,0.128419,1.415243,0.019456,0.200838,0.005152,0.050690,0.001088,0.014336,0.000672,0.002016,0.003585,0.000608,1.720628
0.221607,1.009758,0.090179,1.330472,0.018976,0.197958,0.005088,0.050146,0.001120,0.014368,0.000576,0.002016,0.003489,0.000544,1.631089
0.235911,1.021343,0.099587,1.365705,0.022400,0.196965,0.005121,0.050273,0.001120,0.014273,0.000352,0.002048,0.003520,0.000576,1.668914
0.238599,1.011230,0.095971,1.353673,0.018337,0.199462,0.005120,0.050273,0.001056,0.014273,0.000352,0.002016,0.003520,0.000576,1.655698
0.232934,1.023198,0.112644,1.377706,0.018912,0.198374,0.005216,0.049634,0.001056,0.014240,0.000352,0.002016,0.003265,0.000544,1.677619
0.238535,1.008094,0.093411,1.349864,0.024385,0.195685,0.005120,0.050177,0.001120,0.015361,0.000384,0.002016,0.002848,0.000576,1.654098
0.213638,1.033919,0.093795,1.349256,0.021569,0.198022,0.005344,0.049250,0.001088,0.014240,0.000576,0.001696,0.003264,0.000576,1.650865
0.226087,1.012990,0.106916,1.355529,0.022624,0.201382,0.005152,0.049793,0.001120,0.014304,0.000353,0.002048,0.003296,0.000608,1.663122
0.219719,1.028511,0.102755,1.359465,0.020449,0.197894,0.005120,0.049953,0.001120,0.014273,0.000416,0.002016,0.003488,0.000576,1.661394
0.162404,0.999870,0.083362,1.254565,0.024961,0.196934,0.005120,0.048577,0.001056,0.014177,0.000352,0.001920,0.002048,0.000608,1.556782
0.155780,1.019262,0.093731,1.276486,0.022497,0.194469,0.005313,0.049409,0.000832,0.014657,0.000352,0.001792,0.001824,0.000416,1.573327
0.153572,0.997566,0.079875,1.238533,0.018880,0.192966,0.005344,0.048738,0.001088,0.014016,0.000384,0.001696,0.001600,0.000352,1.529133
0.139108,0.996734,0.081346,1.242117,0.018176,0.193222,0.005376,0.048802,0.001056,0.013696,0.000576,0.001824,0.001312,0.000352,1.532494
0.154405,0.996158,0.080258,1.237541,0.018081,0.193510,0.005120,0.049249,0.000832,0.013985,0.000576,0.001696,0.001376,0.000416,1.528110
0.153637,1.004926,0.082882,1.248229,0.018113,0.193638,0.005312,0.049121,0.001088,0.014433,0.000384,0.001696,0.001376,0.000352,1.539246
0.156068,0.996734,0.086243,1.246565,0.022305,0.193093,0.005344,0.048609,0.000832,0.013952,0.000384,0.001504,0.001408,0.000384,1.540014
0.151653,0.997214,0.081282,1.236741,0.018145,0.193286,0.005440,0.048897,0.000576,0.014112,0.000320,0.001440,0.001472,0.000608,1.526222
0.148901,1.015102,0.125284,1.295719,0.024289,0.193126,0.005280,0.048033,0.000832,0.014209,0.000384,0.001472,0.001376,0.000416,1.590448
0.157157,0.999166,0.082850,1.246213,0.020865,0.192902,0.005248,0.048801,0.000832,0.014241,0.000352,0.001664,0.001440,0.000352,1.538510
0.142917,1.019646,0.122020,1.292775,0.023329,0.193093,0.005313,0.048929,0.000800,0.013985,0.000384,0.001504,0.001184,0.000352,1.587600
0.152869,0.999742,0.082306,1.241349,0.018145,0.193414,0.005312,0.048545,0.000832,0.013921,0.000352,0.001536,0.001248,0.000384,1.530350
0.137924,1.028287,0.089186,1.262981,0.020929,0.193702,0.005312,0.049346,0.000832,0.013920,0.000576,0.001920,0.001248,0.000384,1.557038
0.141764,1.001726,0.084323,1.235301,0.018112,0.193126,0.005248,0.047970,0.000800,0.014144,0.000352,0.001536,0.001504,0.000384,1.524077
0.140964,1.007070,0.082979,1.238949,0.017920,0.215495,0.005568,0.048546,0.000864,0.014304,0.000352,0.001504,0.001536,0.000608,1.551630
0.137060,0.998814,0.084451,1.226821,0.017824,0.193254,0.005312,0.048802,0.000832,0.014592,0.000352,0.001472,0.001536,0.000416,1.516365
0.152677,1.000254,0.084546,1.244101,0.018081,0.192998,0.005280,0.049153,0.001088,0.013857,0.000352,0.001920,0.001216,0.000384,1.533742
0.173061,1.011615,0.084034,1.275238,0.022401,0.193414,0.005312,0.048001,0.000864,0.013921,0.000352,0.001504,0.001248,0.000416,1.568271
0.134596,0.998174,0.084610,1.224804,0.023169,0.193382,0.005280,0.048194,0.000832,0.013984,0.000384,0.001472,0.001216,0.000352,1.518541
0.154212,1.017342,0.090595,1.270598,0.021728,0.192805,0.005312,0.048450,0.000736,0.014112,0.000352,0.001504,0.001216,0.000384,1.563247
0.153733,0.998494,0.083266,1.242757,0.017761,0.192710,0.005216,0.048897,0.000832,0.013697,0.000320,0.001504,0.001216,0.000416,1.530702
0.154597,1.018558,0.139076,1.320584,0.017952,0.207462,0.005344,0.048385,0.000896,0.013696,0.000352,0.001536,0.001312,0.000384,1.624177
0.151653,0.998846,0.084482,1.241925,0.017953,0.193062,0.005280,0.049089,0.000832,0.014113,0.000352,0.001760,0.001504,0.000384,1.531726
0.150532,1.003806,0.115171,1.277830,0.022081,0.195878,0.005280,0.049057,0.000832,0.014209,0.000320,0.001792,0.001536,0.000416,1.574799
0.157668,0.999038,0.085795,1.249765,0.018560,0.193381,0.005024,0.048706,0.001120,0.013856,0.000352,0.001600,0.001505,0.000352,1.540078
0.154404,0.997502,0.084707,1.244069,0.019872,0.193318,0.005472,0.048994,0.000832,0.014272,0.000352,0.001504,0.001536,0.000384,1.536078
0.151461,1.011678,0.083971,1.253606,0.024321,0.194021,0.005249,0.048769,0.000800,0.014273,0.000320,0.001536,0.001280,0.000416,1.549935
0.123619,1.010526,0.090819,1.233253,0.017888,0.193414,0.005344,0.047906,0.000800,0.014240,0.000352,0.001440,0.001280,0.000384,1.521421
0.162629,1.013087,0.083042,1.266502,0.017793,0.193862,0.005344,0.049249,0.000832,0.013953,0.000352,0.001792,0.001216,0.000384,1.556815
0.154981,1.000990,0.084514,1.247365,0.024417,0.193094,0.005344,0.048962,0.000832,0.014432,0.000352,0.001696,0.001248,0.000352,1.543630
0.141700,1.017599,0.088386,1.255237,0.020705,0.193094,0.005280,0.048545,0.000832,0.014529,0.000352,0.001600,0.001280,0.000416,1.547214
0.152228,1.000542,0.083587,1.242949,0.018816,0.193286,0.005312,0.049090,0.000800,0.014464,0.000352,0.001408,0.001472,0.000384,1.533901
0.148805,1.027615,0.120611,1.305351,0.018209,0.192966,0.005280,0.048513,0.000800,0.013857,0.000352,0.001408,0.001184,0.000352,1.594320
0.155237,0.999902,0.085859,1.248998,0.018848,0.193766,0.005248,0.048482,0.000832,0.014176,0.000352,0.001472,0.001312,0.000480,1.539534
0.150789,1.001310,0.102147,1.260934,0.017729,0.193669,0.005313,0.048385,0.000800,0.014016,0.000320,0.001569,0.001216,0.000384,1.549679
0.150884,0.997277,0.081987,1.236453,0.017760,0.192998,0.005312,0.048642,0.000832,0.013696,0.000384,0.001472,0.001248,0.000384,1.524430
0.152037,1.001630,0.084930,1.246021,0.019073,0.193222,0.005344,0.049057,0.000832,0.013729,0.000384,0.001408,0.001280,0.000352,1.536526
0.150949,0.999166,0.082434,1.239461,0.025089,0.192998,0.005376,0.048737,0.000832,0.013857,0.000352,0.001472,0.001216,0.000384,1.535374
0.152645,1.012062,0.083811,1.255686,0.017665,0.192645,0.005312,0.047841,0.000832,0.013728,0.000416,0.001728,0.001217,0.000416,1.542767
0.152709,1.025310,0.135877,1.322344,0.022624,0.192742,0.005312,0.048418,0.000800,0.014080,0.000352,0.001568,0.001216,0.000352,1.615632
0.146212,1.000318,0.083267,1.236581,0.017760,0.192678,0.005408,0.048514,0.000864,0.013728,0.000352,0.001504,0.001184,0.000576,1.524493
0.149508,1.016575,0.089794,1.263973,0.019105,0.193094,0.005344,0.048609,0.000832,0.014145,0.000416,0.001440,0.001088,0.000384,1.554126
0.134404,0.998014,0.080707,1.220485,0.022144,0.192742,0.005248,0.048514,0.000800,0.013856,0.000384,0.001728,0.001440,0.000352,1.512909
0.154629,1.023934,0.111395,1.300039,0.020449,0.193477,0.005345,0.048641,0.000800,0.014208,0.000384,0.001728,0.001440,0.000352,1.593264
0.150213,0.997790,0.083362,1.238341,0.021185,0.192710,0.005312,0.048705,0.000768,0.013953,0.000384,0.001440,0.001408,0.000384,1.529774
0.152100,0.997054,0.082115,1.237765,0.017984,0.193574,0.005280,0.070274,0.000800,0.014017,0.000352,0.001760,0.001056,0.000288,1.549134
0.139620,0.998398,0.082562,1.227204,0.020097,0.192486,0.005280,0.050401,0.000608,0.014017,0.000352,0.001408,0.001216,0.000384,1.518605
0.147652,1.001150,0.081154,1.237029,0.017921,0.193605,0.005249,0.048001,0.000576,0.013952,0.000320,0.001440,0.001056,0.000352,1.524654
0.170501,1.008766,0.082979,1.267494,0.021440,0.193382,0.005280,0.048834,0.000768,0.013696,0.000352,0.001408,0.001024,0.000544,1.559887
0.148036,0.996222,0.080258,1.230116,0.017665,0.192998,0.005312,0.047393,0.000800,0.013793,0.000384,0.001472,0.001152,0.000416,1.516845
0.177414,1.019742,0.089571,1.293351,0.022241,0.192518,0.005248,0.047873,0.000832,0.013697,0.000416,0.001504,0.001120,0.000576,1.584784
0.132900,0.997246,0.079330,1.215652,0.018977,0.193158,0.005440,0.049089,0.000576,0.013697,0.000352,0.001408,0.001088,0.000384,1.505389
0.144612,1.008447,0.083682,1.242533,0.023809,0.193606,0.005408,0.049025,0.000608,0.013697,0.000352,0.001408,0.001120,0.000352,1.537326
0.165925,0.998302,0.083651,1.255878,0.017760,0.202630,0.005249,0.048129,0.000960,0.014240,0.000576,0.001473,0.001248,0.000384,1.553775
0.172773,0.998941,0.092643,1.270886,0.017697,0.224615,0.005440,0.049569,0.000800,0.013601,0.000384,0.001760,0.001184,0.000384,1.592080
0.176230,0.997886,0.087138,1.268550,0.018689,0.195622,0.005376,0.049025,0.000832,0.013825,0.000352,0.001728,0.001088,0.000384,1.560591
0.148421,0.999390,0.082242,1.236389,0.020097,0.194534,0.005280,0.047841,0.000576,0.013793,0.000384,0.001472,0.001120,0.000416,1.527438
0.151397,1.004926,0.082563,1.246182,0.019232,0.193286,0.005376,0.048706,0.000768,0.013760,0.000352,0.001504,0.001152,0.000416,1.536110
0.148964,0.999550,0.080739,1.235429,0.017728,0.193030,0.005312,0.049314,0.000832,0.013792,0.000384,0.001376,0.001088,0.000416,1.523789
0.152036,1.014271,0.084898,1.257157,0.023681,0.193574,0.005408,0.048386,0.000800,0.013728,0.000352,0.001504,0.001088,0.000416,1.551406
0.135396,0.997278,0.085955,1.225733,0.023617,0.193125,0.005345,0.049377,0.000832,0.013793,0.000384,0.001728,0.001152,0.000384,1.520782
0.128004,1.026302,0.101507,1.262790,0.017728,0.193382,0.005312,0.049282,0.000736,0.013728,0.000384,0.001440,0.001216,0.000640,1.551630
0.152324,1.002814,0.082723,1.246181,0.019872,0.193222,0.005344,0.048898,0.000800,0.013696,0.000416,0.001728,0.001152,0.000384,1.537134
0.150340,0.998206,0.102947,1.258373,0.023745,0.192806,0.005344,0.049410,0.000608,0.013728,0.000384,0.001440,0.001088,0.000416,1.552622
0.148036,1.000542,0.081763,1.237157,0.021216,0.192550,0.005312,0.049698,0.000800,0.013664,0.000416,0.001440,0.001216,0.000384,1.528845
0.128900,1.005790,0.080066,1.221508,0.017665,0.192773,0.005377,0.048321,0.000800,0.013697,0.000384,0.001440,0.001280,0.000384,1.508589
0.150117,1.009022,0.081730,1.247909,0.017857,0.192614,0.005280,0.048577,0.000832,0.013697,0.000416,0.001408,0.001120,0.000352,1.535182
0.131204,0.996958,0.079875,1.214949,0.021984,0.192934,0.005312,0.049314,0.000832,0.013696,0.000384,0.001472,0.001088,0.000608,1.508013
0.177157,1.015614,0.108643,1.308071,0.019744,0.192486,0.005408,0.049154,0.000832,0.013728,0.000352,0.001696,0.001184,0.000385,1.598800
0.152740,0.999357,0.083523,1.242597,0.017601,0.193285,0.005280,0.048994,0.000800,0.013696,0.000384,0.001472,0.001184,0.000352,1.530958
0.155812,1.014462,0.109667,1.286918,0.019905,0.192390,0.005088,0.048737,0.000576,0.013729,0.000384,0.001472,0.001120,0.000384,1.575855
0.150564,0.997022,0.080899,1.234661,0.025312,0.192806,0.005344,0.048642,0.000576,0.013760,0.000384,0.001440,0.001184,0.000416,1.529965
0.130980,1.022462,0.093571,1.255109,0.021793,0.194246,0.005344,0.048449,0.000576,0.013825,0.000384,0.001504,0.001184,0.000384,1.548046
0.153733,1.000318,0.081859,1.242694,0.018752,0.193382,0.005280,0.048610,0.000832,0.014016,0.000320,0.001440,0.001120,0.000352,1.532078
0.140132,1.009758,0.078819,1.236229,0.023360,0.193158,0.005280,0.049186,0.000800,0.013600,0.000384,0.001440,0.001184,0.000352,1.530317
0.147556,0.998622,0.080675,1.233989,0.017696,0.193030,0.005312,0.049122,0.000800,0.013696,0.000320,0.001696,0.001184,0.000384,1.522445
0.151333,1.011838,0.088739,1.259302,0.022753,0.193222,0.005312,0.048993,0.000608,0.013505,0.000320,0.001696,0.001216,0.000384,1.553007
0.151781,1.018910,0.150757,1.330024,0.021569,0.192933,0.005281,0.048641,0.000576,0.013472,0.000384,0.001441,0.001216,0.000384,1.621649
0.149957,1.006654,0.082722,1.245829,0.017601,0.192902,0.005376,0.048545,0.000576,0.013729,0.000320,0.001504,0.001152,0.000416,1.533262
0.137988,1.015199,0.089826,1.251014,0.021408,0.193606,0.005312,0.047522,0.000832,0.013504,0.000384,0.001536,0.001088,0.000416,1.542190
0.138692,0.998046,0.084099,1.228453,0.017760,0.192646,0.005440,0.048514,0.000832,0.013760,0.000352,0.001696,0.001120,0.000352,1.516205
0.146852,1.023839,0.105635,1.283014,0.020961,0.192517,0.005281,0.048865,0.000576,0.013728,0.000320,0.001440,0.001152,0.000608,1.574159
0.145508,0.996702,0.083491,1.233797,0.025441,0.193093,0.005312,0.048738,0.000864,0.013760,0.000352,0.001760,0.001217,0.000384,1.530350
0.152004,1.001054,0.082051,1.241733,0.019361,0.211686,0.005440,0.048194,0.000832,0.013504,0.000352,0.001920,0.001024,0.000640,1.550574
0.130340,0.996414,0.080931,1.214501,0.022112,0.192966,0.005216,0.049090,0.000544,0.013792,0.000384,0.001440,0.001088,0.000384,1.506605
0.145413,0.998558,0.087394,1.238405,0.017633,0.192646,0.005312,0.047745,0.000576,0.013505,0.000384,0.001440,0.001152,0.000384,1.524206
0.166277,1.009566,0.083971,1.265766,0.021825,0.192901,0.005313,0.048225,0.000800,0.013793,0.000352,0.001504,0.001152,0.000576,1.557295
0.158821,1.002590,0.085635,1.255206,0.018016,0.196454,0.005408,0.048194,0.001056,0.014400,0.000352,0.001568,0.001440,0.000576,1.548014
0.147556,1.018463,0.093283,1.267686,0.018112,0.194054,0.005312,0.049154,0.000768,0.014944,0.000416,0.001504,0.001152,0.000672,1.559662
0.143013,1.002302,0.084162,1.236549,0.019041,0.194406,0.005312,0.048865,0.001121,0.013632,0.000576,0.001472,0.001120,0.000320,1.528174
0.165221,1.014494,0.119844,1.306375,0.019361,0.193061,0.005345,0.048801,0.000832,0.014368,0.000352,0.001536,0.001152,0.000640,1.597136
