Layer[0],IN[1],INFER[1-7],OUT[7],TEE[1-7],Layer[8],Layer[9],Layer[10],classifier
0.415907,0.171361,0.603045,0.065952,0.844774,0.002432,0.000960,0.000352,1.268937
0.416419,0.149249,0.617413,0.064800,0.835718,0.002528,0.000992,0.000608,1.260841
0.417411,0.214306,0.603748,0.065729,0.888519,0.002560,0.001184,0.000576,1.314858
0.416931,0.168193,0.604548,0.066593,0.843526,0.002560,0.001088,0.000416,1.268809
0.417155,0.178113,0.604709,0.074688,0.861958,0.003168,0.001216,0.000384,1.289833
0.416835,0.172929,0.604100,0.067489,0.848934,0.003776,0.001504,0.000416,1.276201
0.416643,0.158145,0.603972,0.068961,0.835430,0.002624,0.001152,0.000384,1.260553
0.416547,0.171105,0.621060,0.076257,0.872838,0.002880,0.001248,0.000416,1.298601
0.416483,0.164033,0.603813,0.065216,0.837446,0.002848,0.001568,0.000416,1.264041
0.416643,0.165281,0.602853,0.063616,0.835654,0.003424,0.000992,0.000352,1.261353
0.434723,0.165858,0.601476,0.066432,0.838214,0.002592,0.001152,0.000640,1.282505
0.416867,0.169858,0.614276,0.067137,0.855207,0.002656,0.001152,0.000544,1.280778
0.415459,0.167393,0.619236,0.071105,0.861766,0.002496,0.001120,0.000320,1.284937
0.416483,0.194465,0.603077,0.065632,0.867014,0.002464,0.000992,0.000640,1.292073
0.416099,0.166754,0.601380,0.066336,0.838342,0.002528,0.000992,0.000352,1.262505
0.415555,0.154945,0.629893,0.076640,0.865414,0.002624,0.000960,0.000384,1.289162
0.416131,0.153410,0.600516,0.063328,0.821190,0.002304,0.000992,0.000288,1.244873
0.415683,0.192290,0.602980,0.071809,0.871431,0.003264,0.001024,0.000352,1.296234
0.435683,0.144769,0.605476,0.067777,0.822598,0.003072,0.001216,0.000384,1.268361
0.415715,0.157857,0.601636,0.064097,0.827334,0.003264,0.001024,0.000352,1.251945
0.415683,0.167137,0.603236,0.087873,0.863430,0.003648,0.001056,0.000384,1.288361
0.416291,0.170273,0.614053,0.066784,0.855110,0.002528,0.001024,0.000288,1.279849
0.415299,0.182434,0.613636,0.066784,0.866982,0.002689,0.000992,0.000288,1.290634
0.415331,0.166913,0.636964,0.070913,0.879366,0.002496,0.000896,0.000320,1.303305
0.415843,0.177217,0.604165,0.069888,0.855398,0.002592,0.000928,0.000384,1.279785
0.416035,0.176833,0.603621,0.068384,0.853190,0.002688,0.001120,0.000384,1.278121
0.431235,0.187394,0.608452,0.069889,0.870599,0.002784,0.000960,0.000384,1.311370
0.416131,0.171809,0.605796,0.072385,0.854406,0.003168,0.001120,0.000608,1.281257
0.416835,0.176545,0.644549,0.077601,0.903847,0.003232,0.001760,0.000384,1.333066
0.417219,0.200513,0.607397,0.068160,0.880230,0.003008,0.001696,0.000416,1.307561
0.416579,0.179522,0.615716,0.068512,0.868390,0.002945,0.001376,0.000640,1.295210
0.435939,0.186817,0.610533,0.069024,0.870694,0.003328,0.001280,0.000640,1.317353
0.416803,0.175650,0.606212,0.068384,0.854598,0.002784,0.001280,0.000704,1.281226
0.416515,0.176705,0.638469,0.078368,0.898022,0.003008,0.001248,0.000384,1.323913
0.415939,0.169985,0.620421,0.067328,0.862246,0.002688,0.001216,0.000672,1.287529
0.415235,0.205697,0.618276,0.068289,0.896326,0.002592,0.001312,0.000640,1.320745
0.432675,0.175746,0.603652,0.068096,0.852166,0.002816,0.001312,0.000384,1.294313
0.417155,0.193985,0.604356,0.072353,0.874630,0.002720,0.001216,0.000608,1.300777
0.417987,0.170273,0.604868,0.067872,0.847590,0.002976,0.001216,0.000608,1.275657
0.416579,0.174945,0.614021,0.068096,0.861414,0.002720,0.001120,0.000384,1.286825
0.416259,0.172033,0.618372,0.065473,0.859878,0.002848,0.001152,0.000416,1.285193
0.416451,0.195841,0.622853,0.073376,0.896774,0.002848,0.001280,0.000640,1.322825
0.416035,0.172418,0.619364,0.066016,0.862150,0.003008,0.001440,0.000416,1.287754
0.415459,0.167329,0.603940,0.064737,0.839910,0.002720,0.001152,0.000416,1.264041
0.427427,0.172641,0.603812,0.068865,0.849766,0.002688,0.001152,0.000384,1.286761
