Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-4],OUT[4],TEE[4-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.420483,0.017344,0.202113,0.004768,0.125313,0.079841,0.060032,0.268066,0.000672,0.013632,0.000352,0.001408,0.000704,0.000256,0.935782
0.416803,0.017248,0.213762,0.004896,0.119424,0.085505,0.060800,0.268449,0.000672,0.013633,0.000384,0.001344,0.000608,0.000288,0.943783
0.415811,0.017792,0.202050,0.004832,0.104705,0.081408,0.060481,0.249442,0.000576,0.013568,0.000320,0.001376,0.000576,0.000256,0.912359
0.415235,0.017376,0.202274,0.004832,0.129825,0.090944,0.058945,0.282530,0.000672,0.013600,0.000384,0.001376,0.000576,0.000256,0.944647
0.415555,0.017184,0.202402,0.004768,0.093185,0.076000,0.059073,0.231330,0.000704,0.013664,0.000352,0.001376,0.000640,0.000224,0.893991
0.428931,0.017312,0.202562,0.004832,0.101025,0.085248,0.060865,0.249890,0.000672,0.013664,0.000352,0.001376,0.000640,0.000288,0.926023
0.415267,0.017472,0.202498,0.004768,0.094081,0.086048,0.060929,0.243682,0.000736,0.013600,0.000320,0.001376,0.000544,0.000288,0.906535
0.415683,0.017152,0.202914,0.004800,0.126049,0.077952,0.060225,0.267266,0.000768,0.013728,0.000320,0.001312,0.000608,0.000288,0.930439
0.416067,0.017184,0.202657,0.004768,0.107649,0.085537,0.060960,0.257346,0.000832,0.013920,0.000384,0.001376,0.000768,0.000224,0.922246
0.420643,0.017408,0.202402,0.005216,0.123457,0.077760,0.060385,0.264866,0.000928,0.015200,0.000544,0.001440,0.000928,0.000288,0.938087
0.416803,0.017504,0.202689,0.004800,0.136929,0.086337,0.061856,0.288194,0.000832,0.014081,0.000384,0.001376,0.000832,0.000288,0.954087
0.416739,0.017472,0.202786,0.004896,0.131841,0.081920,0.062177,0.278978,0.000640,0.013792,0.000384,0.001440,0.000864,0.000384,0.944999
0.415139,0.017408,0.202529,0.004800,0.122177,0.093857,0.062976,0.282146,0.000768,0.013664,0.000384,0.001376,0.000640,0.000288,0.945126
0.415619,0.017280,0.202466,0.004832,0.087264,0.086593,0.060288,0.236993,0.000832,0.013632,0.000320,0.001408,0.000640,0.000256,0.899974
0.415235,0.017216,0.203010,0.004768,0.094272,0.089121,0.060224,0.246497,0.000640,0.013792,0.000352,0.001408,0.000704,0.000256,0.911047
0.416291,0.017216,0.225378,0.004960,0.097537,0.083904,0.060641,0.246690,0.000768,0.013792,0.000352,0.001376,0.000640,0.000288,0.934343
0.415459,0.017312,0.202529,0.004832,0.089889,0.080928,0.058913,0.232610,0.001088,0.015008,0.000352,0.001376,0.000672,0.000288,0.897446
0.416163,0.017344,0.202721,0.004768,0.109601,0.079681,0.061760,0.253762,0.000608,0.013792,0.000352,0.001408,0.000768,0.000320,0.919046
0.415939,0.017216,0.202817,0.004832,0.118209,0.080673,0.060608,0.262626,0.000800,0.013792,0.000320,0.001344,0.000672,0.000320,0.926630
0.416419,0.017440,0.203810,0.005280,0.117473,0.081120,0.061121,0.262594,0.000640,0.014176,0.000608,0.001664,0.000992,0.000320,0.932423
0.415683,0.017376,0.202817,0.005376,0.125857,0.079233,0.060416,0.268514,0.000576,0.013696,0.000352,0.001408,0.000800,0.000224,0.932838
0.416419,0.017216,0.203202,0.004800,0.119936,0.089057,0.060224,0.272290,0.001088,0.014528,0.000384,0.001376,0.000576,0.000320,0.938471
0.415043,0.017184,0.218498,0.004864,0.091073,0.086848,0.059457,0.240450,0.000704,0.013664,0.000352,0.001568,0.000672,0.000224,0.919367
0.415491,0.017152,0.202754,0.004832,0.097441,0.082368,0.060065,0.242882,0.001088,0.015008,0.000352,0.001408,0.000608,0.000320,0.908007
0.414691,0.017216,0.202338,0.004736,0.122689,0.085696,0.060097,0.271106,0.000640,0.014112,0.000384,0.001344,0.000544,0.000256,0.933223
0.416355,0.017440,0.204449,0.004832,0.109985,0.080481,0.063424,0.256930,0.000640,0.013792,0.000352,0.001440,0.000896,0.000288,0.924646
0.415907,0.017184,0.203361,0.004768,0.131233,0.095969,0.062145,0.292579,0.000736,0.013760,0.000384,0.001440,0.000704,0.000288,0.957639
0.416387,0.017440,0.202978,0.004800,0.098913,0.076480,0.059585,0.237794,0.000640,0.013696,0.000320,0.001376,0.000672,0.000288,0.902311
0.415363,0.017216,0.202626,0.004960,0.101857,0.079904,0.061729,0.246306,0.000672,0.014176,0.000352,0.001408,0.000544,0.000256,0.909671
0.417795,0.017600,0.224161,0.005312,0.120545,0.081889,0.063360,0.269378,0.000896,0.014656,0.000352,0.001504,0.000960,0.000352,0.962886
0.417187,0.017408,0.203650,0.005024,0.108673,0.089664,0.061825,0.263586,0.000736,0.015520,0.000352,0.001568,0.000800,0.000320,0.932359
0.415651,0.017184,0.203297,0.004736,0.093633,0.082208,0.066497,0.245378,0.000736,0.013696,0.000384,0.001440,0.000800,0.000256,0.909350
0.416483,0.017504,0.202529,0.004896,0.126817,0.078977,0.065184,0.274050,0.000768,0.014656,0.000352,0.001473,0.000896,0.000288,0.940935
0.415747,0.017376,0.202530,0.004768,0.103137,0.080320,0.061505,0.247906,0.000672,0.013792,0.000352,0.001408,0.000704,0.000224,0.911655
0.416003,0.017217,0.202881,0.004800,0.115009,0.079712,0.062368,0.260034,0.000640,0.013824,0.000384,0.001376,0.000736,0.000288,0.925159
0.416323,0.017184,0.202785,0.004800,0.107105,0.083873,0.060672,0.254626,0.000768,0.015296,0.000352,0.001440,0.000672,0.000256,0.920902
0.414851,0.017344,0.202690,0.004832,0.116576,0.091681,0.062881,0.274146,0.000640,0.013824,0.000352,0.001376,0.000704,0.000256,0.950855
0.416227,0.017280,0.202594,0.004800,0.095233,0.079104,0.060033,0.237250,0.000672,0.014784,0.000352,0.001376,0.000704,0.000256,0.902279
0.416643,0.017312,0.202722,0.004800,0.096705,0.084128,0.065377,0.248994,0.000672,0.013664,0.000352,0.001376,0.000608,0.000288,0.913031
0.417155,0.017504,0.203041,0.005280,0.116641,0.081249,0.063776,0.264578,0.000800,0.014240,0.000352,0.001504,0.000960,0.000416,0.933862
0.417027,0.017120,0.202690,0.004832,0.110401,0.082272,0.069761,0.265282,0.000672,0.014176,0.000352,0.001344,0.000896,0.000288,0.930759
0.415842,0.017345,0.202561,0.004768,0.118081,0.088673,0.063136,0.272642,0.000736,0.013856,0.000352,0.001408,0.000704,0.000288,0.936550
0.417347,0.017376,0.202849,0.004832,0.113121,0.080513,0.062784,0.260418,0.000640,0.014176,0.000320,0.001376,0.000864,0.000320,0.927526
0.428163,0.017376,0.203138,0.004832,0.109473,0.079648,0.060769,0.253634,0.000736,0.013792,0.000352,0.001376,0.000672,0.000320,0.930695
0.415267,0.017344,0.202722,0.004800,0.133217,0.086464,0.060800,0.283586,0.000832,0.013696,0.000320,0.001376,0.000608,0.000352,0.946695
0.415395,0.017248,0.202145,0.004832,0.129121,0.082433,0.060960,0.275682,0.001120,0.013664,0.000352,0.001408,0.000672,0.000320,0.939078
0.415683,0.017696,0.202402,0.004800,0.101568,0.090529,0.091105,0.286370,0.000960,0.014112,0.000352,0.001376,0.000864,0.000320,0.953735
0.415011,0.017633,0.202337,0.004800,0.092353,0.082432,0.059937,0.239266,0.000768,0.014112,0.000384,0.001344,0.000800,0.000352,0.902823
0.415523,0.017249,0.202017,0.004832,0.100161,0.088288,0.067521,0.258882,0.001056,0.014336,0.000384,0.001408,0.000704,0.000512,0.922663
0.421475,0.017408,0.203329,0.005217,0.112800,0.077921,0.065216,0.258913,0.000672,0.014016,0.000384,0.001440,0.000961,0.000352,0.932871
0.430819,0.017377,0.203009,0.005056,0.121473,0.079424,0.060129,0.264098,0.000608,0.014752,0.000352,0.001408,0.000896,0.000320,0.945063
0.415747,0.017568,0.202401,0.004832,0.104193,0.079041,0.062400,0.248514,0.000640,0.013856,0.000352,0.001408,0.000864,0.000320,0.913350
0.415331,0.017184,0.202465,0.004833,0.098592,0.084545,0.061888,0.248257,0.000736,0.014784,0.000352,0.001376,0.000608,0.000320,0.912102
0.415395,0.017216,0.203426,0.004800,0.101408,0.105057,0.063201,0.272802,0.000832,0.013632,0.000352,0.001376,0.000608,0.000256,0.936423
0.415267,0.017344,0.202466,0.004800,0.091328,0.079681,0.059872,0.233633,0.000608,0.014081,0.000416,0.001344,0.000640,0.000320,0.897287
0.415875,0.017280,0.202690,0.004800,0.094656,0.078081,0.059584,0.235105,0.000704,0.014081,0.000384,0.001376,0.000640,0.000256,0.899367
0.415075,0.017312,0.202562,0.004800,0.091488,0.085537,0.060640,0.240641,0.000608,0.013632,0.000416,0.001344,0.000512,0.000257,0.902951
0.430339,0.017952,0.203490,0.004800,0.119041,0.091488,0.060993,0.274434,0.000672,0.013600,0.000384,0.001344,0.000608,0.000256,0.953639
0.415299,0.017792,0.202146,0.004800,0.089568,0.081952,0.060545,0.235010,0.000704,0.013536,0.000384,0.001344,0.000544,0.000256,0.897447
0.420995,0.017665,0.202625,0.005216,0.112833,0.078016,0.059617,0.253378,0.000640,0.014368,0.000384,0.001344,0.000928,0.000320,0.925959
0.416259,0.017472,0.202465,0.005216,0.101153,0.081472,0.060385,0.246018,0.000672,0.013728,0.000320,0.001376,0.000704,0.000224,0.910182
0.415715,0.017376,0.202305,0.004736,0.086849,0.080417,0.062144,0.232322,0.000640,0.013664,0.000320,0.001376,0.000704,0.000256,0.896230
0.415875,0.017248,0.203361,0.004896,0.106465,0.080033,0.061728,0.251202,0.000640,0.013824,0.000352,0.001440,0.000896,0.000320,0.916838
0.415523,0.017344,0.202177,0.004800,0.125345,0.091681,0.069761,0.290051,0.001024,0.013664,0.000352,0.001408,0.000672,0.000288,0.953383
0.415555,0.017216,0.218146,0.004896,0.114721,0.085408,0.060481,0.263554,0.000608,0.013728,0.000320,0.001312,0.000768,0.000224,0.942311
0.415971,0.017217,0.203681,0.004800,0.122529,0.085857,0.060224,0.271682,0.000768,0.014656,0.000320,0.001376,0.000608,0.000256,0.937671
0.415043,0.017280,0.201985,0.004800,0.112545,0.089665,0.059616,0.264802,0.000736,0.014464,0.000384,0.001344,0.000640,0.000288,0.927622
0.414915,0.017376,0.202369,0.004864,0.093857,0.085153,0.060224,0.242242,0.000800,0.013696,0.000352,0.001312,0.000608,0.000288,0.904422
0.415171,0.017248,0.202849,0.004768,0.119809,0.091233,0.060096,0.274018,0.000608,0.013600,0.000352,0.001312,0.000544,0.000256,0.936454
0.421315,0.017536,0.202818,0.005280,0.118689,0.080256,0.061281,0.263234,0.000608,0.014880,0.000384,0.001344,0.000928,0.000320,0.937575
0.416419,0.017184,0.203073,0.004832,0.103041,0.090497,0.060288,0.256898,0.000608,0.013760,0.000352,0.001312,0.000736,0.000352,0.921574
0.415395,0.017312,0.219777,0.004864,0.109217,0.085857,0.060992,0.258914,0.001088,0.014528,0.000352,0.001376,0.000640,0.000288,0.942086
0.415747,0.017408,0.203265,0.004833,0.102944,0.089249,0.066304,0.261089,0.000928,0.013568,0.000352,0.001377,0.000704,0.000256,0.925959
0.415139,0.017216,0.202593,0.004865,0.092160,0.086113,0.058432,0.239553,0.000704,0.013664,0.000384,0.001312,0.000640,0.000256,0.902822
0.415427,0.017184,0.202401,0.004832,0.102145,0.093985,0.060000,0.258978,0.000672,0.013600,0.000384,0.001344,0.000640,0.000224,0.921062
0.427491,0.017952,0.203330,0.004800,0.096320,0.078913,0.060288,0.238145,0.000672,0.014112,0.000384,0.001312,0.000576,0.000256,0.914886
0.415811,0.017376,0.203745,0.004800,0.101505,0.075393,0.060192,0.239586,0.000672,0.013664,0.000384,0.001376,0.000608,0.000224,0.903782
0.415171,0.017184,0.202849,0.004832,0.133793,0.090977,0.061952,0.289282,0.000992,0.013633,0.000416,0.001408,0.000576,0.000320,0.952455
0.420707,0.017568,0.202178,0.019456,0.125601,0.080096,0.061857,0.270434,0.000800,0.013952,0.000320,0.001408,0.000992,0.000320,0.958599
